日期,股票代碼,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2026-08-28,00403A,429927703,4472390014,10.32,10.44,10.32,10.36,0.11,51807
2026-08-27,00403A,259650324,2669607772,10.26,10.34,10.18,10.25,0.09,32983
2026-08-26,00403A,248628961,2507428260,9.92,10.17,9.84,10.16,0.22,33775
2026-08-25,00403A,200157642,1948200327,9.77,9.94,9.65,9.94,0.07,45244
2026-08-24,00403A,105562721,1048669388,9.92,10.03,9.87,9.87,-0.05,23168
2026-08-21,00403A,100144786,994848291,10.0,10.02,9.86,9.92,-0.11,24829
2026-08-20,00403A,124696057,1245937826,10.1,10.14,9.89,10.03,0.06,22969
2026-08-19,00403A,194875891,1943676964,9.87,10.1,9.8,9.97,-0.19,41099
2026-08-18,00403A,181249394,1863541816,10.4,10.44,10.13,10.16,-0.24,32870
2026-08-17,00403A,270983203,2819303316,10.32,10.46,10.29,10.4,0.08,36691
2026-08-14,00403A,353553268,3667998134,10.4,10.42,10.28,10.32,0.02,44107
2026-08-13,00403A,372511476,3841379510,10.26,10.38,10.22,10.3,0.2,50698
2026-08-12,00403A,320226172,3222848687,9.96,10.12,9.96,10.1,0.16,43376
2026-08-11,00403A,117115557,1159423388,9.87,9.96,9.8,9.94,0.04,19937
2026-08-10,00403A,164823149,1635703708,9.87,9.99,9.85,9.9,0.18,28776
2026-08-07,00403A,151708727,1482988820,9.92,9.93,9.66,9.72,-0.19,36736
2026-08-06,00403A,183979179,1808065908,9.77,9.94,9.66,9.91,0.1,27388
2026-08-05,00403A,337665326,3336209229,9.87,9.95,9.77,9.81,0.27,44954
2026-08-04,00403A,206742476,1965391322,9.39,9.65,9.35,9.54,0.15,28575
2026-08-03,00403A,352344521,3303864986,9.2,9.49,9.2,9.39,0.14,41545
2026-07-31,00403A,547213802,5024864507,9.12,9.29,9.06,9.25,0.78,55470
2026-07-30,00403A,436120282,3748908211,8.38,8.83,8.31,8.47,0.01,68799
2026-07-29,00403A,774402591,6648879158,9.0,9.02,8.36,8.46,-0.54,182447
2026-07-28,00403A,726297492,6616660192,9.26,9.26,9.0,9.0,-0.62,187846
2026-07-27,00403A,211405438,2007355562,9.63,9.64,9.4,9.62,-0.01,52136
2026-07-24,00403A,268175573,2605529171,9.81,9.92,9.63,9.63,-0.34,74686
2026-07-23,00403A,164301751,1644664387,10.06,10.12,9.9,9.97,-0.02,33563
2026-07-22,00403A,349917296,3501797972,9.95,10.07,9.91,9.99,0.24,49770
2026-07-21,00403A,223287368,2148216964,9.41,9.76,9.41,9.75,0.47,38515
2026-07-20,00403A,461738249,4309793572,9.54,9.55,9.13,9.28,-0.24,112527
2026-07-17,00403A,1314260417,12768076189,9.9,9.95,9.52,9.52,-0.76,322607
2026-07-16,00403A,182317095,1868218277,10.25,10.37,10.14,10.28,-0.13,30671
2026-07-15,00403A,225147525,2331300770,10.25,10.44,10.19,10.41,0.3,31532
2026-07-14,00403A,752371033,7512708619,10.3,10.36,9.79,10.11,-0.27,180199
2026-07-13,00403A,152276689,1596068781,10.64,10.7,10.31,10.38,-0.1,35399
2026-07-09,00403A,163473334,1723918939,10.45,10.66,10.42,10.48,0.07,25303
2026-07-08,00403A,241549106,2506711035,10.47,10.51,10.26,10.41,-0.04,48694
2026-07-07,00403A,422831712,4487849426,10.98,10.98,10.41,10.45,-0.48,106655
2026-07-06,00403A,238256447,2628209710,11.24,11.26,10.88,10.93,-0.21,50108
2026-07-03,00403A,208593027,2301307221,10.94,11.18,10.84,11.14,0.0,34304
2026-07-02,00403A,197108010,2169363617,10.91,11.14,10.81,11.14,-0.01,33851
2026-07-01,00403A,383092591,4288336855,11.24,11.29,11.06,11.15,0.13,47216
2026-06-30,00403A,318181152,3487690565,10.83,11.04,10.82,11.02,0.4,46057
2026-06-29,00403A,190532321,2022014611,10.58,10.75,10.5,10.62,0.06,37542
2026-06-26,00403A,519252901,5584404029,10.96,11.07,10.54,10.56,-0.55,122076
2026-06-25,00403A,244658933,2718767405,11.23,11.25,10.99,11.11,0.07,36643
2026-06-24,00403A,374593965,4094916636,10.84,11.08,10.81,11.04,-0.06,73433
2026-06-23,00403A,424489804,4765078295,11.42,11.45,11.07,11.1,-0.28,90364
2026-06-22,00403A,400006178,4547521781,11.34,11.41,11.3,11.38,0.35,71457
2026-06-18,00403A,741910645,8112615400,10.85,11.03,10.83,11.03,0.28,104395
2026-06-17,00403A,337856784,3612249218,10.6,10.75,10.57,10.75,0.05,50106
2026-06-16,00403A,588302940,6309600223,10.74,10.77,10.66,10.7,0.09,77111
2026-06-15,00403A,823217335,8717427879,10.54,10.65,10.52,10.61,0.36,94708
2026-06-12,00403A,489197551,5049418369,10.3,10.5,10.2,10.25,0.26,60004
2026-06-11,00403A,769629485,7633146743,10.03,10.17,9.73,9.99,-0.05,174705
2026-06-10,00403A,558215786,5712790562,10.3,10.47,10.03,10.04,-0.37,117767
2026-06-09,00403A,424730303,4380041766,10.26,10.42,10.15,10.41,0.28,60749
2026-06-08,00403A,687072227,6834206053,9.7,10.15,9.69,10.13,-0.28,165474
2026-06-05,00403A,588246967,6076991276,10.44,10.54,10.13,10.41,-0.18,128976
2026-06-04,00403A,406992048,4322425816,10.68,10.71,10.56,10.59,-0.2,89261
2026-06-03,00403A,603168109,6543349621,10.81,10.95,10.77,10.79,0.09,81384
2026-06-02,00403A,506805353,5420446026,10.85,10.87,10.52,10.7,-0.12,109899
2026-06-01,00403A,582755183,6327243035,10.74,10.94,10.73,10.82,0.12,91067
2026-05-29,00403A,466117885,4981120713,10.75,10.77,10.62,10.7,0.23,72147
2026-05-28,00403A,808934322,8586486861,10.87,10.89,10.4,10.47,-0.31,170385
2026-05-27,00403A,741587390,8063340717,10.84,10.98,10.7,10.78,0.14,123412
2026-05-26,00403A,611130522,6482871452,10.76,10.76,10.48,10.64,0.06,98188
2026-05-25,00403A,720434011,7580244670,10.4,10.62,10.38,10.58,0.38,122220
2026-05-22,00403A,541477121,5509323726,10.12,10.21,10.12,10.2,0.19,86819
2026-05-21,00403A,429569029,4283182876,9.9,10.02,9.89,10.01,0.35,85375
2026-05-20,00403A,752612407,7288955966,9.73,9.77,9.64,9.66,-0.06,215181
2026-05-19,00403A,984439002,9628425104,9.85,9.92,9.72,9.72,-0.12,282739
2026-05-18,00403A,1280137109,12562303615,9.88,9.88,9.71,9.84,-0.16,335552
2026-05-15,00403A,1856314715,18747747711,10.38,10.38,10.0,10.0,-0.24,473742
2026-05-14,00403A,847276873,8716088289,10.33,10.38,10.21,10.24,0.06,173857
2026-05-13,00403A,3902221403,39942652316,10.3,10.35,10.12,10.18,-0.62,757630
2026-05-12,00403A,4204257454,45143802166,10.93,10.96,10.51,10.8,0.6,702831
