date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-08-26,00981A,150955269,4393559417,28.66,29.45,28.42,29.44,0.67,40847
2026-08-25,00981A,199814655,5600979756,28.1,28.77,27.72,28.77,0.3,68131
2026-08-24,00981A,114508186,3282419425,28.73,29.02,28.45,28.47,-0.25,42485
2026-08-21,00981A,134555990,3880623529,29.11,29.12,28.62,28.72,-0.53,53507
2026-08-20,00981A,146104477,4248991647,29.48,29.56,28.75,29.25,0.19,39607
2026-08-19,00981A,234849451,6839027379,28.65,29.54,28.65,29.06,-0.55,69140
2026-08-18,00981A,217130318,6519674042,30.48,30.5,29.5,29.61,-0.78,64643
2026-08-17,00981A,211159598,6421493027,30.24,30.57,30.06,30.39,0.17,51716
2026-08-14,00981A,303464765,9195113774,30.29,30.53,30.07,30.22,0.27,66111
2026-08-13,00981A,207674705,6227484849,29.96,30.18,29.68,29.95,0.61,56897
2026-08-12,00981A,169428945,4939942752,28.89,29.36,28.89,29.34,0.61,47532
2026-08-11,00981A,113232852,3227791046,28.46,28.75,28.21,28.73,0.2,31529
2026-08-10,00981A,158895938,4550645023,28.44,28.88,28.35,28.53,0.5,44071
2026-08-07,00981A,185656768,5249895096,28.92,28.92,27.86,28.03,-0.81,66644
2026-08-06,00981A,175401577,5009693624,28.32,28.98,27.94,28.84,0.38,43772
2026-08-05,00981A,240838183,6920135876,28.86,29.0,28.4,28.46,0.88,63854
2026-08-04,00981A,273265013,7491153798,27.13,27.85,26.91,27.58,0.47,49215
2026-08-03,00981A,434596962,11728206028,26.12,27.49,26.12,27.11,0.98,70071
2026-07-31,00981A,873426743,22774713110,26.06,26.13,25.86,26.13,2.37,66038
2026-07-30,00981A,491586640,11969445076,23.26,25.18,23.26,23.76,-0.09,80298
2026-07-29,00981A,547235241,13144989406,25.5,25.58,23.2,23.85,-1.6,162347
2026-07-28,00981A,332972101,8620452111,26.13,26.38,25.45,25.45,-2.08,142107
2026-07-27,00981A,162263134,4403837334,27.49,27.62,26.75,27.53,-0.01,53479
2026-07-24,00981A,165361078,4610570712,28.1,28.59,27.53,27.54,-1.15,67576
2026-07-23,00981A,163029272,4695695417,28.75,29.12,28.46,28.69,0.19,40375
2026-07-22,00981A,183415372,5256108403,28.64,28.88,28.35,28.5,0.78,49405
2026-07-21,00981A,199589009,5429880225,26.32,27.72,26.32,27.72,1.82,56767
2026-07-20,00981A,271681930,7052080689,26.43,26.6,25.27,25.9,-0.53,98361
2026-07-17,00981A,513113801,13903956875,27.8,27.8,26.43,26.43,-2.52,248005
2026-07-16,00981A,123909143,3572944462,28.88,29.2,28.5,28.95,-0.43,49243
2026-07-15,00981A,170989978,4983661792,28.75,29.46,28.51,29.38,0.98,40964
2026-07-14,00981A,461386162,12968955233,29.15,29.3,27.34,28.4,-0.95,215205
2026-07-13,00981A,173993842,5167443128,30.38,30.55,29.21,29.35,-0.6,86276
2026-07-09,00981A,128841334,3882605391,29.91,30.54,29.78,29.95,0.2,37989
2026-07-08,00981A,195753436,5809806704,29.96,30.1,29.25,29.75,-0.09,77540
2026-07-07,00981A,336842956,10190829055,31.2,31.3,29.75,29.84,-1.36,152471
2026-07-06,00981A,245323341,7741678528,32.45,32.45,31.08,31.2,-1.06,100291
2026-07-03,00981A,175889407,5603219375,31.49,32.33,31.2,32.26,0.21,50289
2026-07-02,00981A,158262123,5021679086,31.37,32.13,31.12,32.05,0.05,44280
2026-07-01,00981A,310261100,9938512817,32.07,32.23,31.55,32.0,0.72,74836
2026-06-30,00981A,231548350,7183176895,30.55,31.3,30.51,31.28,1.34,58038
2026-06-29,00981A,165707443,4966108375,29.92,30.41,29.61,29.94,0.03,65377
2026-06-26,00981A,360201055,10956584799,31.17,31.34,29.89,29.91,-1.59,159158
2026-06-25,00981A,189583735,5985426037,31.79,31.83,31.23,31.5,0.02,43733
2026-06-24,00981A,267480386,8297305943,31.05,31.6,30.7,31.48,-0.12,93181
2026-06-23,00981A,243244203,7758423235,32.43,32.5,31.5,31.6,-0.63,86766
2026-06-22,00981A,267931647,8637710192,32.17,32.4,32.0,32.23,0.73,71568
2026-06-18,00981A,244223683,7653496071,31.19,31.5,31.13,31.5,0.62,57789
2026-06-17,00981A,140863715,4325812938,30.66,30.93,30.46,30.88,0.06,52241
2026-06-16,00981A,186398165,5776278219,31.28,31.28,30.78,30.82,0.0,65868
2026-06-15,00981A,288026078,9073061110,31.65,31.81,31.32,31.47,0.87,74410
2026-06-12,00981A,279475644,8580323192,30.95,31.4,30.31,30.6,0.89,62808
2026-06-11,00981A,436202963,12850172290,29.81,30.3,28.61,29.71,-0.18,140225
2026-06-10,00981A,358227771,10953123452,30.94,31.4,29.87,29.89,-1.34,145785
2026-06-09,00981A,233150473,7161188791,30.42,31.23,30.02,31.23,1.34,64780
2026-06-08,00981A,410034404,11949458748,28.12,29.9,28.11,29.89,-0.92,173476
2026-06-05,00981A,342381984,10447829697,30.76,31.25,29.75,30.81,-0.55,142957
2026-06-04,00981A,192386145,6029519813,31.48,31.62,31.06,31.36,-0.45,88345
2026-06-03,00981A,221230833,7058171544,31.68,32.1,31.65,31.81,0.48,63514
2026-06-02,00981A,315230319,9850487495,31.77,31.81,30.7,31.33,-0.37,137742
2026-06-01,00981A,254690698,8109667428,31.69,32.07,31.61,31.7,0.16,73732
2026-05-29,00981A,205601160,6478477637,31.66,31.72,31.27,31.54,0.82,58187
2026-05-28,00981A,493712092,15414743171,32.14,32.23,30.5,30.72,-1.24,204160
2026-05-27,00981A,300007621,9683541102,32.23,32.73,31.67,31.96,0.47,83976
2026-05-26,00981A,288881634,9104190966,31.89,31.89,31.1,31.49,-0.12,89296
