日期,股票代碼,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2026-09-02,2454,23567252,103733406910,4450.0,4565.0,4230.0,4275.0,-40.0,132289
2026-09-01,2454,4931652,21280078380,4315.0,4315.0,4315.0,4315.0,390.0,54322
2026-08-31,2454,7222243,28095701554,3885.0,3945.0,3820.0,3925.0,-60.0,39571
2026-08-28,2454,5064877,20027639045,3935.0,4000.0,3925.0,3985.0,120.0,32812
2026-08-27,2454,5702912,22369214695,4005.0,4005.0,3865.0,3865.0,-80.0,43578
2026-08-26,2454,8370053,32482789520,3730.0,3965.0,3710.0,3945.0,210.0,49065
2026-08-25,2454,5403340,19946654186,3725.0,3735.0,3655.0,3735.0,-30.0,48906
2026-08-24,2454,3321459,12545787785,3820.0,3825.0,3745.0,3765.0,-25.0,30461
2026-08-21,2454,6657464,25017079835,3725.0,3810.0,3695.0,3790.0,90.0,29869
2026-08-20,2454,13213952,49435673925,3820.0,3870.0,3675.0,3700.0,-145.0,139117
2026-08-19,2454,7036521,26997429795,3750.0,3910.0,3750.0,3845.0,-40.0,61847
2026-08-18,2454,9323808,36682382762,4020.0,4050.0,3885.0,3885.0,-165.0,78042
2026-08-17,2454,10559715,43090307420,4205.0,4225.0,4025.0,4050.0,-160.0,57461
2026-08-14,2454,10696134,45791288165,4400.0,4400.0,4205.0,4210.0,-15.0,51199
2026-08-13,2454,12263926,51589411510,4130.0,4295.0,4115.0,4225.0,210.0,73334
2026-08-12,2454,6018155,24065457535,3950.0,4030.0,3950.0,4015.0,-5.0,26816
2026-08-11,2454,7709240,30474394880,3900.0,4050.0,3810.0,4020.0,60.0,38219
2026-08-10,2454,5872851,23240434365,3920.0,3995.0,3915.0,3960.0,60.0,27175
2026-08-07,2454,6607003,25900624790,3990.0,4010.0,3825.0,3900.0,-20.0,42825
2026-08-06,2454,7213332,28518420155,4100.0,4100.0,3905.0,3920.0,-80.0,39617
2026-08-05,2454,12935125,52565983817,4095.0,4125.0,3980.0,4000.0,135.0,64713
2026-08-04,2454,17318591,67643468265,4095.0,4095.0,3800.0,3865.0,-45.0,70695
2026-08-03,2454,7516212,29287630390,3910.0,3910.0,3780.0,3910.0,355.0,38212
2026-07-31,2454,4033014,14337364770,3555.0,3555.0,3555.0,3555.0,320.0,19342
2026-07-30,2454,14125689,46068575790,3145.0,3410.0,3060.0,3235.0,85.0,48461
2026-07-29,2454,16174122,50329532035,3315.0,3335.0,2990.0,3150.0,-165.0,107250
2026-07-28,2454,11958794,40292632476,3425.0,3460.0,3315.0,3315.0,-365.0,133415
2026-07-27,2454,9134283,32995930650,3655.0,3710.0,3525.0,3680.0,-70.0,59672
2026-07-24,2454,8980102,34556793720,3805.0,4010.0,3750.0,3750.0,-125.0,49580
2026-07-23,2454,8514494,33587878595,3950.0,4050.0,3850.0,3875.0,25.0,46089
2026-07-22,2454,13766807,53781999095,4000.0,4000.0,3830.0,3850.0,180.0,55551
2026-07-21,2454,7741511,27565696430,3435.0,3670.0,3410.0,3670.0,330.0,34607
2026-07-20,2454,9227986,30849610283,3355.0,3435.0,3240.0,3340.0,-30.0,52690
2026-07-17,2454,10967157,37833367830,3470.0,3570.0,3370.0,3370.0,-330.0,151723
2026-07-16,2454,6009689,22176760795,3735.0,3755.0,3620.0,3700.0,-40.0,43018
2026-07-15,2454,7313796,27350951879,3790.0,3790.0,3665.0,3740.0,80.0,39600
2026-07-14,2454,12479607,45583723365,3830.0,3860.0,3515.0,3660.0,-165.0,152816
2026-07-13,2454,7033208,27554314750,4095.0,4095.0,3825.0,3825.0,-100.0,89547
2026-07-09,2454,7370647,29278102309,3970.0,4050.0,3925.0,3925.0,-70.0,63600
2026-07-08,2454,6728233,26843012272,4000.0,4040.0,3955.0,3995.0,-35.0,58398
2026-07-07,2454,9083409,36965706820,4200.0,4250.0,3955.0,4030.0,0.0,103114
2026-07-06,2454,6897420,28930241965,4250.0,4325.0,4110.0,4125.0,-70.0,50653
2026-07-03,2454,12778372,53200054285,4160.0,4230.0,4120.0,4195.0,-150.0,105961
2026-07-02,2454,8544133,36861945335,4200.0,4380.0,4150.0,4345.0,10.0,43321
2026-07-01,2454,10163517,43956801560,4315.0,4380.0,4225.0,4335.0,90.0,54621
2026-06-30,2454,16095233,67966421080,4145.0,4300.0,4060.0,4245.0,335.0,78995
2026-06-29,2454,11358316,44541787045,3870.0,4000.0,3825.0,3910.0,30.0,62120
2026-06-26,2454,24916481,98409769585,4150.0,4185.0,3880.0,3880.0,-430.0,344326
2026-06-25,2454,10274439,44429005970,4400.0,4445.0,4215.0,4310.0,25.0,44164
2026-06-24,2454,16421271,70988748552,4480.0,4515.0,4225.0,4285.0,-250.0,144342
2026-06-23,2454,18449972,85339643435,4720.0,4785.0,4515.0,4535.0,70.0,68537
2026-06-22,2454,11596124,51923218480,4385.0,4565.0,4380.0,4465.0,75.0,47362
2026-06-18,2454,12997743,57436715170,4535.0,4590.0,4375.0,4390.0,-70.0,68375
2026-06-17,2454,9197868,40966955600,4495.0,4535.0,4380.0,4460.0,-100.0,62540
2026-06-16,2454,11309893,51067640785,4550.0,4565.0,4415.0,4560.0,90.0,53701
2026-06-15,2454,12014769,53488218430,4355.0,4545.0,4350.0,4470.0,290.0,66481
2026-06-12,2454,8765007,37361334120,4410.0,4415.0,4165.0,4180.0,95.0,40657
2026-06-11,2454,17556610,70789476300,4085.0,4150.0,3880.0,4085.0,-70.0,127945
2026-06-10,2454,17412956,75167738767,4315.0,4520.0,4120.0,4155.0,-320.0,134859
2026-06-09,2454,16487210,71900149507,4180.0,4475.0,4130.0,4475.0,405.0,67903
2026-06-08,2454,16219464,65223413665,3935.0,4090.0,3935.0,4070.0,-230.0,122194
2026-06-05,2454,11919031,51177162335,4360.0,4430.0,4130.0,4300.0,-130.0,102559
2026-06-04,2454,11204169,50943224910,4600.0,4685.0,4430.0,4430.0,-115.0,59989
2026-06-03,2454,10480184,47516603115,4540.0,4650.0,4420.0,4545.0,20.0,67532
2026-06-02,2454,15626708,71943814921,4970.0,4970.0,4380.0,4525.0,-30.0,92153
2026-06-01,2454,20083897,91443242369,4440.0,4710.0,4440.0,4555.0,245.0,75706
2026-05-29,2454,23109791,100081968164,4460.0,4485.0,4235.0,4310.0,-100.0,134616
2026-05-28,2454,16433052,73375621300,4620.0,4685.0,4270.0,4410.0,-230.0,165862
2026-05-27,2454,18260840,84883094150,4475.0,4690.0,4450.0,4640.0,375.0,83444
2026-05-26,2454,19540872,84120990445,4375.0,4440.0,4180.0,4265.0,20.0,94000
2026-05-25,2454,4616291,19596155295,4245.0,4245.0,4245.0,4245.0,385.0,21972
2026-05-22,2454,20839466,78869385469,3765.0,3880.0,3675.0,3860.0,310.0,81663
2026-05-21,2454,5983092,20948671600,3415.0,3550.0,3405.0,3550.0,320.0,16558
