date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-08-26,3481,116092014,5425659702,46.8,47.1,46.4,46.4,-0.4,59441
2026-08-25,3481,186724863,8585107533,45.3,47.0,44.95,46.8,1.35,77131
2026-08-24,3481,122839516,5671833816,46.05,46.95,45.45,45.45,-0.6,56161
2026-08-21,3481,126141176,5753996979,45.95,46.3,45.05,46.05,0.05,59774
2026-08-20,3481,217249183,10042725652,47.2,47.65,45.4,46.0,-0.75,104315
2026-08-19,3481,225153342,10615406702,47.25,48.05,46.3,46.75,-2.75,117016
2026-08-18,3481,209580264,10483421773,50.8,51.2,49.2,49.5,-1.7,86258
2026-08-17,3481,248739294,12500907718,50.5,51.3,48.85,51.2,1.1,97317
2026-08-14,3481,235680402,11916052999,50.2,51.5,49.7,50.1,0.7,93254
2026-08-13,3481,196134473,9855717608,51.5,51.9,49.4,49.4,-1.0,100711
2026-08-12,3481,189190471,9643239785,51.0,52.1,50.3,50.4,0.3,80256
2026-08-11,3481,359824101,18263718123,51.4,52.3,49.65,50.1,-2.2,140534
2026-08-10,3481,219970431,11313764095,48.6,52.3,48.55,52.3,4.75,74551
2026-08-07,3481,270860320,13295874750,49.7,50.4,47.55,47.55,-2.45,125035
2026-08-06,3481,298813117,14425233337,47.9,50.0,46.7,50.0,2.2,123240
2026-08-05,3481,421661010,20732797979,49.3,50.5,47.75,47.8,0.0,172852
2026-08-04,3481,348151865,16242834512,45.65,48.55,44.7,47.8,2.0,137648
2026-08-03,3481,379112934,17201598502,45.0,46.7,43.8,45.8,0.3,148312
2026-07-31,3481,365292276,16455954771,45.35,45.5,44.1,45.5,4.1,132066
2026-07-30,3481,510925571,22031789724,40.7,45.95,40.65,41.4,-0.4,188657
2026-07-29,3481,524232519,22054596904,45.4,45.5,40.5,41.8,-3.2,207894
2026-07-28,3481,360645533,16152026128,45.0,46.7,43.35,45.0,-2.35,139555
2026-07-27,3481,351257919,16613643789,49.7,50.2,45.6,47.35,-2.15,138318
2026-07-24,3481,204349525,10233219701,50.7,51.3,49.5,49.5,-2.4,102406
2026-07-23,3481,231361001,12104559466,53.0,53.8,51.0,51.9,-0.6,92860
2026-07-22,3481,288972898,15281226517,51.5,54.1,51.5,52.5,1.8,116193
2026-07-21,3481,317037917,16144580466,51.9,52.4,50.1,50.7,0.3,127472
2026-07-20,3481,366167261,18647172011,53.1,53.3,49.1,50.4,-2.2,143086
2026-07-17,3481,343294756,18422033674,53.4,55.1,52.6,52.6,-4.7,151363
2026-07-16,3481,242960364,13817762100,57.4,58.9,55.5,57.3,-1.2,107389
2026-07-15,3481,266064947,15535164860,58.4,59.2,57.4,58.5,1.3,120232
2026-07-14,3481,510069083,29037669315,60.2,61.1,54.9,57.2,-3.8,230848
2026-07-13,3481,404195419,25748128609,66.4,67.2,60.5,61.0,-4.3,186467
2026-07-09,3481,380906610,25187198133,66.2,67.5,64.8,65.3,0.1,154856
2026-07-08,3481,416258130,26909924773,66.1,66.7,62.4,65.2,1.0,182020
2026-07-07,3481,736170170,50029370760,70.2,72.2,63.8,64.2,-5.0,338127
2026-07-06,3481,519703847,35742720630,66.6,70.1,66.0,69.2,3.2,198242
2026-07-03,3481,300757487,19992796817,66.8,67.3,65.8,66.0,-1.6,146877
2026-07-02,3481,426198192,28922525321,66.1,69.8,65.2,67.6,0.2,187363
2026-07-01,3481,587747842,40982879343,70.8,72.5,67.1,67.4,-1.3,258354
2026-06-30,3481,522734749,36454633553,69.3,71.0,68.5,68.7,1.7,223975
2026-06-29,3481,602285246,40617452457,65.2,69.3,63.5,67.0,2.0,247158
2026-06-26,3481,735698074,49471852703,69.3,70.9,64.0,65.0,-5.9,370382
2026-06-25,3481,655357479,45570681719,70.5,72.0,67.6,70.9,1.5,266428
2026-06-24,3481,1097640768,76566480222,65.0,72.6,63.9,69.4,3.4,385039
2026-06-23,3481,764326524,51475782771,65.9,70.1,65.0,66.0,0.0,341341
2026-06-22,3481,954222795,64993922440,69.4,69.9,66.0,66.0,1.6,380156
2026-06-18,3481,861089224,53613975840,62.0,64.4,58.5,64.4,5.8,311351
2026-06-17,3481,239833027,13737596128,53.2,58.6,53.2,58.6,5.3,115204
2026-06-16,3481,140022240,7503263139,53.3,55.0,52.0,53.3,1.9,76120
2026-06-15,3481,100103830,5079695975,51.0,51.5,49.8,51.4,2.85,54844
2026-06-12,3481,95654891,4704203751,50.5,50.5,48.5,48.55,1.6,50694
2026-06-11,3481,174746924,7498956242,42.6,46.95,40.25,46.95,0.0,78909
2026-06-10,3481,130115713,6111204565,47.4,50.0,44.3,44.3,-4.8,80407
2026-06-09,3481,124513602,6095849056,49.95,50.6,46.6,49.1,0.75,68803
2026-06-08,3481,88824555,4294656640,48.35,48.35,48.35,48.35,-5.35,78798
2026-06-05,3481,177087727,9207410286,53.3,54.0,50.3,53.7,-2.1,111577
2026-06-04,3481,170430089,9542009944,56.9,57.0,55.2,55.8,-3.6,97538
