日期,股票代碼,標題,來源,連結
2026-09-22 16:29:00,00403A,2303 聯電 - 00403A個人先徹了- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184898743
2026-09-22 11:41:48,00403A,9/22 00403A(主動統一升級50) 持股異動｜刪除 1 檔-ETF股長 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/etfchief-9840dda7-b67a-11f1-943d-424cd13d6ca1
2026-09-22 11:00:41,00403A,【00403A】09/22 操作日報｜幾乎砍光力成，資金轉進散熱與封測 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoney-da1ee090-b674-11f1-91d5-25276707f662
2026-09-22 10:30:00,00403A,豪撒97億瘋搶「這9檔」主動式ETF！00403A獲外資猛敲23.6萬張登買超王 5天入袋破51萬張 - FTNN 新聞,FTNN 新聞,https://www.ftnn.com.tw/news/581308
2026-09-22 10:07:13,00403A,2330 台積電 - 2026/09/22 00403A今日操作明細- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184890959
2026-09-22 08:41:13,00403A,9/22 ETF 三大法人買賣超日榜｜合計買超最多00403A(主動統一升級50)、賣超最多00918(大華優利高填息30)-ETF股長 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/etfchief-5e2e9523-b661-11f1-9d92-b2c475cb7e9f
2026-09-22 07:22:15,00403A,"00403A 主動統一升級50 全解析：規模衝上 1,600 億，這檔「升級版 0050」值得買嗎？ - TOP1markets",TOP1markets,https://www.top1markets.com/tw/insights/stocks/00403a-active-etf-worth-buying
2026-09-22 04:35:00,00403A,台股觸及48K新高後失守防線！「瑤池金母」上揚近2%噴23.5萬 00403A逼近11元狂炸51萬張 - ftnn.com.tw,ftnn.com.tw,https://www.ftnn.com.tw/news/581158
2026-09-21 11:00:40,00403A,【00403A】09/21 操作日報｜資金大舉加碼AI封測與矽光子 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/cmoney-aeeb9e4a-b5ab-11f1-8a38-4064b90a1003
2026-09-21 10:32:00,00403A,主動式ETF吸金35.78億！外資加碼「這6檔」攻占買超榜十 00403A被掃14.8萬張奪冠 - FTNN 新聞,FTNN 新聞,https://www.ftnn.com.tw/news/580963
2026-09-21 10:32:00,00403A,主動式ETF吸金35.78億！外資加碼「這6檔」攻占買超榜十 00403A被掃14.8萬張奪冠 - Yahoo股市,Yahoo股市,https://tw.stock.yahoo.com/news/%E4%B8%BB%E5%8B%95%E5%BC%8Fetf%E5%90%B8%E9%87%9135-78%E5%84%84-%E5%A4%96%E8%B3%87%E5%8A%A0%E7%A2%BC-%E9%80%996%E6%AA%94-%E6%94%BB%E5%8D%A0%E8%B2%B7%E8%B6%85%E6%A6%9C%E5%8D%81-103200346.html
2026-09-21 10:07:13,00403A,2026/09/21 00403A今日操作明細 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184861885
2026-09-21 10:07:12,00403A,2026/09/21 00403A今日操作明細 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184861884
2026-09-21 08:41:07,00403A,9/21 ETF 三大法人買賣超日榜｜合計買超最多00403A(主動統一升級50)、賣超最多00406A(主動中信台灣收益)-ETF股長 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/etfchief-30086542-b598-11f1-ab49-54258f1d50dc
2026-09-21 08:40:00,00403A,台股開高帶動00403A量價齊揚居單日ETF成交王- 理財 - ctee.com.tw,ctee.com.tw,https://www.ctee.com.tw/news/20260921701453-430403
2026-09-21 04:40:00,00403A,又有415人下車！00403A盤中爆量29萬張、漲1.55% 「這檔主動式」年化配息率逾17%狂湧17萬張排第4 - FTNN 新聞,FTNN 新聞,https://www.ftnn.com.tw/news/580825
2026-09-21 03:43:20,00403A,外資上周狂掃2檔主動式ETF！00403A、00411A吸金破10億元 - Yahoo股市,Yahoo股市,https://tw.stock.yahoo.com/news/%E5%A4%96%E8%B3%87%E4%B8%8A%E5%91%A8%E7%8B%82%E6%8E%832%E6%AA%94%E4%B8%BB%E5%8B%95%E5%BC%8Fetf%EF%BC%8100403a%E3%80%8100411a%E5%90%B8%E9%87%91%E7%A0%B410%E5%84%84%E5%85%83-033930279.html
2026-09-21 02:31:00,00403A,重返47K！外資狂買869億 00403A狂買南亞科、00981A攻金像電| 財經 - Newtalk新聞,Newtalk新聞,https://newtalk.tw/news/view/2026-09-21/1060978
2026-09-20 13:30:00,00403A,00403A股民再創低慘輸009816！資產規模遭「這2檔」狠超車 外資連搶7周再敲9萬張入袋 - ftnn.com.tw,ftnn.com.tw,https://www.ftnn.com.tw/news/580646
2026-09-20 13:15:00,00403A,鎖定主動式進貨！「這7檔ETF」橫掃外資買超榜 00403A被掃貨9.5萬張、注資近10億元 - Yahoo股市,Yahoo股市,https://tw.stock.yahoo.com/news/%E9%8E%96%E5%AE%9A%E4%B8%BB%E5%8B%95%E5%BC%8F%E9%80%B2%E8%B2%A8-%E9%80%997%E6%AA%94etf-%E6%A9%AB%E6%8E%83%E5%A4%96%E8%B3%87%E8%B2%B7%E8%B6%85%E6%A6%9C-00403a%E8%A2%AB%E6%8E%83%E8%B2%A89-5%E8%90%AC%E5%BC%B5-131500098.html
2026-09-19 07:12:51,00403A,本周三大法人買超 ETF 前十大5檔主動式、2檔債券 00403A近25萬張第一 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184831409
2026-09-19 06:55:05,00403A,本周三大法人買超 ETF 前十大5檔主動式、2檔債券 00403A近25萬張第一 - udn,udn,https://udn.com/news/story/123006/9764874
2026-09-18 09:40:44,00403A,【00403A】09/18 操作日報｜經理人大砍封測，資金轉進記憶體！ - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoney-0521776f-b345-11f1-bf52-0cbdc5e8b06c
2026-09-18 09:20:58,00403A,9/18 ETF 折溢價日報｜折價最深 00403A(主動統一升級50) -0.77%-ETF股長 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/etfchief-4240a8bb-b342-11f1-a287-642f7d10b305
2026-09-18 09:11:16,00403A,9/18 ETF 三大法人買賣超日榜｜合計買超最多00403A(主動統一升級50)、賣超最多00918(大華優利高填息30)-ETF股長 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/etfchief-e786ed65-b340-11f1-b831-cfb91d03a0a7
2026-09-18 07:03:19,00403A,台股大漲超過826點站回4萬7千點 統一00403A成交量30萬張居冠 - 三立新聞,三立新聞,https://inews.setn.com/news/1909115
2026-09-18 05:38:11,00403A,台股大漲超過826點站回4萬7千點 統一00403A成交量30萬張居冠 | CTWANT - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/article/1DlvX72
2026-09-18 05:20:56,00403A,台股大漲超過826點站回4萬7千點　統一00403A成交量30萬張居冠 | 財經 | CTWANT - CTWANT,CTWANT,https://www.ctwant.com/article/498653/
2026-09-18 03:10:20,00403A,ETF 交投火熱！ 00403A 盤中爆量逾17萬張站上各均線 - money.udn.com,money.udn.com,https://money.udn.com/money/amp/story/5607/9762613
2026-09-17 09:41:37,00403A,【00403A】09/17 操作日報｜經理人大買記憶體與半導體-CMoney官方 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoney-fa799319-b27b-11f1-bcac-98771bd7ca79
2026-09-17 09:11:11,00403A,9/17 ETF 三大法人買賣超日榜｜合計買超最多00403A(主動統一升級50)、賣超最多00406A(主動中信台灣收益)-ETF股長 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/etfchief-ba0b378f-b277-11f1-bd4b-7db1eaf83c35
2026-09-17 05:44:33,00403A,"大盤漲439點,00403A還跌,是怎樣的升級50,不要嚇人 - cmoney.tw",cmoney.tw,https://www.cmoney.tw/forum/article/184764562
2026-09-16 11:41:42,00403A,9/16 00403A(主動統一升級50) 持股異動｜新增 1 檔-ETF股長 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/etfchief-9669c4c1-b1c3-11f1-b8d8-d348e1df19aa
2026-09-16 11:00:44,00403A,【00403A】09/16 操作日報｜新建倉南亞科，資金瞄準AI零組件 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoney-dd4d3d2f-b1bd-11f1-957b-d98ba4f75f7c
2026-09-16 09:02:42,00403A,00403A 主動統一升級50 - 上市自營商買超近20個交易日以來排行- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184700616
2026-09-16 08:40:57,00403A,9/16 ETF 三大法人買賣超日榜｜合計買超最多00403A(主動統一升級50)、賣超最多00406A(主動中信台灣收益)-ETF股長 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/etfchief-56650f60-b1aa-11f1-be76-b2af0e4b90dd
2026-09-16 05:06:05,00403A,00403A 主動統一升級50 - 來人啊！將經理人推出去斬了！！ - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184669283
2026-09-15 10:51:39,00403A,【00403A】09/15 操作日報｜經理人大砍日月光，轉進ABF-CMoney官方 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoney-6de75a4b-b0f3-11f1-91bf-7d8dd65e474a
2026-09-15 09:56:41,00403A,9/15 00403A 大立光再砍156張 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184642308
2026-09-14 12:05:28,00403A,高檔震盪選股難！外資近一月瘋買主動式ETF 囤貨00403A、00988A雙冠 - 優分析UAnalyze,優分析UAnalyze,https://uanalyze.com.tw/articles/2293055291
2026-09-14 12:01:04,00403A,高檔震盪選股難！外資近一月瘋買主動式ETF 囤貨00403A、00988A雙冠 - news.cnyes.com,news.cnyes.com,https://news.cnyes.com/news/id/6605996
2026-09-14 10:11:03,00403A,2026/09/14 00403A今日操作明細 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184591367
2026-09-14 10:11:03,00403A,2026/09/14 00403A今日操作明細 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184591368
