日期,股票代碼,標題,來源,連結
2026-09-11 03:54:31,0052,0052滿20歲！他從0050轉抱「小台積」慶生再買1張 看好股價還會向上 - UDN,UDN,https://udn.com/news/amp/story/123006/9746552
2026-09-09 15:52:16,0052,0052 富邦科技- AI 權值商品資金力挺8月以來外資持續回補躍居市場布局重心- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184491437
2026-09-09 07:12:17,0052,2026年8月ETF定期定額排行》0050破128萬戶！0052、00646、00830績效比一比，台美股ETF怎麼選？ - sinotrade.com.tw,sinotrade.com.tw,https://www.sinotrade.com.tw/richclub/aiinvest/2026%E5%B9%B48%E6%9C%88ETF%E5%AE%9A%E6%9C%9F%E5%AE%9A%E9%A1%8D%E6%8E%92%E8%A1%8C-0050%E7%A0%B4128%E8%90%AC%E6%88%B6-0052-00646-00830%E7%B8%BE%E6%95%88%E6%AF%94%E4%B8%80%E6%AF%94-%E5%8F%B0%E7%BE%8E%E8%82%A1ETF%E6%80%8E%E9%BA%BC%E9%81%B8--6aa1047ac8344e3516fd0df1
2026-09-08 10:30:00,0052,1進1出添記憶體大廠！0052開高走低跌0.24%外資搶進3758張 「國民ETF」吸金23億奪買超王 - ftnn.com.tw,ftnn.com.tw,https://www.ftnn.com.tw/news/577272
2026-09-08 09:00:00,0052,高含「積」ETF 長線俏 0052、0050、006208等掌握成長契機 - 經濟日報,經濟日報,https://money.udn.com/money/story/5618/9637735
2026-09-07 17:45:17,0052,老牌科技型ETF要換血！0052相中晶豪科、剔除新唐 9/21日正式生效 | Newtalk - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/article/BE653EG
2026-09-07 11:11:16,0052,0052富邦科技迎20週年，含積量近七成、近2300%總報酬、破千億規模解析｜豐雲學堂2026 年 09 月 - sinotrade.com.tw,sinotrade.com.tw,https://www.sinotrade.com.tw/richclub/Fubon/0052%E5%AF%8C%E9%82%A6%E7%A7%91%E6%8A%80%E8%BF%8E20%E9%80%B1%E5%B9%B4-%E5%90%AB%E7%A9%8D%E9%87%8F%E8%BF%91%E4%B8%83%E6%88%90-%E8%BF%912300-%E7%B8%BD%E5%A0%B1%E9%85%AC-%E7%A0%B4%E5%8D%83%E5%84%84%E8%A6%8F%E6%A8%A1%E8%A7%A3%E6%9E%90-6a9e55878e958735a15c0756
2026-09-07 07:18:05,0052,0052 富邦科技- 黃仁勳表示“AGI 已經到來” - 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184231631
2026-09-04 13:45:00,0052,46萬股東期待！「小台積」0052換股1進1出 「記憶體夯股」8月營收飆6倍強勢入列 - FTNN 新聞網,FTNN 新聞網,https://www.ftnn.com.tw/news/576244
2026-08-30 07:50:00,0052,0050、0052換股大洗牌！市場搶先卡位這5檔 「這檔生技妖股」狂飆上1640元呼聲最高 - FTNN 新聞網,FTNN 新聞網,https://www.ftnn.com.tw/news/574558
2026-08-30 01:58:22,0052,0050、0052準備換股! 散戶搶搭便車聚焦這五檔個股 - 自由財經,自由財經,https://ec.ltn.com.tw/article/breakingnews/5556903
2026-08-29 06:33:15,0052,富邦科技(0052) 個股概覽 | 個股 - 股市 - CMoney,CMoney,https://www.cmoney.tw/finance/0052/f00025
2026-08-20 02:30:00,0052,0052、0056該選誰？投資小白怕「單押一檔不穩」 網白眼：無腦0050說倦了 - FTNN 新聞網,FTNN 新聞網,https://www.ftnn.com.tw/news/571344
2026-08-16 04:37:09,0052,0052 富邦科技- 你與你國小同學投資拉大差距的關鍵，為什麼幾年後差距越來越大？ - 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/182225844
