日期,股票代碼,標題,來源,連結
2026-09-26 13:55:42,1513,中興電(1513) 個股概覽 | 個股 - 股市 - CMoney,CMoney,https://www.cmoney.tw/finance/1513/f00025
2026-09-25 02:25:00,1513,欣興洗產地疑雲、中興電被捲司法案件！財經專家解答「為何股價還能起飛」：資本市場最後還是回到利益 - ftnn.com.tw,ftnn.com.tw,https://www.ftnn.com.tw/news/582061
2026-09-21 09:55:26,1513,營收年增僅4％、毛利率卻飆近28.5％！中興電在手訂單逾400億排到2031年 - 理財周刊,理財周刊,https://www.moneyweekly.com.tw/ArticleData/Info/Article/250122
2026-09-19 02:15:00,1513,台電711億撥補點火重電股！中興電訂單一路看到2030年 華城、亞力、東元目標價全曝光 - ftnn.com.tw,ftnn.com.tw,https://www.ftnn.com.tw/news/580316
2026-09-18 21:26:06,1513,重電4雄1表評》台電撥補711億元肥到誰？華城、中興電、亞力、東元...法人最新目標價曝光：他訂單看到2030年 - 上市櫃 - 旺得富理財網,旺得富理財網,https://wantrich.chinatimes.com/news/20260919900007-420101
2026-09-14 21:11:04,1513,連2年賺1股本、配逾13元息！中興電、華城、士電、亞力...重電4雄誰最有肉？法人評這檔強力買 最新評等、目標價完整看 - wantrich.chinatimes.com,wantrich.chinatimes.com,https://wantrich.chinatimes.com/news/20260915900001-420101
2026-08-30 15:00:00,1513,士電、中興電都被放一旁！重電8檔法人「欽點2檔」喊買 8月營收預估、目標價曝光 - FTNN 新聞網,FTNN 新聞網,https://www.ftnn.com.tw/news/574626
2026-08-29 01:17:32,1513,重電8月營收1表評》士電、東元、中興電、華城...法人「8選2」：目標價、EPS一次看- 上市櫃 - 旺得富理財網,旺得富理財網,https://wantrich.chinatimes.com/news/20260829900007-420101
2026-08-25 10:34:57,1513,熱門股》輝達喊要能源 中興電亮燈 - 自由時報,自由時報,https://stock.ltn.com.tw/article/p9vhzfwlukw0
2026-08-24 01:31:31,1513,台股多空拉鋸45K！貿聯、中興電、南亞、金居、汎銓...5檔焦點股金控投顧天花板、地板價全說了- 上市櫃 - 旺得富理財網,旺得富理財網,https://wantrich.chinatimes.com/news/20260824900141-420101
2026-08-24 01:27:20,1513,台股多空拉鋸45K！貿聯、中興電、南亞、金居、汎銓...5檔焦點股 金控投顧天花板、地板價全說了 - 旺得富理財網,旺得富理財網,https://wantrich.chinatimes.com/news/20260824900141-420101?utm_source=relatedreading&utm_medium=internal&utm_campaign=auto&utm_content=1
2026-08-21 15:47:52,1513,中興電(1513)-同學風向與貼文摘要 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/stock/1513?tab=AISummary
2026-08-18 19:29:58,1513,期貨商論壇／中興電期 有底氣 - UDN,UDN,https://udn.com/news/story/7255/9699576
2026-08-18 19:29:58,1513,期貨商論壇／中興電期 有底氣 - udn.com,udn.com,https://udn.com/news/story/7255/9699576?from=udn-relatednews_ch2
2026-08-18 10:50:02,1513,【08/18券商評等報告彙整】中興電(1513) 今日僅1家券商發布績效評等報告，評價為看多，目標價為198元。 - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1253258
2026-08-16 09:00:00,1513,中興電營收／電力設備市場旺！5月23.92億元 續創同期新高 - 經濟日報,經濟日報,https://money.udn.com/money/story/5710/9555820
