日期,股票代碼,標題,來源,連結
2026-09-26 03:19:03,2308,2308 台達電- 根據摩根史丹利最新研究，電力缺口正加速擴大😉 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184964088
2026-09-25 07:50:53,2308,2308 台達電- AI 伺服器升溫，台達電供應鏈成市場新焦點- 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184957737
2026-09-24 23:40:44,2308,2308 台達電- 台達電外資大手筆買超，盤中成功收復關鍵整數位- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184954236
2026-09-24 21:30:00,2308,聚焦輝達平台 台達電加速AI工廠電源部署 - 自由財經,自由財經,https://ec.ltn.com.tw/article/paper/1772040
2026-09-24 11:06:40,2308,台達電攻輝達DSX AI工廠 800 VDC、液冷方案上陣 - 自由財經,自由財經,https://ec.ltn.com.tw/article/breakingnews/5585330
2026-09-23 20:10:00,2308,AI助攻 富世達、台達電權證熱 - 中時新聞網,中時新聞網,https://www.chinatimes.com/newspapers/20260924000492-260206
2026-09-23 19:00:00,2308,AI助攻富世達、台達電權證熱- 日報 - 工商時報,工商時報,https://www.ctee.com.tw/news/20260924700328-439901
2026-09-23 07:56:54,2308,群益投顧估第四季台股上看53000點 台積電台達電「30檔明牌」一次看 - Yahoo股市,Yahoo股市,https://tw.stock.yahoo.com/news/%E7%BE%A4%E7%9B%8A%E6%8A%95%E9%A1%A7%E4%BC%B0%E7%AC%AC%E5%9B%9B%E5%AD%A3%E5%8F%B0%E8%82%A1%E4%B8%8A%E7%9C%8B53000%E9%BB%9E-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%8F%B0%E9%81%94%E9%9B%BB%E3%80%8C30%E6%AA%94%E6%98%8E%E7%89%8C%E3%80%8D%E4%B8%80%E6%AC%A1%E7%9C%8B-075654475.html
2026-09-23 03:53:03,2308,台達電鄭平拜會印度總理莫迪 在地布局聚焦3領域 - 台視全球資訊網,台視全球資訊網,https://www.ttv.com.tw/finance/view/0920262308379CBB2215909A44A6A22A3B90AB3C4CA9E826/587
2026-09-23 02:58:35,2308,22檔主動ETF淨賣超25億元 台達電逆勢最大買盤 | Newtalk - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/article/LXeX39V
2026-09-23 02:35:55,2308,22檔主動ETF淨賣超25億元台達電逆勢最大買盤| 財經 - newtalk.tw,newtalk.tw,https://newtalk.tw/news/view/2026-09-23/1061450
2026-09-23 02:32:47,2308,2308 台達電- 鄭平會晤莫迪！台達電燃料電池瞄準印度AI 商機 - 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184909186
2026-09-23 02:23:40,2308,台達電鄭平拜會印度總理莫迪 在地布局聚焦3領域 - ttv.com.tw,ttv.com.tw,https://www.ttv.com.tw/finance/view/0920262308379CBB2215909A44A6A22A3B90AB3C4CA9E826/588
2026-09-22 12:30:50,2308,2308 台達電- 股市最新爆料，掌握股友們對眾個股股價、技術分析、新聞的第一手... - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184893663
2026-09-22 11:45:25,2308,台達電董座鄭平拜會印度總理莫迪 持續擴充在地產能聚焦三大領域 - news.cnyes.com,news.cnyes.com,https://news.cnyes.com/news/id/6613308
2026-09-22 11:26:27,2308,2308 台達電- 09/22主動式ETF籌碼日報（金流版） - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184892414
2026-09-22 07:40:14,2308,AI太會吃！台達電端「電＋冷」雙菜單 降溫供電全包 - 聚財網,聚財網,https://news.wearn.com/c2111656.html
2026-09-22 07:36:55,2308,2308 台達電- 股價3000再慶祝今天賣的3100以上用搶的通通漲停買- 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184888375
2026-09-22 07:32:48,2308,AI太會吃！台達電端「電＋冷」雙菜單降溫供電全包| 財經 - Newtalk新聞,Newtalk新聞,https://newtalk.tw/news/view/2026-09-22/1061304
2026-09-22 07:09:59,2308,大盤大漲 4%，經理人卻在賣：台達電被搶進，緯穎被丟出 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoney-9fb6743c-b654-11f1-abc8-a4397411466c
2026-09-22 04:20:16,2308,2308 台達電- 垂直供電權利金進補Vicor營收成長上修、盤後飆- 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184883185
2026-09-22 03:00:18,2308,6天大漲25%！台達電飆1965元近一個月高點 分析師喊「要續抱」 - tw.stock.yahoo.com,tw.stock.yahoo.com,https://tw.stock.yahoo.com/news/6%E5%A4%A9%E5%A4%A7%E6%BC%B225%EF%BC%81%E5%8F%B0%E9%81%94%E9%9B%BB%E9%A3%861965%E5%85%83%E8%BF%91%E4%B8%80%E5%80%8B%E6%9C%88%E9%AB%98%E9%BB%9E-%E5%88%86%E6%9E%90%E5%B8%AB%E5%96%8A%E3%80%8C%E8%A6%81%E7%BA%8C%E6%8A%B1%E3%80%8D-025655251.html
2026-09-22 02:34:21,2308,主動式ETF大換血台達電獲搶進、鴻勁遭重砍| 財經 - Newtalk新聞,Newtalk新聞,https://newtalk.tw/news/view/2026-09-22/1061204
2026-09-22 00:47:10,2308,"0922台股盤前｜台積電、聯發科與台達電三雄領軍，加權大漲 538.09 點收 47,718.84 點！綠能網通全面噴發，策略鎖定豪勉、聯傑、華經 - news.cnyes.com",news.cnyes.com,https://news.cnyes.com/news/id/6612689
2026-09-21 23:32:00,2308,《台北股市》投信21日買超股：聯電、京元電子、台達電 - 富聯網,富聯網,https://ww2.money-link.com.tw/RealtimeNews/NewsContent.aspx?SN=6308876001&PU=0010
2026-09-21 20:31:38,2308,強化印度布局！台達電董座會見印度總理莫迪 - 自由時報,自由時報,https://stock.ltn.com.tw/article/mbv4yduuxstf
2026-09-21 20:10:00,2308,熱門股－台達電 三大法人買超 - 中時新聞網,中時新聞網,https://www.chinatimes.com/newspapers/20260922000347-260206
2026-09-21 17:38:52,2308,台達電、貿聯 四檔放閃 - udn.com,udn.com,https://udn.com/news/story/7255/9769264
2026-09-21 16:25:00,2308,台達電 (2308) 澄清工商時報115年9月19日報導 - GeneOnline,GeneOnline,https://geneonline.news/%E5%8F%B0%E9%81%94%E9%9B%BB-2308-%E6%BE%84%E6%B8%85%E5%B7%A5%E5%95%86%E6%99%82%E5%A0%B1115%E5%B9%B49%E6%9C%8819%E6%97%A5%E5%A0%B1%E5%B0%8E/
2026-09-21 16:25:00,2308,台達電、貿聯 四檔放閃 - 經濟日報,經濟日報,https://money.udn.com/money/story/5739/9769264
2026-09-21 13:49:16,2308,三大法人買賣超 – 外資買超(2454)聯發科、(2409)友達，投信買超(2308)台達電、(6805)富世達，法人合計買超470.38億元 - sinotrade.com.tw,sinotrade.com.tw,https://www.sinotrade.com.tw/richclub/MarketTrends/%E4%B8%89%E5%A4%A7%E6%B3%95%E4%BA%BA%E8%B2%B7%E8%B3%A3%E8%B6%85-%E2%80%93-%E5%A4%96%E8%B3%87%E8%B2%B7%E8%B6%85-2454-%E8%81%AF%E7%99%BC%E7%A7%91--2409-%E5%8F%8B%E9%81%94-%E6%8A%95%E4%BF%A1%E8%B2%B7%E8%B6%85-2308-%E5%8F%B0%E9%81%94%E9%9B%BB--6805-%E5%AF%8C%E4%B8%96%E9%81%94-%E6%B3%95%E4%BA%BA%E5%90%88%E8%A8%88%E8%B2%B7%E8%B6%85470-38%E5%84%84%E5%85%83--0921--6ab0ec2f7a2caa00e3ed3baf
2026-09-21 13:48:51,2308,台達電強化印度佈局 董事長鄭平會見總理莫迪 - 自由財經,自由財經,https://ec.ltn.com.tw/article/breakingnews/5581621
2026-09-21 11:40:35,2308,【00991A】09/21 操作日報｜經理人精準換股！重壓台達電 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/cmoney-42b96096-b5b1-11f1-9980-ab0666d1957e
