日期,股票代碼,標題,來源,連結
2026-09-11 02:36:19,2330,台積電獲利會受影響嗎？外資點出六大關鍵| 個股情報| 股市 - UDN,UDN,https://udn.com/news/story/7252/9748104?from=udn-relatednews_ch2
2026-09-11 01:37:21,2330,早盤陷4萬6保衛戰！台股下跌逾8百點 台積電跌20元、開2430元 - Yahoo股市,Yahoo股市,https://tw.stock.yahoo.com/news/%E6%97%A9%E7%9B%A4%E9%99%B74%E8%90%AC6%E4%BF%9D%E8%A1%9B%E6%88%B0-%E5%8F%B0%E8%82%A1%E4%B8%8B%E8%B7%8C%E9%80%BE8%E7%99%BE%E9%BB%9E-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E8%B7%8C20%E5%85%83-%E9%96%8B2430%E5%85%83-011542993.html
2026-09-11 01:29:39,2330,2330 台積電 - 專家揭台積電、川湖合理價破萬未必昂貴- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184529040
2026-09-11 01:29:27,2330,2330 台積電 - 快訊／美股大跌！台股重挫逾800點台積電跌30元至2420 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184529026
2026-09-11 01:16:22,2330,台積電營收創新高市場不買單？盤中殺35元逼近月線 分析師仍看多 - Yahoo股市,Yahoo股市,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%87%9F%E6%94%B6%E5%89%B5%E6%96%B0%E9%AB%98%E5%B8%82%E5%A0%B4%E4%B8%8D%E8%B2%B7%E5%96%AE%EF%BC%9F%E7%9B%A4%E4%B8%AD%E6%AE%BA35%E5%85%83%E9%80%BC%E8%BF%91%E6%9C%88%E7%B7%9A-%E5%88%86%E6%9E%90%E5%B8%AB%E4%BB%8D%E7%9C%8B%E5%A4%9A-011442514.html
2026-09-11 01:04:00,2330,快訊／美股大跌！台股重挫逾800點　台積電跌30元至2420 - ETtoday財經雲,ETtoday財經雲,https://finance.ettoday.net/news/3235401
2026-09-11 00:19:12,2330,2330 台積電 - 後美債時代: 2年、5年、10年、20年美債殖利率全部跳升- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184526103
2026-09-10 23:46:21,2330,2330 台積電 - 09/11 台股盤前：昨夜費半重挫2.66%，中東情勢升溫、美債殖利率走高，台股AI如何表態？ - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184525718
2026-09-10 22:42:30,2330,AI大趨勢尚處極早期！台積電高盛大會最新研判：智能體將把算力需求擴至CPU N3、CoWoS產能仍非常吃緊 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184524982
2026-09-10 22:35:58,2330,2330 台積電 - 【美股巨頭】台積電8月營收年增53%創歷史新高，股價卻跌？市場在算下一題- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184524911
2026-09-10 22:23:09,2330,2330 台積電 - 【美股巨頭】從499美元被降評，微軟憑什麼還值這個價？ - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184524802
2026-09-10 22:19:08,2330,2330 台積電 - 【美股巨頭】邁威爾跌3.43%，AI訂單旺季卻被當壞消息？市場在看下一張牌- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184524766
2026-09-10 16:06:14,2330,快訊！台積電(2330)8月營收首破5000億！回推財測更驚人，第三季有望挑戰財測高標 - 優分析UAnalyze,優分析UAnalyze,https://uanalyze.com.tw/articles/5149155069
2026-09-10 13:52:20,2330,2330 台積電 - 指數今天收跌重疊46580多方攻擊失敗先看季線45250支撐 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184520200
2026-09-10 13:14:04,2330,2330 台積電 - 八月3千點獲利😇月月千點入袋💕避險作帳買超跌股🌟 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184519223
2026-09-10 11:38:34,2330,2330 台積電 - 新天璣處理器發表前先送大禮，聯發科 8 月營收創單月歷史新紀錄- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184517007
2026-09-10 11:02:31,2330,2330 台積電 - 失守47000！台股陷危機！？ - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184516056
2026-09-10 10:50:03,2330,"【09/10券商評等報告彙整】台積電(2330) 今日僅1家券商發布績效評等報告，評價為看多，目標價為3,650元。 - CMoney",CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1266553
2026-09-10 10:36:18,2330,2330 台積電 - 欣興股價反彈，現在該加碼還是逃？ 杜金龍更大膽推測：台股今年... - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184515499
2026-09-10 10:13:43,2330,台積電（2330）8月營收首度衝破5字頭再創新高：營收、法說、配息資訊一次看！後市將如何發展？ - top1markets.com,top1markets.com,https://www.top1markets.com/tw/news/7435864
2026-09-10 10:12:12,2330,快訊！台積電(2330)8月營收首破5000億！回推財測更驚人，第三季有望挑戰財測高標| 優分析 - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/article/l2R7kGL
2026-09-10 10:10:36,2330,2330 台積電 - 川普重棒加課晶片關稅？龔明鑫拋2.5倍免稅額度「護體」親揭台美供應鏈布局細節- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184514984
2026-09-10 10:03:21,2330,2330 台積電 - 【美股盤前】Adobe財報盤後登場，科技股能撐住評價？（2026.09.10） - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184514815
2026-09-10 09:31:25,2330,快訊！台積電(2330)8月營收首破5000億！回推財測更驚人，第三季有望挑戰財測高標 - news.cnyes.com,news.cnyes.com,https://news.cnyes.com/news/id/6603121
2026-09-10 09:31:25,2330,快訊！台積電(2330)8月營收首破5000億！回推財測更驚人，第三季有望挑戰財測高標 - 鉅亨網,鉅亨網,https://m.cnyes.com/news/id/6603121
2026-09-10 09:03:13,2330,2330 台積電 - 不到兩天6 集點名台積電全數看多，八月營收月增10% 確立 AI 盈利 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184513596
2026-09-10 08:50:46,2330,2330 台積電 - 遠傳公布iPhone Duo／18 Pro系列資費預約登記量翻倍、勃根地紅最夯- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184513398
2026-09-10 08:30:44,2330,2330 台積電 - 蘋果改寫晶片封裝：A20 Pro攜台積電2奈米登場棄PoP轉WMCM - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184512904
2026-09-10 08:20:08,2330,2330 台積電 - 大家猜猜看這是哪一檔股票？（提示：週線圖） - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184512667
2026-09-10 08:10:58,2330,2330 台積電 - 快訊／台股收跌243點台積電跌15元、被動元件翻紅2檔收漲停- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184512517
2026-09-10 08:03:07,2330,台積電8月營收5148億元再創新高！連4月刷新紀錄，第三季再創高期待升溫 - Yahoo新聞,Yahoo新聞,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB8%E6%9C%88%E7%87%9F%E6%94%B65148%E5%84%84%E5%85%83%E5%86%8D%E5%89%B5%E6%96%B0%E9%AB%98-%E9%80%A34%E6%9C%88%E5%88%B7%E6%96%B0%E7%B4%80%E9%8C%84-%E7%AC%AC%E4%B8%89%E5%AD%A3%E5%86%8D%E5%89%B5%E9%AB%98%E6%9C%9F%E5%BE%85%E5%8D%87%E6%BA%AB-080307886.html
2026-09-10 07:45:22,2330,"2330 台積電 - 台積電8月營收首度衝破5字頭達5,148億元再攀峰- 股市爆料同學會 - CMoney",CMoney,https://www.cmoney.tw/forum/article/184511947
2026-09-10 07:35:43,2330,台積電8月營收5148億 今年8個月中有6個月營收創新高 - Yahoo新聞,Yahoo新聞,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB8%E6%9C%88%E7%87%9F%E6%94%B65148%E5%84%84-%E4%BB%8A%E5%B9%B48%E5%80%8B%E6%9C%88%E4%B8%AD%E6%9C%896%E5%80%8B%E6%9C%88%E7%87%9F%E6%94%B6%E5%89%B5%E6%96%B0%E9%AB%98-073543180.html
2026-09-10 07:30:29,2330,台積電8月營收又破紀錄！網嗨喊「電梯向上大爆噴」 分析師也看多 - tw.stock.yahoo.com,tw.stock.yahoo.com,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB8%E6%9C%88%E7%87%9F%E6%94%B6%E5%8F%88%E7%A0%B4%E7%B4%80%E9%8C%84%EF%BC%81%E7%B6%B2%E5%96%8A%E8%82%A1%E5%83%B9%E3%80%8C%E9%9B%BB%E6%A2%AF%E5%90%91%E4%B8%8A%E5%A4%A7%E7%88%86%E5%99%B4%E3%80%8D-%E5%88%86%E6%9E%90%E5%B8%AB%E4%B9%9F%E7%9C%8B%E5%A4%9A-073029719.html
2026-09-10 07:28:05,2330,"台積電8月營收首度衝破5字頭 達5,148億元再攀峰 - tw.stock.yahoo.com",tw.stock.yahoo.com,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB8%E6%9C%88%E7%87%9F%E6%94%B6%E9%A6%96%E5%BA%A6%E8%A1%9D%E7%A0%B45%E5%AD%97%E9%A0%AD-%E9%81%945-148%E5%84%84%E5%85%83%E5%86%8D%E6%94%80%E5%B3%B0-072805542.html
