日期,股票代碼,標題,來源,連結
2026-09-11 23:00:30,2454,輝達35億美元投資聯發科黃仁勳背後盤算- 財經 - 中時新聞網,中時新聞網,https://www.chinatimes.com/realtimenews/20260912000007-260410
2026-09-11 15:56:21,2454,不只Google TPU！聯發科攜輝達攻NVLink Fusion　從一顆晶片做到機櫃級AI - 經濟日報,經濟日報,https://money.udn.com/money/story/5607/9746666
2026-09-11 12:02:00,2454,聯發科8月營收飆641億新高！天璣旗艦將登場股價卻跌，市場是真的不買單？還是在等待機會| 下班經濟學| 財經 - 風傳媒,風傳媒,https://www.storm.mg/article/11163774
2026-09-11 11:50:12,2454,想一次擁有聯發科＋聯電？小資教主點名「這幾檔ETF」：別只看名稱 - 三立新聞,三立新聞,https://inews.setn.com/news/1905608
2026-09-11 11:40:00,2454,想一次擁有聯發科＋聯電？小資教主點名「這幾檔ETF」：別只看名稱 - Yahoo新聞,Yahoo新聞,https://tw.news.yahoo.com/%E6%83%B3-%E6%AC%A1%E6%93%81%E6%9C%89%E8%81%AF%E7%99%BC%E7%A7%91-%E8%81%AF%E9%9B%BB-%E5%B0%8F%E8%B3%87%E6%95%99%E4%B8%BB%E9%BB%9E%E5%90%8D-%E9%80%99%E5%B9%BE%E6%AA%94etf-114000473.html
2026-09-11 11:35:00,2454,一次擁有聯發科＋聯電？她點名這幾檔ETF - 鏡週刊Mirror Media,鏡週刊Mirror Media,https://www.mirrormedia.mg/external/amp/setn_1905608
2026-09-11 10:57:20,2454,AI ASIC 第4季將放量 法人看好聯發科、創意等受惠 | 市場焦點 | 證券 - 經濟日報,經濟日報,https://money.udn.com/money/story/5607/9749242
2026-09-11 09:18:33,2454,2454 聯發科 - 總結一下發哥這週的表現多頭週一出量長紅之後接連休息了四... - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184555284
2026-09-11 08:57:03,2454,"2454 聯發科 - 9/12,本期週刊股-2文赫- 股市爆料同學會 - CMoney",CMoney,https://www.cmoney.tw/forum/article/184555155
2026-09-11 07:01:45,2454,AI把IC設計業績捧上天！全球十大營收年增73% 聯發科居第五、台廠3家卡位| 財經 - newtalk.tw,newtalk.tw,https://newtalk.tw/news/view/2026-09-11/1059202
2026-09-11 06:45:00,2454,聯發科8月營收641億創新高，首款AI ASIC第4季量產 - pocket.tw,pocket.tw,https://www.pocket.tw/school/report/SCHOOL/7908/
2026-09-11 06:39:04,2454,AI催旺IC設計營收年增73%，聯發科 (2454) 還藏哪個關鍵訊號？-哲翰科技戰情室 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/zhouzhehan-7b651499-adab-11f1-8b18-0854560be880
2026-09-11 06:35:37,2454,營收速報》聯發科8月營收爆發衝破640億 年月雙增創新高 - stock.ltn.com.tw,stock.ltn.com.tw,https://stock.ltn.com.tw/article/kbufslm2u2d6
2026-09-11 02:11:12,2454,聯發科營收報喜股價不賞臉！早盤挫逾2% 分析師示警：逃不出「如來佛手掌心」 - Yahoo股市,Yahoo股市,https://tw.stock.yahoo.com/news/%E8%81%AF%E7%99%BC%E7%A7%91%E7%87%9F%E6%94%B6%E5%A0%B1%E5%96%9C%E8%82%A1%E5%83%B9%E4%B8%8D%E8%B3%9E%E8%87%89%EF%BC%81%E6%97%A9%E7%9B%A4%E6%8C%AB%E9%80%BE2-%E5%88%86%E6%9E%90%E5%B8%AB%E7%A4%BA%E8%AD%A6%EF%BC%9A%E9%80%83%E4%B8%8D%E5%87%BA%E3%80%8C%E5%A6%82%E4%BE%86%E4%BD%9B%E6%89%8B%E6%8E%8C%E5%BF%83%E3%80%8D-020739760.html
2026-09-11 01:40:44,2454,2454 聯發科 - 進場狂搶- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/184529845
