日期,股票代碼,標題,來源,連結
2026-08-30 20:10:00,3008,大立光、宜鼎 法人看好 - 中時新聞網,中時新聞網,https://www.chinatimes.com/newspapers/20260831000325-260206
2026-08-30 17:09:14,3008,00982A、00992A、00400A、00900…大立光可能變萬金股！12檔含「光」ETF出列，達人一理由：我會看它 - 今周刊,今周刊,https://www.businesstoday.com.tw/article/category/183013/post/202608280010/
2026-08-30 06:37:47,3008,大立光7月營收符合預期 法人：全年 EPS 上看182.2元 - 經濟日報,經濟日報,https://money.udn.com/money/story/5710/9722946
2026-08-30 06:37:45,3008,大立光7月營收符合預期 法人：全年EPS上看182.2元 - UDN,UDN,https://udn.com/news/story/7252/9722946
2026-08-30 01:59:26,3008,金控雙雄法說登場、輝達財報優於預期、大立光再砸30.8億元購地 本周大事回顧 - Yahoo 財經,Yahoo 財經,https://hk.finance.yahoo.com/news/%E9%87%91%E6%8E%A7%E9%9B%99%E9%9B%84%E6%B3%95%E8%AA%AA%E7%99%BB%E5%A0%B4-%E8%BC%9D%E9%81%94%E8%B2%A1%E5%A0%B1%E5%84%AA%E6%96%BC%E9%A0%90%E6%9C%9F-%E5%A4%A7%E7%AB%8B%E5%85%89%E5%86%8D%E7%A0%B830-8%E5%84%84%E5%85%83%E8%B3%BC%E5%9C%B0-%E6%9C%AC%E5%91%A8%E5%A4%A7%E4%BA%8B%E5%9B%9E%E9%A1%A7-011112831.html
2026-08-29 18:18:35,3008,二大題材發酵 大立光股價創七字頭歷史新高 - UDN,UDN,https://udn.com/news/story/7252/9722104
2026-08-29 16:34:57,3008,【即時新聞】大立光最新光纖題材發酵，股價創七字頭新高，單季營收估季增逾三成！ - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/newsyoudeservetoknow-927fd2e1-a3c7-11f1-b5fe-ab3cea5a4d11
2026-08-29 16:15:40,3008,台股擂台／周冠軍「股市獲利王」何文高 本周押大立光、AMAX - 經濟日報,經濟日報,https://money.udn.com/money/story/123397/9722025
2026-08-29 10:11:12,3008,金控雙雄法說登場、輝達財報優於預期、大立光再砸30.8億元購地本周大事回顧- 財經新聞 - 玩股網,玩股網,https://www.wantgoo.com/news/1262964
2026-08-29 10:11:00,3008,金控雙雄法說登場、輝達財報優於預期、大立光再砸30.8億元購地本周大事回顧｜新聞快訊｜豐雲學堂 - sinotrade.com.tw,sinotrade.com.tw,https://www.sinotrade.com.tw/richclub/news/6a93879a0a527338b64c9582
2026-08-29 09:40:07,3008,3008 大立光- 感謝林董- 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/183510473
2026-08-29 09:00:00,3008,"折疊 iPhone 尬 AI 伺服器！大立光、緯穎衝破7,000元 台股第三千金爭霸 - 經濟日報",經濟日報,https://money.udn.com/money/story/5607/9719490
2026-08-29 09:00:00,3008,大立光今年第四度出手獵地 斥資逾30億元購進台中南屯區土地 - 經濟日報,經濟日報,https://money.udn.com/money/story/5612/9713190
2026-08-29 05:48:05,3008,大立光第五度獵地砸63億布局台中 房產專家：土地廠房成產業先行指標 - UDN,UDN,https://udn.com/news/story/7240/9720607
2026-08-29 05:21:52,3008,3008 大立光- 品讀《102歲，一個人生活》- 歲月流逝後，依舊美好😊 - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/183508299
2026-08-29 01:34:59,3008,【即時新聞】大立光最新光纖題材發酵，股價創七字頭新高，單季營收估季增逾三成！ - CMoney,CMoney,https://www.cmoney.tw/forum/article/183513432
2026-08-29 00:31:16,3008,3008 大立光- 科技 ETF 利多支撐漲勢帶勁主動永豐科技趨勢周漲8.9% - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/183513051
2026-08-28 23:51:34,3008,大立光 3008 - CMoney,CMoney,https://www.cmoney.tw/forum/article/183505147
2026-08-28 22:39:20,3008,【即時新聞】最新！大立光下半年營運衝高峰，AI新機拉貨帶動獲利結構優化 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/newsyoudeservetoknow-4f4f9cdf-a331-11f1-80b4-e08cd397d674
2026-08-28 18:59:29,3008,大立光 兩檔火熱 - UDN,UDN,https://udn.com/news/amp/story/7255/9720698
2026-08-28 18:32:27,3008,3008 大立光- 🚨 主力加碼卡位？昨日主動式ETF 加碼這檔！ - 股市爆料同學會 - CMoney,CMoney,https://www.cmoney.tw/forum/article/183503479
2026-08-28 18:01:27,3008,大立光今年來五度台中買地 - UDN,UDN,https://udn.com/news/story/7240/9720898
2026-08-28 16:14:00,3008,大立光 兩檔火熱 - 經濟日報,經濟日報,https://money.udn.com/money/story/5739/9720698
2026-08-28 16:03:43,3008,大立光 兩檔火熱 - UDN,UDN,https://udn.com/news/story/7255/9720698
2026-08-28 15:57:57,3008,大立光今年來五度台中買地 - 經濟日報,經濟日報,https://money.udn.com/money/story/5612/9720898
2026-08-28 14:07:05,3008,大立光創新高 台股ETF 00992A漲幅居冠 - Yahoo新聞,Yahoo新聞,https://tw.news.yahoo.com/%E5%A4%A7%E7%AB%8B%E5%85%89%E5%89%B5%E6%96%B0%E9%AB%98-%E5%8F%B0%E8%82%A1etf-00992a%E6%BC%B2%E5%B9%85%E5%B1%85%E5%86%A0-140705238.html
2026-08-28 12:51:00,3008,大立光股價再創天價！發重訊宣布好消息 猛砸63億布局 - TVBS新聞網,TVBS新聞網,https://news.tvbs.com.tw/money/4014315
2026-08-28 10:41:56,3008,波若威等4檔8/31起打入處置 大立光等48檔列注意股 - 自由財經,自由財經,https://ec.ltn.com.tw/article/breakingnews/5555778
2026-08-28 10:39:00,3008,大立光衝7270新天價，4天漲逾三成！CPO點燃35檔「含光」ETF - 遠見雜誌,遠見雜誌,https://www.gvm.com.tw/article/132704
2026-08-28 10:24:24,3008,土地買不完？大立光再砸6.5億元買廠房 2個月內五度出手、累計砸逾63億元 | 太報 - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/article/ZaR55ZO
2026-08-28 09:37:57,3008,大立光再砸6.51億元買廠房 兩個月五度獵地累計投入逾63億元 - CMoney,CMoney,https://www.cmoney.tw/forum/article/183460514
2026-08-28 09:30:35,3008,輕鬆贏在飆股起跑點、國巨⊕、華新科⊕、精材⊕、金像電⊕、貿聯⊕、大立光 - news.cnyes.com,news.cnyes.com,https://news.cnyes.com/news/id/6590780
2026-08-28 09:29:00,3008,土地買不完？大立光再砸6.5億元買廠房2個月內五度出手、累計砸逾63億元| 財經焦點 - 太報 TaiSounds,太報 TaiSounds,https://www.taisounds.com/news/content/76/285725
