日期,股票代碼,標題,來源,連結
2026-09-17 00:05:00,6112,《資服股》注意股：邁達特 近5日漲12.19% - ww2.money-link.com.tw,ww2.money-link.com.tw,https://ww2.money-link.com.tw/realtimenews/NewsContent.aspx?SN=6304963001&PU=1002
2026-09-16 08:49:49,6112,賣IT設備的公司，邁達特EPS為什麼一年成長330%？AI真正賺錢的地方可能不只GPU - moneyweekly.com.tw,moneyweekly.com.tw,https://www.moneyweekly.com.tw/ArticleData/Info/Article/249081
2026-09-16 08:47:17,6112,賣IT設備的公司，邁達特EPS為什麼一年成長330%？AI真正賺錢的地方可能不只GPU - 理財周刊,理財周刊,http://www.moneyweekly.com.tw/Home/ChangePage/Article/249081/?Type=3&Line=Home_ArticleSet_103&Page=FCE914305A6531AB6432D7582FBD3210ED807EA1EE4F0EF46B3AD8D7E7A5E9BC32044E43358EF7BE3FFE2B65D95AA3586B10D937329E59C7ED705BACED8B4A93BD912BF951D1FBBCD80C0A736A30F986A1455562434D657A85A3E1709B59167E9BEE9B2534086EF8A781C32F1CBAE04CF19894B679F6BB51E0E34B8F7CFFFA194EE353D7DE3B62A1D66A19A944607CA5CEDAF1B5AC8D0059865E888B1B35722B0B36C18AC4A40A8882CB5878CFAF321BD7988E94432E8B171D4214442ECE283394A677915B0EE2BF7A31C5A152EE9CB62A7ADA044E9137CD
2026-09-16 04:36:06,6112,邁達特看好AI資安發展，下半年樂觀看待 - Yahoo股市,Yahoo股市,https://tw.stock.yahoo.com/news/%E9%82%81%E9%81%94%E7%89%B9%E7%9C%8B%E5%A5%BDai%E8%B3%87%E5%AE%89%E7%99%BC%E5%B1%95-%E4%B8%8B%E5%8D%8A%E5%B9%B4%E6%A8%82%E8%A7%80%E7%9C%8B%E5%BE%85-032500544.html
2026-09-16 03:52:00,6112,零壹、邁達特…黃仁勳點火，AI資安股大漲可以買？5檔台股誰最有漲相？「會上車也要懂下車」操作心法曝光 - businesstoday.com.tw,businesstoday.com.tw,https://www.businesstoday.com.tw/article/category/183008/post/202609160026/
2026-09-16 03:25:00,6112,邁達特看好AI資安發展，下半年樂觀看待- 新聞 - moneydj.com,moneydj.com,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=f0f834c0-2f78-4b60-9c1b-de0c6c0c256f
2026-09-16 00:07:00,6112,《資服股》注意股：邁達特 近5日漲8.08% - 富聯網,富聯網,https://ww2.money-link.com.tw/realtimenews/NewsContent.aspx?SN=6303879001&PU=1002
2026-09-15 21:30:00,6112,AI、資安需求強 邁達特、零壹明年樂觀 - 自由財經,自由財經,https://ec.ltn.com.tw/article/paper/1770859
2026-09-15 12:45:34,6112,6112 邁達特- 大刻度起漲點就在昨天- 股市爆料同學會 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/forum/article/184650594
2026-09-15 03:25:11,6112,焦點股》邁達特：AI資安題材發酵 高低震盪逾6％ - ec.ltn.com.tw,ec.ltn.com.tw,https://ec.ltn.com.tw/article/breakingnews/5574265
