date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-21,AAOI,129.37,133.72,121.89,124.82,124.82,8018846
2026-08-20,AAOI,121.92,130.49,118.6,129.1,129.1,9518800
2026-08-19,AAOI,135.85,138.56,121.5,122.19,122.19,12346600
2026-08-18,AAOI,146.2,151.41,131.22,131.41,131.41,14651500
2026-08-17,AAOI,152.64,160.99,147.35,154.89,154.89,12904100
2026-08-14,AAOI,130.39,153.39,130.34,150.28,150.28,18775000
2026-08-13,AAOI,135.84,144.52,129.67,130.08,130.08,10700700
2026-08-12,AAOI,141.7,142.8,129.09,138.08,138.08,13189200
2026-08-11,AAOI,133.97,137.23,127.5,134.33,134.33,9211200
2026-08-10,AAOI,141.72,148.9,128.8,132.81,132.81,18508700
2026-08-07,AAOI,142.48,149.35,130.5,135.63,135.63,24102400
2026-08-06,AAOI,121.38,134.29,118.88,124.22,124.22,15377200
2026-08-05,AAOI,128.45,140.34,128.0,128.56,128.56,12480200
2026-08-04,AAOI,128.57,136.27,123.5,131.63,131.63,21013700
2026-08-03,AAOI,89.8,110.95,88.13,110.21,110.21,12055500
2026-07-31,AAOI,100.1,103.2,91.03,94.32,94.32,9739900
2026-07-30,AAOI,83.35,90.68,82.8,90.11,90.11,10949200
2026-07-29,AAOI,88.19,88.28,76.01,76.52,76.52,12204300
2026-07-28,AAOI,92.95,93.35,81.54,88.14,88.14,10840300
2026-07-27,AAOI,100.56,102.95,92.22,97.82,97.82,6662400
2026-07-24,AAOI,108.97,109.71,99.48,100.15,100.15,7103600
2026-07-23,AAOI,108.58,119.72,108.17,112.02,112.02,6288600
2026-07-22,AAOI,114.99,117.49,110.01,110.52,110.52,8073000
2026-07-21,AAOI,107.74,120.2,107.4,119.26,119.26,10284700
2026-07-20,AAOI,104.86,107.32,102.06,103.02,103.02,5163500
2026-07-17,AAOI,96.11,106.18,91.5,102.41,102.41,9637800
2026-07-16,AAOI,105.0,107.11,97.89,100.24,100.24,9966600
2026-07-15,AAOI,123.79,124.43,106.1,109.09,109.09,10324200
2026-07-14,AAOI,119.42,128.35,117.7,125.45,125.45,9987000
2026-07-13,AAOI,115.92,117.59,109.21,111.88,111.88,6599200
2026-07-10,AAOI,118.71,124.78,113.1,119.92,119.92,6738000
2026-07-09,AAOI,119.5,127.51,118.18,122.21,122.21,9211800
2026-07-08,AAOI,113.02,118.1,110.5,114.44,114.44,6289000
2026-07-07,AAOI,118.15,126.19,111.5,114.41,114.41,9265800
2026-07-06,AAOI,120.21,129.81,116.5,123.36,123.36,8121000
2026-07-02,AAOI,135.85,139.27,113.41,120.95,120.95,15986500
2026-07-01,AAOI,143.56,147.54,136.66,139.0,139.0,6477800
2026-06-30,AAOI,146.5,152.23,144.18,148.16,148.16,7492800
2026-06-29,AAOI,135.43,150.4,130.29,150.1,150.1,10321900
2026-06-26,AAOI,131.68,140.83,127.01,135.69,135.69,20188200
2026-06-25,AAOI,151.19,152.4,134.31,138.54,138.54,13301900
2026-06-24,AAOI,149.51,150.34,137.7,146.97,146.97,10609900
2026-06-23,AAOI,158.0,160.99,145.26,147.44,147.44,13591900
2026-06-22,AAOI,162.91,177.16,155.74,171.23,171.23,14536900
2026-06-18,AAOI,174.65,174.76,158.04,161.85,161.85,16726200
2026-06-17,AAOI,174.71,177.59,165.79,167.34,167.34,10005500
2026-06-16,AAOI,194.21,196.5,169.87,170.81,170.81,13109800
2026-06-15,AAOI,177.27,194.97,176.6,191.55,191.55,14611900
2026-06-12,AAOI,173.14,179.9,163.66,169.05,169.05,12686900
2026-06-11,AAOI,167.55,175.2,162.1,172.78,172.78,14448500
2026-06-10,AAOI,171.79,184.91,167.42,175.13,175.13,17040900
2026-06-09,AAOI,202.8,207.6,160.87,162.88,162.88,26968700
2026-06-08,AAOI,184.75,203.2,177.05,196.64,196.64,14905700
2026-06-05,AAOI,191.42,208.5,174.23,177.0,177.0,19828200
2026-06-04,AAOI,173.46,209.64,171.09,202.89,202.89,14528800
2026-06-03,AAOI,200.5,205.0,180.55,184.07,184.07,9948700
2026-06-02,AAOI,195.16,205.77,188.2,202.37,202.37,12724300
2026-06-01,AAOI,149.25,191.98,149.05,185.67,185.67,16045900
2026-05-29,AAOI,168.55,169.0,153.1,158.41,158.41,11922000
2026-05-28,AAOI,181.0,183.24,166.69,169.02,169.02,10018400
