date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-28,AAPL,317.09,322.37,315.45,319.7,319.7,38500185
2026-08-27,AAPL,310.55,315.4,309.4,314.58,314.58,32248789
2026-08-26,AAPL,310.3,315.43,308.8,313.45,313.45,34024500
2026-08-25,AAPL,310.93,313.58,308.21,309.9,309.9,25666176
2026-08-24,AAPL,311.47,313.36,309.97,310.34,310.34,34673600
2026-08-21,AAPL,312.05,312.38,307.01,309.35,309.35,42216056
2026-08-20,AAPL,317.46,320.28,310.65,311.3,311.3,40959200
2026-08-19,AAPL,310.14,319.28,309.6,316.83,316.83,50505600
2026-08-18,AAPL,307.58,311.49,305.74,310.03,310.03,53424500
2026-08-17,AAPL,306.21,307.66,302.94,305.59,305.59,38169300
2026-08-14,AAPL,306.0,307.49,304.3,305.93,305.93,28229400
2026-08-13,AAPL,304.21,306.0,302.05,305.26,305.26,40349300
2026-08-12,AAPL,305.1,305.66,300.57,302.25,302.25,41657800
2026-08-11,AAPL,307.75,309.97,302.79,304.91,304.91,37476700
2026-08-10,AAPL,306.83,308.26,304.61,308.26,308.26,44812500
2026-08-07,AAPL,311.45,314.81,310.74,313.33,313.06,34437200
2026-08-06,AAPL,314.34,316.29,309.23,312.41,312.14,46139900
2026-08-05,AAPL,309.36,311.71,305.67,311.0,310.73,49438800
2026-08-04,AAPL,302.73,310.42,301.32,309.38,309.11,68001000
2026-08-03,AAPL,309.58,311.8,302.56,303.42,303.16,75052000
2026-07-31,AAPL,304.81,310.69,300.0,308.91,308.64,132489100
2026-07-30,AAPL,333.1,334.75,329.59,333.43,333.14,74817800
2026-07-29,AAPL,339.73,344.57,337.35,338.19,337.9,56090800
2026-07-28,AAPL,340.03,342.89,335.6,340.08,339.79,51859000
2026-07-27,AAPL,334.54,339.57,334.02,336.91,336.62,49604300
2026-07-24,AAPL,321.79,334.37,321.62,333.02,332.73,47489400
2026-07-23,AAPL,321.73,323.3,319.35,321.66,321.38,40840800
2026-07-22,AAPL,327.87,329.0,323.34,325.89,325.61,38755900
2026-07-21,AAPL,323.13,329.6,322.22,327.74,327.46,41338900
2026-07-20,AAPL,333.51,333.71,323.68,326.59,326.31,53468000
2026-07-17,AAPL,331.98,334.99,329.0,333.74,333.45,63407100
2026-07-16,AAPL,328.01,334.68,326.79,333.26,332.97,62970600
2026-07-15,AAPL,317.62,328.73,317.32,327.5,327.22,60957600
2026-07-14,AAPL,313.76,316.19,311.91,314.86,314.59,36336800
2026-07-13,AAPL,317.02,323.45,315.78,317.31,317.04,43257800
2026-07-10,AAPL,314.72,316.91,312.17,315.32,315.05,34132300
2026-07-09,AAPL,310.51,316.53,308.16,316.22,315.95,48124500
2026-07-08,AAPL,311.91,314.82,307.05,313.39,313.12,41323500
