date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-27,AMD,482.0,483.0,469.7,476.67,476.67,16373484
2026-08-26,AMD,475.07,491.12,474.58,480.93,480.93,14348100
2026-08-25,AMD,474.6,481.5,469.07,479.18,479.18,18912693
2026-08-24,AMD,468.54,468.54,451.0,456.75,456.75,16602200
2026-08-21,AMD,476.67,477.32,462.11,473.25,473.25,14195919
2026-08-20,AMD,465.67,475.53,460.27,469.46,469.46,15178900
2026-08-19,AMD,486.08,487.01,462.55,466.42,466.42,19208400
2026-08-18,AMD,487.56,491.81,474.98,484.39,484.39,23721500
2026-08-17,AMD,514.16,517.35,504.52,506.0,506.0,20057600
2026-08-14,AMD,487.6,514.67,483.2,514.39,514.39,25570300
2026-08-13,AMD,483.0,497.99,481.0,483.01,483.01,18764900
2026-08-12,AMD,488.32,491.69,480.88,482.93,482.93,18628300
2026-08-11,AMD,474.75,475.99,463.21,474.32,474.32,18052500
2026-08-10,AMD,477.09,483.36,469.29,469.56,469.56,19656600
2026-08-07,AMD,497.94,498.99,476.06,483.36,483.36,26618800
2026-08-06,AMD,471.75,496.72,469.5,489.28,489.28,24675300
2026-08-05,AMD,484.5,502.0,478.2,482.05,482.05,49615800
2026-08-04,AMD,504.0,530.13,502.2,518.58,518.58,48463600
2026-08-03,AMD,461.79,490.95,455.3,484.64,484.64,24422300
2026-07-31,AMD,510.28,515.62,475.76,476.15,476.15,26615700
2026-07-30,AMD,460.0,498.2,457.68,485.39,485.39,36936600
2026-07-29,AMD,452.68,457.22,424.03,429.56,429.56,32304900
2026-07-28,AMD,467.0,472.75,442.27,454.62,454.62,36315500
2026-07-27,AMD,527.51,528.0,476.93,494.95,494.95,31800300
2026-07-24,AMD,546.92,549.0,518.0,521.95,521.95,27200700
2026-07-23,AMD,544.74,556.49,525.0,539.69,539.69,27155100
2026-07-22,AMD,526.88,561.47,526.6,552.33,552.33,24776700
2026-07-21,AMD,526.0,548.14,522.6,544.43,544.43,29045100
2026-07-20,AMD,517.0,522.44,502.36,503.57,503.57,23440700
2026-07-17,AMD,476.88,505.88,460.21,495.76,495.76,32115900
2026-07-16,AMD,509.33,518.74,491.8,500.94,500.94,27093700
2026-07-15,AMD,556.02,558.89,509.57,529.14,529.14,27826200
2026-07-14,AMD,567.22,574.2,546.77,548.13,548.13,21201400
2026-07-13,AMD,537.5,551.87,526.92,534.39,534.39,22957400
2026-07-10,AMD,544.01,560.25,540.05,557.89,557.89,20704500
2026-07-09,AMD,537.27,559.5,535.2,546.72,546.72,26900800
2026-07-08,AMD,504.81,522.98,498.15,517.41,517.41,23768500
2026-07-07,AMD,515.91,524.97,503.11,516.11,516.11,29166800
2026-07-06,AMD,535.35,572.5,527.0,552.05,552.05,30684200
2026-07-02,AMD,538.16,547.65,506.0,517.82,517.82,28142500
2026-07-01,AMD,557.53,564.09,538.74,540.88,540.88,28326800
2026-06-30,AMD,545.57,584.73,545.57,580.91,580.91,34488500
2026-06-29,AMD,522.84,542.19,495.35,539.49,539.49,26671000
2026-06-26,AMD,519.8,525.11,502.61,521.58,521.58,52705100
2026-06-25,AMD,543.93,550.88,507.0,532.57,532.57,27031300
2026-06-24,AMD,520.82,524.96,503.5,519.74,519.74,26548300
2026-06-23,AMD,509.08,528.49,506.81,519.85,519.85,30196800
2026-06-22,AMD,545.5,562.99,535.71,551.63,551.63,25983200
2026-06-18,AMD,531.58,539.69,526.32,537.37,537.37,43805600
2026-06-17,AMD,529.66,532.5,507.3,512.48,512.48,27085300
2026-06-16,AMD,546.89,548.95,507.25,507.29,507.29,28411700
2026-06-15,AMD,535.75,558.37,530.5,547.26,547.26,33482400
2026-06-12,AMD,499.69,521.71,494.0,511.57,511.57,31553100
2026-06-11,AMD,461.6,490.46,458.02,488.45,488.45,30463100
2026-06-10,AMD,467.97,477.45,448.33,452.4,452.4,27777400
2026-06-09,AMD,502.75,505.0,437.23,475.51,475.51,37799800
2026-06-08,AMD,485.0,494.97,477.71,490.33,490.33,25158800
2026-06-05,AMD,499.53,505.62,463.95,466.38,466.38,46900600
2026-06-04,AMD,514.75,532.19,499.87,523.2,523.2,29110000
2026-06-03,AMD,533.75,546.44,524.3,542.52,542.52,29411100
2026-06-02,AMD,506.3,522.49,501.22,521.54,521.54,24293200
2026-06-01,AMD,500.16,517.5,486.8,510.13,510.13,33309200
