date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-27,AMZN,259.23,259.66,255.02,256.26,256.26,35779842
2026-08-26,AMZN,261.28,262.05,258.24,260.28,260.28,21528400
2026-08-25,AMZN,262.6,263.87,259.83,261.06,261.06,25452240
2026-08-24,AMZN,259.6,263.32,259.05,262.07,262.07,28070500
2026-08-21,AMZN,260.75,261.08,257.04,258.63,258.63,35440827
2026-08-20,AMZN,263.16,263.84,259.52,260.11,260.11,28374100
2026-08-19,AMZN,260.85,266.4,258.58,265.84,265.84,35762400
2026-08-18,AMZN,260.63,262.18,257.73,259.45,259.45,33171300
2026-08-17,AMZN,265.44,265.75,258.34,261.31,261.31,43896500
2026-08-14,AMZN,264.88,265.81,262.42,262.65,262.65,27251700
2026-08-13,AMZN,267.24,269.58,264.71,265.13,265.13,32170200
2026-08-12,AMZN,273.18,273.46,267.1,267.28,267.28,29941100
2026-08-11,AMZN,278.69,278.84,271.36,272.27,272.27,31895700
2026-08-10,AMZN,274.01,280.14,273.6,278.09,278.09,35731900
2026-08-07,AMZN,272.87,278.31,272.75,274.48,274.48,33861400
2026-08-06,AMZN,272.77,275.48,271.06,272.26,272.26,30672900
2026-08-05,AMZN,281.59,282.79,270.73,272.65,272.65,45119800
2026-08-04,AMZN,276.06,281.07,275.82,277.42,277.42,69748100
2026-08-03,AMZN,278.29,287.2,278.0,284.02,284.02,90830200
2026-07-31,AMZN,265.0,273.23,262.01,271.58,271.58,129054800
2026-07-30,AMZN,233.35,239.82,231.06,235.5,235.5,101839800
2026-07-29,AMZN,229.32,232.82,226.16,226.65,226.65,44957500
2026-07-28,AMZN,232.85,233.11,228.1,230.86,230.86,44521600
2026-07-27,AMZN,235.67,235.89,230.99,231.39,231.39,34999500
2026-07-24,AMZN,234.38,234.95,231.34,232.11,232.11,35017400
2026-07-23,AMZN,236.26,238.35,232.05,233.66,233.66,47465300
2026-07-22,AMZN,248.27,248.45,242.45,244.85,244.85,34112700
2026-07-21,AMZN,249.11,249.34,246.42,247.55,247.55,27732100
2026-07-20,AMZN,248.76,252.89,248.0,249.99,249.99,32406500
2026-07-17,AMZN,244.46,250.24,243.59,247.23,247.23,43572400
2026-07-16,AMZN,255.12,258.08,248.0,249.89,249.89,45343700
2026-07-15,AMZN,249.75,256.48,249.75,254.96,254.96,45240600
2026-07-14,AMZN,245.55,248.56,243.8,247.49,247.49,30108100
2026-07-13,AMZN,244.68,249.65,244.18,247.31,247.31,34636100
2026-07-10,AMZN,249.55,251.03,244.41,245.34,245.34,31654000
2026-07-09,AMZN,239.82,247.5,238.25,247.04,247.04,38091700
2026-07-08,AMZN,244.27,244.8,240.52,243.62,243.62,29653000
