date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-24,AVGO,364.65,366.12,358.71,358.76,358.76,18635761
2026-08-21,AVGO,370.8,375.12,365.05,368.45,368.45,18978649
2026-08-20,AVGO,364.39,367.12,362.25,364.03,364.03,19729800
2026-08-19,AVGO,372.4,373.91,357.61,362.48,362.48,35091400
2026-08-18,AVGO,384.32,385.78,377.01,380.0,380.0,22878200
2026-08-17,AVGO,397.26,399.36,391.31,392.43,392.43,20042600
2026-08-14,AVGO,411.96,412.5,388.5,392.99,392.99,29513600
2026-08-13,AVGO,415.81,424.92,411.41,417.82,417.82,13180500
2026-08-12,AVGO,426.26,426.5,414.61,416.05,416.05,15859200
2026-08-11,AVGO,426.07,426.76,413.23,416.08,416.08,12882700
2026-08-10,AVGO,426.99,432.73,420.16,422.4,422.4,13854100
2026-08-07,AVGO,428.4,430.84,421.61,427.76,427.76,14698300
2026-08-06,AVGO,420.55,428.03,410.76,420.57,420.57,13907500
2026-08-05,AVGO,421.7,427.0,416.89,418.28,418.28,16880400
2026-08-04,AVGO,402.97,422.07,400.68,418.16,418.16,29564200
2026-08-03,AVGO,384.41,392.61,374.61,392.23,392.23,17315100
2026-07-31,AVGO,394.83,399.92,379.71,389.28,389.28,20391000
2026-07-30,AVGO,380.35,388.68,377.54,387.84,387.84,23639800
2026-07-29,AVGO,380.64,386.12,369.51,370.32,370.32,21374400
2026-07-28,AVGO,374.36,385.8,371.52,380.91,380.91,20328400
2026-07-27,AVGO,389.82,389.9,373.5,383.22,383.22,18502100
2026-07-24,AVGO,387.68,389.27,378.75,381.92,381.92,15149400
2026-07-23,AVGO,392.19,397.61,386.82,392.47,392.47,16348700
2026-07-22,AVGO,380.2,398.59,380.0,396.81,396.81,16966200
2026-07-21,AVGO,390.21,390.58,379.22,386.5,386.5,17291100
2026-07-20,AVGO,378.76,383.59,375.96,378.16,378.16,14420500
2026-07-17,AVGO,366.05,377.35,357.8,370.83,370.83,23272200
2026-07-16,AVGO,384.54,386.74,371.9,374.45,374.45,23407200
2026-07-15,AVGO,396.09,399.0,386.74,394.28,394.28,16324100
2026-07-14,AVGO,395.72,397.33,384.64,389.11,389.11,20118700
2026-07-13,AVGO,393.48,395.75,383.42,384.05,384.05,21294500
2026-07-10,AVGO,398.5,402.44,395.7,399.97,399.97,14595900
2026-07-09,AVGO,402.19,407.52,387.93,401.11,401.11,28074000
2026-07-08,AVGO,377.52,395.09,376.89,388.69,388.69,31624100
2026-07-07,AVGO,366.56,372.96,362.01,370.78,370.78,24116700
2026-07-06,AVGO,373.61,383.16,371.18,373.9,373.9,24544000
2026-07-02,AVGO,365.73,374.0,356.43,360.45,360.45,26749500
2026-07-01,AVGO,371.87,373.75,368.03,369.34,369.34,23712600
2026-06-30,AVGO,374.79,379.62,370.64,377.75,377.75,28517400
2026-06-29,AVGO,373.62,376.21,360.46,372.45,372.45,24285200
