date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-24,CCJ,102.27,103.7,100.29,102.27,102.27,1963861
2026-08-21,CCJ,97.78,102.8,97.5,102.51,102.51,3617909
2026-08-20,CCJ,97.0,97.35,94.1,95.59,95.59,2106500
2026-08-19,CCJ,97.8,98.77,96.66,97.98,97.98,1928700
2026-08-18,CCJ,96.42,97.25,93.91,96.03,96.03,2585800
2026-08-17,CCJ,97.87,100.65,97.01,98.58,98.58,2518000
2026-08-14,CCJ,97.4,99.74,97.4,97.74,97.74,2170500
2026-08-13,CCJ,98.5,99.95,97.5,97.75,97.75,2396100
2026-08-12,CCJ,99.6,100.14,97.71,99.03,99.03,2591500
2026-08-11,CCJ,98.21,99.58,97.75,98.73,98.73,1901200
2026-08-10,CCJ,98.33,99.08,96.76,97.31,97.31,1993300
2026-08-07,CCJ,96.17,97.89,94.8,97.39,97.39,3220100
2026-08-06,CCJ,93.61,96.4,92.7,93.62,93.62,2441500
2026-08-05,CCJ,94.49,95.9,93.8,94.27,94.27,3532800
2026-08-04,CCJ,91.06,94.82,91.0,93.09,93.09,3996800
2026-08-03,CCJ,85.6,89.91,85.02,89.72,89.72,2908900
2026-07-31,CCJ,90.63,91.41,83.93,86.38,86.38,5599300
2026-07-30,CCJ,86.79,88.38,86.15,88.23,88.23,4174100
2026-07-29,CCJ,86.6,86.95,83.5,84.57,84.57,3145200
2026-07-28,CCJ,87.24,87.77,84.52,86.96,86.96,3304800
2026-07-27,CCJ,90.55,91.75,87.75,89.35,89.35,3084800
2026-07-24,CCJ,89.35,89.47,86.31,87.86,87.86,3828900
2026-07-23,CCJ,88.88,90.48,88.07,89.33,89.33,3233300
2026-07-22,CCJ,90.35,92.06,89.86,90.37,90.37,4151600
2026-07-21,CCJ,86.48,88.86,85.89,88.68,88.68,4981800
2026-07-20,CCJ,85.42,85.68,84.36,84.85,84.85,4973600
2026-07-17,CCJ,85.95,86.73,83.15,85.62,85.62,5202700
2026-07-16,CCJ,89.48,89.52,86.44,87.36,87.36,5089100
