date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-21,GLW,153.85,155.48,148.05,149.84,149.84,5124351
2026-08-20,GLW,152.26,154.06,149.25,151.45,151.45,10582500
2026-08-19,GLW,160.63,161.16,150.7,152.46,152.46,10637100
2026-08-18,GLW,161.65,168.06,157.9,159.9,159.9,11032300
2026-08-17,GLW,169.74,176.94,166.68,173.21,173.21,11381100
2026-08-14,GLW,161.0,167.69,158.27,165.99,165.99,8319600
2026-08-13,GLW,166.0,168.24,157.91,158.54,158.54,8579100
2026-08-12,GLW,168.8,169.95,164.21,167.44,167.44,10086900
2026-08-11,GLW,159.75,161.79,158.22,159.19,159.19,6070300
2026-08-10,GLW,167.89,167.89,157.68,157.76,157.76,7678200
2026-08-07,GLW,162.89,170.43,161.16,165.68,165.68,10740900
2026-08-06,GLW,153.25,164.34,150.73,157.18,157.18,12305900
2026-08-05,GLW,156.24,162.6,155.85,156.7,156.7,8877800
2026-08-04,GLW,155.0,162.49,150.85,159.89,159.89,19442500
2026-08-03,GLW,134.89,147.94,132.89,146.64,146.64,12618600
2026-07-31,GLW,143.79,147.0,138.23,138.25,138.25,14523400
2026-07-30,GLW,130.42,136.09,130.0,135.22,135.22,18987700
2026-07-29,GLW,126.3,130.87,122.62,124.05,124.05,25603400
2026-07-28,GLW,121.75,126.1,114.5,126.01,126.01,46223200
2026-07-27,GLW,145.75,148.69,136.31,143.36,143.36,14036500
2026-07-24,GLW,154.77,157.4,145.93,146.65,146.65,8965900
2026-07-23,GLW,152.26,160.98,152.24,156.06,156.06,8954100
2026-07-22,GLW,157.0,161.45,153.88,154.06,154.06,9996800
2026-07-21,GLW,161.3,164.5,156.6,162.41,162.41,10182800
2026-07-20,GLW,157.86,160.54,152.59,153.1,153.1,7826900
2026-07-17,GLW,150.83,158.38,146.94,154.61,154.61,14221000
2026-07-16,GLW,166.58,167.5,154.43,158.39,158.39,17706100
2026-07-15,GLW,186.6,187.07,167.09,174.41,174.41,13357900
