日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-08-31,GOOG,339.99,340.63,333.43,335.41,335.41,22947325
2026-08-28,GOOG,337.85,345.43,337.28,342.88,342.88,17479507
2026-08-27,GOOG,336.32,338.81,335.4,337.71,337.71,16991240
2026-08-26,GOOG,343.18,343.19,337.01,339.1,339.1,16176400
2026-08-25,GOOG,345.66,346.7,342.14,343.34,343.34,13996449
2026-08-24,GOOG,340.74,348.08,339.62,344.59,344.59,16450600
2026-08-21,GOOG,340.28,343.28,337.82,341.75,341.75,15139207
2026-08-20,GOOG,339.69,340.8,336.17,338.2,338.2,14187700
2026-08-19,GOOG,339.81,343.56,338.05,341.7,341.7,13360500
2026-08-18,GOOG,339.89,342.39,337.52,341.28,341.28,14254300
2026-08-17,GOOG,344.06,345.05,339.57,341.45,341.45,12606100
2026-08-14,GOOG,344.26,348.06,342.07,343.54,343.54,10946800
2026-08-13,GOOG,344.57,345.83,342.4,343.94,343.94,14997800
2026-08-12,GOOG,345.33,345.5,339.82,342.37,342.37,15608800
2026-08-11,GOOG,354.0,355.0,342.57,343.0,343.0,18390200
2026-08-10,GOOG,354.24,355.93,351.47,355.84,355.84,12789500
2026-08-07,GOOG,355.28,357.55,352.82,353.47,353.47,14516700
2026-08-06,GOOG,358.79,361.96,355.83,356.62,356.62,16513400
2026-08-05,GOOG,380.0,381.81,355.16,360.13,360.13,29436300
2026-08-04,GOOG,366.52,377.67,366.16,375.35,375.35,19983300
2026-08-03,GOOG,365.3,376.1,363.26,372.47,372.47,27165400
2026-07-31,GOOG,340.07,358.88,339.16,356.65,356.65,30514500
2026-07-30,GOOG,333.08,335.45,329.82,333.68,333.68,17309500
2026-07-29,GOOG,333.5,341.98,330.41,335.76,335.76,20242900
2026-07-28,GOOG,327.8,335.21,324.54,332.6,332.6,20986900
2026-07-27,GOOG,324.74,330.1,324.41,326.57,326.57,21419600
2026-07-24,GOOG,318.3,323.98,317.5,319.09,319.09,21630800
2026-07-23,GOOG,321.63,324.45,314.89,318.34,318.34,46751900
2026-07-22,GOOG,347.18,349.45,341.64,341.91,341.91,23273800
2026-07-21,GOOG,350.56,350.74,346.01,346.19,346.19,17419500
2026-07-20,GOOG,350.17,359.49,350.01,351.37,351.37,13203300
2026-07-17,GOOG,345.77,348.17,341.12,346.12,346.12,22023900
2026-07-16,GOOG,372.17,374.35,351.67,353.81,353.81,23603700
2026-07-15,GOOG,356.01,372.14,355.67,370.21,370.21,20258200
2026-07-14,GOOG,348.84,357.88,348.84,357.33,357.33,11252600
2026-07-13,GOOG,353.99,355.75,349.82,350.67,350.67,10583500
2026-07-10,GOOG,354.95,355.68,350.7,355.03,355.03,11618500
2026-07-09,GOOG,351.08,356.73,348.66,356.24,356.24,17217400
2026-07-08,GOOG,362.21,364.98,354.7,358.71,358.71,14710400
2026-07-07,GOOG,367.23,370.89,362.42,363.62,363.62,16443900
2026-07-06,GOOG,358.2,365.68,354.19,364.9,364.9,22652700
2026-07-02,GOOG,356.15,360.99,350.32,356.18,356.18,15532900
2026-07-01,GOOG,354.61,359.56,353.23,357.89,357.89,19546800
2026-06-30,GOOG,350.96,355.39,348.11,353.33,353.33,21278400
2026-06-29,GOOG,339.95,351.97,338.81,351.28,351.28,25565700
2026-06-26,GOOG,340.98,344.12,333.69,334.69,334.69,82484600
2026-06-25,GOOG,336.92,343.19,335.9,342.19,342.19,27687600
2026-06-24,GOOG,348.72,352.83,341.5,345.04,345.04,23898400
2026-06-23,GOOG,340.11,348.72,339.71,346.08,346.08,21820900
2026-06-22,GOOG,357.14,358.2,340.94,348.78,348.78,32211200
2026-06-18,GOOG,363.89,369.0,356.61,367.46,367.46,29339100
2026-06-17,GOOG,367.05,370.15,360.23,362.1,362.1,16003500
2026-06-16,GOOG,367.46,373.6,365.32,371.1,371.1,16492800
2026-06-15,GOOG,365.99,370.65,364.65,367.11,367.11,17268600
2026-06-12,GOOG,361.1,364.77,353.34,358.16,358.16,17637100
2026-06-11,GOOG,353.05,358.01,343.63,356.56,356.56,28771800
2026-06-10,GOOG,361.05,366.31,352.81,353.32,353.32,19878600
2026-06-09,GOOG,364.89,369.69,354.72,362.29,362.29,19873600
2026-06-08,GOOG,362.48,363.38,357.89,361.17,361.17,18739000
2026-06-05,GOOG,363.38,369.2,361.63,365.76,365.54,23411500
2026-06-04,GOOG,355.44,369.86,354.8,369.27,369.05,37746200
2026-06-03,GOOG,358.33,362.5,354.38,355.68,355.47,43031000
2026-06-02,GOOG,363.16,369.79,355.0,358.39,358.17,34648600
2026-06-01,GOOG,372.58,374.6,369.71,372.58,372.36,19091900
2026-05-29,GOOG,381.23,381.65,374.3,376.43,376.2,48018600
2026-05-28,GOOG,383.86,390.0,381.25,386.12,385.89,20795400
2026-05-27,GOOG,382.77,389.73,382.0,384.83,384.6,16893100
2026-05-26,GOOG,380.99,385.39,379.14,384.84,384.61,16150900
2026-05-22,GOOG,383.26,384.87,378.26,379.38,379.15,13382800
2026-05-21,GOOG,382.01,388.68,379.48,383.47,383.24,16837600
2026-05-20,GOOG,385.04,390.7,380.0,384.9,384.67,16488100
2026-05-19,GOOG,393.3,393.36,383.0,384.9,384.67,25559400
2026-05-18,GOOG,392.12,404.47,390.9,393.11,392.87,18592800
2026-05-15,GOOG,393.21,395.88,389.76,393.32,393.08,15801900
2026-05-14,GOOG,393.79,399.1,392.73,397.17,396.93,13805400
2026-05-13,GOOG,381.9,399.93,381.58,399.04,398.8,18160100
2026-05-12,GOOG,385.0,386.44,379.72,383.82,383.59,17103900
2026-05-11,GOOG,390.69,394.33,386.23,386.77,386.54,16314900
2026-05-08,GOOG,394.27,398.37,393.67,397.05,396.81,13762500
2026-05-07,GOOG,397.06,397.36,390.31,395.3,395.06,15153600
2026-05-06,GOOG,389.59,396.38,387.1,395.14,394.9,23097300
2026-05-05,GOOG,381.87,388.96,380.35,384.27,384.04,15432500
2026-05-04,GOOG,382.32,384.18,376.77,379.64,379.41,18275000
2026-05-01,GOOG,377.98,383.39,375.26,383.22,382.99,28047900
2026-04-30,GOOG,371.26,382.63,363.09,381.94,381.71,44570500
