date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-21,LEU,178.4,187.84,178.0,186.26,186.26,392197
2026-08-20,LEU,180.69,183.13,172.27,176.13,176.13,425200
2026-08-19,LEU,176.86,185.63,174.01,183.68,183.68,528200
2026-08-18,LEU,177.85,183.38,174.16,175.7,175.7,449300
2026-08-17,LEU,189.0,189.99,182.45,184.12,184.12,456900
2026-08-14,LEU,192.0,197.91,189.41,190.15,190.15,438100
2026-08-13,LEU,184.98,193.43,183.23,191.82,191.82,809000
2026-08-12,LEU,195.98,195.98,184.1,185.06,185.06,347400
2026-08-11,LEU,191.61,196.0,184.81,189.19,189.19,319600
2026-08-10,LEU,190.99,194.1,187.82,189.34,189.34,434900
2026-08-07,LEU,183.18,191.7,176.96,191.37,191.37,624000
2026-08-06,LEU,202.0,203.18,176.0,178.03,178.03,1025000
2026-08-05,LEU,188.75,191.0,184.52,187.63,187.63,581600
2026-08-04,LEU,190.0,192.88,185.01,189.24,189.24,539300
2026-08-03,LEU,176.0,187.43,172.97,184.76,184.76,838600
2026-07-31,LEU,179.49,181.83,173.5,176.93,176.93,629100
2026-07-30,LEU,164.18,177.6,162.14,176.75,176.75,703600
2026-07-29,LEU,165.01,168.47,158.13,159.69,159.69,768100
2026-07-28,LEU,168.0,170.0,157.89,169.65,169.65,790800
2026-07-27,LEU,165.45,176.84,165.36,175.98,175.98,681000
2026-07-24,LEU,170.59,171.58,163.25,163.89,163.89,676300
2026-07-23,LEU,170.0,173.11,166.18,170.78,170.78,626400
2026-07-22,LEU,170.0,178.42,170.0,174.28,174.28,643900
2026-07-21,LEU,159.0,171.44,157.14,171.24,171.24,735600
2026-07-20,LEU,156.18,158.99,154.0,156.39,156.39,831400
2026-07-17,LEU,144.02,158.05,142.13,156.05,156.05,942400
2026-07-16,LEU,152.5,152.5,145.18,147.07,147.07,900700
2026-07-15,LEU,159.63,161.21,149.27,156.54,156.54,756400
2026-07-14,LEU,163.25,165.5,156.86,159.38,159.38,640600
2026-07-13,LEU,167.0,170.0,156.05,156.05,156.05,3064800
2026-07-10,LEU,175.9,177.32,170.2,171.05,171.05,638900
2026-07-09,LEU,168.97,174.92,166.23,173.56,173.56,591100
2026-07-08,LEU,162.83,170.0,161.75,166.47,166.47,615600
2026-07-07,LEU,170.56,174.35,161.61,165.64,165.64,884300
2026-07-06,LEU,167.98,179.82,165.87,174.23,174.23,904900
2026-07-02,LEU,171.0,177.98,158.36,162.13,162.13,642900
2026-07-01,LEU,167.87,174.1,165.0,166.34,166.34,683700
2026-06-30,LEU,160.35,168.39,156.35,167.87,167.87,563500
2026-06-29,LEU,165.46,167.0,157.67,160.25,160.25,658000
2026-06-26,LEU,166.62,169.91,163.52,165.52,165.52,1071600
2026-06-25,LEU,172.5,176.59,165.5,170.38,170.38,855600
2026-06-24,LEU,173.5,178.17,166.5,171.13,171.13,653000
2026-06-23,LEU,174.5,192.0,172.88,177.5,177.5,945700
2026-06-22,LEU,182.11,187.94,176.37,183.68,183.68,941300
2026-06-18,LEU,181.51,192.36,177.37,191.39,191.39,2157300
2026-06-17,LEU,165.86,177.44,165.48,170.31,170.31,781800
2026-06-16,LEU,170.71,179.03,165.33,165.47,165.47,746000
2026-06-15,LEU,170.58,179.7,170.58,176.65,176.65,928700
2026-06-12,LEU,159.16,165.14,158.16,162.58,162.58,464700
2026-06-11,LEU,149.49,160.16,147.6,158.68,158.68,840000
2026-06-10,LEU,153.82,156.29,144.65,146.61,146.61,897700
2026-06-09,LEU,163.47,165.81,146.9,156.02,156.02,1186400
2026-06-08,LEU,167.07,167.14,162.02,163.74,163.74,663100
2026-06-05,LEU,182.83,182.89,158.01,161.78,161.78,1478500
2026-06-04,LEU,181.92,187.43,178.28,186.69,186.69,549700
2026-06-03,LEU,195.0,197.79,181.39,181.67,181.67,914800
2026-06-02,LEU,188.5,204.8,186.34,199.13,199.13,1450900
2026-06-01,LEU,176.76,194.05,173.0,189.0,189.0,1194000
2026-05-29,LEU,187.0,188.2,176.11,182.47,182.47,576100
2026-05-28,LEU,176.89,185.93,175.0,185.46,185.46,643900
2026-05-27,LEU,181.0,183.8,175.0,180.13,180.13,880800
2026-05-26,LEU,185.06,189.09,180.6,183.36,183.36,850900
2026-05-22,LEU,178.77,189.27,177.9,179.36,179.36,668700
2026-05-21,LEU,168.82,178.91,167.81,177.15,177.15,807600
2026-05-20,LEU,173.0,174.0,166.5,169.31,169.31,883400
2026-05-19,LEU,170.0,173.29,163.28,169.0,169.0,949100
2026-05-18,LEU,182.6,185.11,170.69,172.95,172.95,971800
2026-05-15,LEU,182.01,183.55,178.5,182.6,182.6,914400
2026-05-14,LEU,193.0,193.58,184.26,192.32,192.32,705800
2026-05-13,LEU,205.38,205.75,192.31,192.31,192.31,725100
2026-05-12,LEU,208.0,210.4,197.28,202.34,202.34,767900
2026-05-11,LEU,204.86,216.7,196.5,213.22,213.22,1087600
2026-05-08,LEU,210.5,210.5,200.25,207.33,207.33,732000
2026-05-07,LEU,232.0,235.0,204.22,206.3,206.3,1286000
2026-05-06,LEU,206.0,231.37,198.3,231.32,231.32,1349000
2026-05-05,LEU,209.42,210.0,199.34,206.04,206.04,920900
2026-05-04,LEU,207.16,210.71,202.0,206.92,206.92,678500
2026-05-01,LEU,208.08,210.81,202.0,206.64,206.64,484200
2026-04-30,LEU,195.3,211.16,194.48,210.96,210.96,782900
2026-04-29,LEU,207.12,207.67,189.5,191.98,191.98,1109900
2026-04-28,LEU,209.0,215.59,201.86,205.59,205.59,852400
2026-04-27,LEU,210.72,224.78,210.5,221.98,221.98,1038300
2026-04-24,LEU,226.17,227.49,205.25,205.63,205.63,897400
2026-04-23,LEU,224.79,230.49,213.67,219.58,219.58,1813500
2026-04-22,LEU,196.0,217.25,195.83,217.08,217.08,1347200
2026-04-21,LEU,199.64,201.49,189.11,191.55,191.55,718700
2026-04-20,LEU,198.33,200.91,193.0,199.61,199.61,762600
2026-04-17,LEU,204.54,209.83,195.11,203.63,203.63,1074000
2026-04-16,LEU,206.34,210.0,197.39,202.02,202.02,927300
2026-04-15,LEU,196.0,203.83,194.84,197.79,197.79,787600
2026-04-14,LEU,201.2,204.5,190.57,193.11,193.11,728200
2026-04-13,LEU,182.55,192.4,180.03,191.99,191.99,487700
2026-04-10,LEU,182.25,191.0,179.5,187.22,187.22,503300
2026-04-09,LEU,185.38,189.77,179.09,180.17,180.17,906100
2026-04-08,LEU,186.0,193.15,180.07,190.13,190.13,1272700
2026-04-07,LEU,179.65,180.41,165.67,173.47,173.47,1074600
2026-04-06,LEU,183.72,187.39,179.1,183.53,183.53,440700
2026-04-02,LEU,175.18,188.29,173.9,183.21,183.21,513800
2026-04-01,LEU,179.34,189.5,178.0,183.16,183.16,755800
2026-03-31,LEU,170.97,175.84,165.28,173.59,173.59,1177300
2026-03-30,LEU,184.23,184.94,165.9,168.52,168.52,975100
2026-03-27,LEU,189.0,191.36,182.5,182.9,182.9,495400
2026-03-26,LEU,190.0,197.4,188.5,193.31,193.31,534700
2026-03-25,LEU,199.75,203.0,192.0,193.26,193.26,520200
2026-03-24,LEU,189.21,197.29,184.27,195.84,195.84,566300
2026-03-23,LEU,187.91,197.0,187.28,193.61,193.61,795600
2026-03-20,LEU,201.8,203.2,184.5,186.76,186.76,1764900
2026-03-19,LEU,200.0,209.47,196.8,205.09,205.09,569500
2026-03-18,LEU,214.85,216.4,207.98,208.46,208.46,561400
2026-03-17,LEU,214.38,220.9,210.06,213.6,213.6,526800
2026-03-16,LEU,210.7,217.85,210.13,212.84,212.84,523600
2026-03-13,LEU,218.0,227.37,207.89,209.64,209.64,907600
2026-03-12,LEU,201.0,218.0,196.78,214.85,214.85,1151500
2026-03-11,LEU,197.83,208.75,196.51,200.35,200.35,641800
2026-03-10,LEU,197.66,206.69,194.0,200.84,200.84,817700
