date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-21,LITE,898.51,922.74,855.01,866.71,866.71,3658217
2026-08-20,LITE,830.0,881.88,815.03,879.28,879.28,4260100
2026-08-19,LITE,892.2,893.85,821.03,827.6,827.6,4409400
2026-08-18,LITE,909.28,943.76,863.11,873.31,873.31,6012800
2026-08-17,LITE,948.41,999.67,927.0,968.9,968.9,5388200
2026-08-14,LITE,892.68,957.9,885.27,926.14,926.14,4251900
2026-08-13,LITE,927.59,946.92,875.59,880.41,880.41,4646000
2026-08-12,LITE,899.0,966.6,836.31,932.47,932.47,11774600
2026-08-11,LITE,815.67,823.7,787.01,820.59,820.59,5985700
2026-08-10,LITE,931.05,937.0,810.89,813.51,813.51,6155000
2026-08-07,LITE,870.0,928.48,861.9,890.17,890.17,5818800
2026-08-06,LITE,808.53,881.79,793.0,838.06,838.06,4140200
2026-08-05,LITE,824.79,883.65,824.0,826.26,826.26,3421900
2026-08-04,LITE,852.35,868.32,813.26,849.47,849.47,6642900
2026-08-03,LITE,685.64,785.34,671.0,779.89,779.89,4198400
2026-07-31,LITE,748.0,772.6,691.1,713.94,713.94,4550400
2026-07-30,LITE,661.91,698.28,650.0,693.24,693.24,5621200
2026-07-29,LITE,655.21,655.21,594.84,602.35,602.35,6388600
2026-07-28,LITE,677.55,678.99,602.28,651.93,651.93,5642300
2026-07-27,LITE,767.85,770.3,697.88,711.96,711.96,3744200
2026-07-24,LITE,810.5,831.21,755.03,762.99,762.99,3651200
2026-07-23,LITE,841.0,897.0,824.01,833.64,833.64,4547400
2026-07-22,LITE,810.22,859.88,809.01,829.7,829.7,3876200
2026-07-21,LITE,811.5,843.0,799.81,837.56,837.56,4043600
2026-07-20,LITE,764.13,801.8,763.0,765.55,765.55,4428700
2026-07-17,LITE,678.47,747.0,650.82,732.82,732.82,4940200
2026-07-16,LITE,731.39,738.0,693.0,706.23,706.23,3984900
2026-07-15,LITE,813.95,821.95,716.4,752.0,752.0,4205400
2026-07-14,LITE,816.26,839.88,796.01,814.8,814.8,3768900
2026-07-13,LITE,778.38,809.23,761.53,768.15,768.15,3694400
2026-07-10,LITE,769.54,806.56,761.62,802.01,802.01,3675800
2026-07-09,LITE,755.16,804.9,751.9,785.77,785.77,5520000
2026-07-08,LITE,688.9,719.12,683.4,707.1,707.1,2586200
2026-07-07,LITE,699.42,732.57,680.43,698.91,698.91,3750800
2026-07-06,LITE,729.0,747.0,716.12,731.25,731.25,3805500
2026-07-02,LITE,777.58,803.9,710.01,728.32,728.32,5217800
2026-07-01,LITE,818.41,841.26,784.0,801.16,801.16,4202800
2026-06-30,LITE,844.03,874.86,838.11,858.06,858.06,4246600
2026-06-29,LITE,806.01,852.78,754.0,851.4,851.4,5604200
2026-06-26,LITE,822.55,824.85,774.3,816.98,816.98,9122000
2026-06-25,LITE,887.25,899.53,810.24,861.97,861.97,4522200
2026-06-24,LITE,825.0,866.43,803.24,842.53,842.53,4452700
2026-06-23,LITE,832.15,856.6,812.8,827.92,827.92,4817100
2026-06-22,LITE,852.52,906.18,829.0,893.93,893.93,6909900
2026-06-18,LITE,881.97,888.54,831.17,850.0,850.0,8360800
2026-06-17,LITE,879.08,891.54,853.78,869.98,869.98,5148200
2026-06-16,LITE,958.47,961.68,863.41,875.36,875.36,6070800
2026-06-15,LITE,965.98,998.5,923.95,957.24,957.24,5266100
2026-06-12,LITE,889.42,934.26,863.0,921.56,921.56,4553700
2026-06-11,LITE,863.0,890.8,840.52,889.59,889.59,4672200
2026-06-10,LITE,833.7,884.18,825.66,853.26,853.26,5839500
2026-06-09,LITE,908.12,914.0,776.01,821.76,821.76,7966100
2026-06-08,LITE,899.79,914.0,841.93,895.4,895.4,5097100
2026-06-05,LITE,912.62,974.0,853.1,863.66,863.66,7543900
2026-06-04,LITE,900.1,955.48,864.2,945.08,945.08,6060900
2026-06-03,LITE,1029.07,1049.53,932.5,938.0,938.0,6202200
2026-06-02,LITE,935.13,1035.0,935.01,1029.15,1029.15,8154600
2026-06-01,LITE,825.25,931.85,806.62,905.0,905.0,7932700
2026-05-29,LITE,860.68,869.0,822.5,854.96,854.96,6364000
2026-05-28,LITE,936.7,948.49,854.52,860.62,860.62,6128600
2026-05-27,LITE,901.55,915.0,858.0,902.31,902.31,4236000
2026-05-26,LITE,963.01,963.01,903.02,910.81,910.81,5212200
2026-05-22,LITE,965.15,971.05,934.85,946.9,946.9,3076900
2026-05-21,LITE,869.8,977.27,859.0,964.5,964.5,5781900
2026-05-20,LITE,917.01,929.26,856.23,868.07,868.07,5195000
2026-05-19,LITE,873.17,910.0,845.0,890.09,890.09,5025800
2026-05-18,LITE,953.29,954.26,857.0,884.98,884.98,7197500
2026-05-15,LITE,941.6,987.85,923.0,970.7,970.7,10141800
2026-05-14,LITE,1002.0,1024.85,983.02,1001.81,1001.81,3557100
2026-05-13,LITE,1051.58,1062.1,998.2,1030.37,1030.37,4398500
2026-05-12,LITE,1018.23,1085.68,937.64,992.37,992.37,7562700
2026-05-11,LITE,949.72,1073.33,949.45,1053.09,1053.09,9550900
2026-05-08,LITE,917.0,934.92,866.0,903.8,903.8,6727600
2026-05-07,LITE,915.97,918.02,854.62,892.58,892.58,7268200
2026-05-06,LITE,996.0,1013.5,902.01,944.28,944.28,9902100
2026-05-05,LITE,975.83,1021.0,966.06,994.56,994.56,6588100
2026-05-04,LITE,986.88,1004.94,952.0,976.18,976.18,5445800
2026-05-01,LITE,913.0,985.13,905.7,949.93,949.93,4774700
2026-04-30,LITE,895.17,921.37,856.0,902.32,902.32,6148500
2026-04-29,LITE,821.11,887.9,814.19,858.32,858.32,6179900
2026-04-28,LITE,813.74,842.0,780.48,791.37,791.37,5547700
2026-04-27,LITE,855.74,867.85,811.45,859.68,859.68,5289700
2026-04-24,LITE,837.02,896.11,829.13,881.64,881.64,4205800
2026-04-23,LITE,854.0,881.85,831.91,846.89,846.89,3756400
2026-04-22,LITE,849.85,874.17,818.0,873.6,873.6,4635200
2026-04-21,LITE,900.0,925.5,832.18,836.92,836.92,5725500
2026-04-20,LITE,889.5,906.2,861.97,895.11,895.11,3337500
2026-04-17,LITE,912.0,912.0,865.02,894.07,894.07,4343900
2026-04-16,LITE,825.01,903.0,820.16,891.22,891.22,6115700
2026-04-15,LITE,856.89,859.49,800.56,824.01,824.01,5994400
2026-04-14,LITE,901.15,904.99,836.0,852.79,852.79,5461900
2026-04-13,LITE,889.0,905.9,841.05,871.18,871.18,6558600
2026-04-10,LITE,908.09,931.75,863.0,897.3,897.3,7136100
2026-04-09,LITE,912.0,960.0,871.73,894.13,894.13,7034600
2026-04-08,LITE,877.41,901.3,842.0,896.02,896.02,7025400
2026-04-07,LITE,778.82,816.92,770.0,815.75,815.75,5486600
2026-04-06,LITE,828.48,836.91,767.01,772.28,772.28,5809700
2026-04-02,LITE,708.59,827.56,707.84,826.88,826.88,7886200
2026-04-01,LITE,734.88,784.89,732.0,764.65,764.65,6911900
2026-03-31,LITE,679.0,703.43,649.5,702.76,702.76,6115900
2026-03-30,LITE,725.8,735.0,642.37,654.79,654.79,7436400
2026-03-27,LITE,706.41,732.83,692.33,702.73,702.73,5275100
2026-03-26,LITE,744.85,753.66,687.58,688.8,688.8,6305600
2026-03-25,LITE,795.5,808.8,763.11,777.17,777.17,4969400
2026-03-24,LITE,728.85,803.58,728.85,801.99,801.99,6993700
2026-03-23,LITE,742.74,766.0,710.03,728.95,728.95,7352900
2026-03-20,LITE,785.49,787.45,680.66,706.35,706.35,22868800
2026-03-19,LITE,678.98,775.0,670.0,772.13,772.13,7567000
2026-03-18,LITE,709.15,743.86,696.0,700.81,700.81,9636400
2026-03-17,LITE,597.0,669.9,573.73,649.56,649.56,9003700
2026-03-16,LITE,656.0,672.99,607.27,624.84,624.84,5036600
2026-03-13,LITE,634.81,639.56,611.08,622.5,622.5,3849700
2026-03-12,LITE,643.54,664.99,616.04,616.09,616.09,4922500
2026-03-11,LITE,651.07,675.58,637.01,672.0,672.0,4080600
2026-03-10,LITE,679.01,715.73,669.0,672.0,672.0,7129000
2026-03-09,LITE,578.0,641.02,573.66,640.69,640.69,7822700
2026-03-06,LITE,610.45,642.0,548.24,558.44,558.44,8754300
2026-03-05,LITE,644.72,681.75,614.13,650.82,650.82,6743800
2026-03-04,LITE,726.0,736.0,643.18,680.8,680.8,7905300
2026-03-03,LITE,727.05,732.0,681.1,694.43,694.43,7208700
2026-03-02,LITE,742.9,783.8,714.0,783.25,783.25,6888700
2026-02-27,LITE,679.95,720.1,672.01,700.91,700.91,8912200
2026-02-26,LITE,717.28,728.2,662.0,677.0,677.0,5468000
2026-02-25,LITE,713.71,765.0,712.73,723.39,723.39,4667700
2026-02-24,LITE,680.01,698.5,662.0,688.27,688.27,3573400
2026-02-23,LITE,664.05,688.07,652.21,674.73,674.73,4493000
2026-02-20,LITE,638.0,678.0,636.0,667.77,667.77,4289500
2026-02-19,LITE,592.57,636.68,578.3,635.64,635.64,4206200
2026-02-18,LITE,602.09,610.3,587.0,594.26,594.26,2995100
2026-02-17,LITE,538.0,616.52,528.01,600.42,600.42,5625000
2026-02-13,LITE,581.54,593.4,539.18,562.74,562.74,4973000
2026-02-12,LITE,593.35,603.83,568.2,583.46,583.46,4605700
2026-02-11,LITE,563.24,597.0,545.88,574.11,574.11,4011200
2026-02-10,LITE,548.22,574.69,530.29,561.13,561.13,4787700
2026-02-09,LITE,556.72,599.5,555.35,577.15,577.15,5903800
2026-02-06,LITE,540.0,558.38,513.28,551.99,551.99,6735500
2026-02-05,LITE,436.22,507.55,425.01,504.42,504.42,8673000
2026-02-04,LITE,473.12,504.58,426.05,465.54,465.54,12144900
2026-02-03,LITE,451.74,464.0,424.52,435.1,435.1,8109400
2026-02-02,LITE,405.49,445.0,404.99,423.42,423.42,5799100
2026-01-30,LITE,406.25,448.0,384.33,391.84,391.84,7098800
2026-01-29,LITE,388.0,398.16,364.19,381.44,381.44,4006600
2026-01-28,LITE,375.92,394.88,373.57,385.0,385.0,4356800
2026-01-27,LITE,341.87,374.0,340.0,370.66,370.66,3618600
2026-01-26,LITE,337.75,350.68,327.29,332.45,332.45,2726800
2026-01-23,LITE,354.49,354.97,334.0,339.19,339.19,3469400
2026-01-22,LITE,375.86,391.46,350.0,354.49,354.49,4465600
2026-01-21,LITE,373.6,376.54,350.01,362.44,362.44,4969400
2026-01-20,LITE,323.83,357.66,320.31,356.83,356.83,5318000
2026-01-16,LITE,348.58,354.0,317.44,324.25,324.25,3780700
2026-01-15,LITE,334.86,354.5,329.0,343.27,343.27,3651700
2026-01-14,LITE,354.15,357.0,327.38,331.62,331.62,3665000
2026-01-13,LITE,336.93,364.51,333.34,361.33,361.33,3834500
2026-01-12,LITE,340.36,343.8,322.69,339.87,339.87,5803900
2026-01-09,LITE,334.3,362.72,333.01,351.42,351.42,5914400
2026-01-08,LITE,394.3,395.04,343.0,348.26,348.26,5137300
2026-01-07,LITE,378.02,402.8,365.47,392.88,392.88,4716300
2026-01-06,LITE,355.67,399.72,339.02,397.42,397.42,5619700
2026-01-05,LITE,388.34,393.0,344.67,357.05,357.05,5787800
2026-01-02,LITE,379.38,392.0,375.0,386.11,386.11,2819300
2025-12-31,LITE,372.99,379.5,367.12,368.59,368.59,1595000
2025-12-30,LITE,373.97,380.32,370.0,371.18,371.18,1610100
2025-12-29,LITE,377.51,387.11,364.02,372.61,372.61,2965700
2025-12-26,LITE,397.73,400.89,384.63,390.77,390.77,1585300
2025-12-24,LITE,387.75,401.6,385.2,395.92,395.92,1522400
2025-12-23,LITE,380.96,390.41,380.91,387.41,387.41,1627000
2025-12-22,LITE,382.65,391.2,375.15,389.88,389.88,3125500
2025-12-19,LITE,339.07,373.34,339.03,371.43,371.43,4410200
2025-12-18,LITE,336.4,343.65,326.05,337.13,337.13,3966400
2025-12-17,LITE,337.91,337.91,315.0,320.25,320.25,4164200
2025-12-16,LITE,326.01,331.44,309.07,316.15,316.15,4921000
2025-12-15,LITE,341.48,348.75,333.03,334.69,334.69,4708500
2025-12-12,LITE,362.56,365.88,319.29,324.35,324.35,6869100
2025-12-11,LITE,365.19,374.97,348.01,372.09,372.09,3394000
2025-12-10,LITE,353.82,376.53,353.66,366.0,366.0,5333100
2025-12-09,LITE,342.72,362.43,335.51,360.33,360.33,4494300
2025-12-08,LITE,343.6,345.72,328.55,342.56,342.56,3269700
2025-12-05,LITE,340.96,344.0,325.68,331.41,331.41,3542600
2025-12-04,LITE,309.53,330.3,306.0,327.85,327.85,4444500
2025-12-03,LITE,306.97,306.97,288.5,302.98,302.98,3207400
2025-12-02,LITE,320.78,323.5,292.9,302.81,302.81,5794700
2025-12-01,LITE,314.99,322.0,306.16,317.93,317.93,4932900
2025-11-28,LITE,307.74,325.46,306.02,325.16,325.16,2194000
2025-11-26,LITE,289.76,312.99,279.06,308.28,308.28,4184500
2025-11-25,LITE,293.28,295.92,280.63,291.27,291.27,6371900
2025-11-24,LITE,267.2,300.0,266.01,299.36,299.36,7586200
2025-11-21,LITE,249.5,259.0,233.72,255.59,255.59,7714600
2025-11-20,LITE,280.0,282.66,229.59,233.24,233.24,7680900
2025-11-19,LITE,258.96,280.22,253.95,268.92,268.92,6481800
2025-11-18,LITE,245.35,252.83,232.11,247.43,247.43,5416400
2025-11-17,LITE,236.5,252.12,233.0,242.07,242.07,4212300
2025-11-14,LITE,215.52,237.22,215.35,232.15,232.15,4483900
2025-11-13,LITE,248.07,249.39,220.34,226.86,226.86,5436500
2025-11-12,LITE,262.46,270.0,250.79,253.81,253.81,4959800
2025-11-11,LITE,252.01,259.2,248.9,252.47,252.47,3518500
2025-11-10,LITE,256.77,273.89,255.72,259.89,259.89,7156800
2025-11-07,LITE,233.64,243.75,227.12,240.11,240.11,5621300
2025-11-06,LITE,243.72,258.35,236.98,239.68,239.68,7209900
2025-11-05,LITE,218.5,240.71,213.0,232.75,232.75,11152700
2025-11-04,LITE,187.8,197.07,184.2,188.36,188.36,5864300
2025-11-03,LITE,208.69,210.99,196.47,199.58,199.58,5246900
2025-10-31,LITE,201.21,206.99,197.19,201.56,201.56,3449900
2025-10-30,LITE,206.57,212.94,198.54,200.13,200.13,4242400
2025-10-29,LITE,201.09,214.5,198.11,214.28,214.28,6030200
2025-10-28,LITE,193.81,199.82,188.3,198.39,198.39,3168800
2025-10-27,LITE,193.63,206.91,190.06,193.8,193.8,5437800
2025-10-24,LITE,175.55,182.08,173.73,179.3,179.3,4055500
2025-10-23,LITE,158.81,170.17,157.4,168.5,168.5,2404400
2025-10-22,LITE,164.53,166.91,152.54,158.06,158.06,2407300
2025-10-21,LITE,161.0,165.76,157.5,162.95,162.95,2416700
2025-10-20,LITE,164.18,169.98,160.6,161.0,161.0,2675000
2025-10-17,LITE,160.63,170.6,160.44,164.77,164.77,2075300
2025-10-16,LITE,159.88,168.1,158.62,163.23,163.23,2608200
2025-10-15,LITE,162.45,162.45,154.62,156.57,156.57,2393300
2025-10-14,LITE,155.52,161.19,152.78,156.78,156.78,2444000
2025-10-13,LITE,158.3,160.78,155.41,160.56,160.56,2837900
2025-10-10,LITE,160.8,160.8,147.81,149.61,149.61,3375900
2025-10-09,LITE,163.66,165.03,159.19,159.76,159.76,1854400
2025-10-08,LITE,159.38,163.66,158.47,163.09,163.09,2258200
2025-10-07,LITE,160.99,162.75,154.11,157.15,157.15,2523900
2025-10-06,LITE,169.0,170.76,158.21,160.6,160.6,3114100
2025-10-03,LITE,170.88,171.8,159.7,163.81,163.81,3197400
2025-10-02,LITE,176.75,178.49,166.06,169.75,169.75,2194600
2025-10-01,LITE,159.24,173.6,158.6,171.4,171.4,3262200
2025-09-30,LITE,161.88,165.5,160.0,162.71,162.71,1709600
2025-09-29,LITE,165.0,165.87,162.27,162.58,162.58,2385200
2025-09-26,LITE,157.36,160.85,156.07,160.75,160.75,2310000
2025-09-25,LITE,146.62,160.83,144.52,159.11,159.11,4751700
2025-09-24,LITE,162.48,163.1,151.37,152.75,152.75,5478400
2025-09-23,LITE,164.65,166.32,161.22,163.99,163.99,3052000
2025-09-22,LITE,169.38,170.04,161.21,164.71,164.71,4080300
2025-09-19,LITE,171.37,172.5,167.57,168.73,168.73,4448300
2025-09-18,LITE,167.36,173.38,167.12,171.5,171.5,3518000
2025-09-17,LITE,168.71,169.58,160.85,163.34,163.34,4947600
2025-09-16,LITE,168.65,171.87,167.15,170.9,170.9,2925000
2025-09-15,LITE,163.66,171.48,162.71,168.77,168.77,3859200
2025-09-12,LITE,163.78,166.5,161.58,163.02,163.02,2954300
2025-09-11,LITE,166.15,168.01,161.57,164.88,164.88,3672400
2025-09-10,LITE,159.5,167.96,158.3,164.88,164.88,5794000
2025-09-09,LITE,149.02,152.65,148.01,151.73,151.73,2154100
2025-09-08,LITE,150.99,152.25,148.42,149.4,149.4,3453200
2025-09-05,LITE,149.5,152.27,144.2,149.46,149.46,6409700
2025-09-04,LITE,137.0,142.01,133.91,141.91,141.91,8464800
2025-09-03,LITE,132.34,135.25,130.97,134.12,134.12,5219000
2025-09-02,LITE,127.87,132.88,125.0,132.55,132.55,2671600
2025-08-29,LITE,136.46,137.1,131.18,132.81,132.81,2842600
2025-08-28,LITE,128.25,137.08,127.11,135.55,135.55,6643900
2025-08-27,LITE,124.86,128.21,123.78,125.84,125.84,2972200
2025-08-26,LITE,124.39,127.03,123.5,124.62,124.62,3018600
2025-08-25,LITE,120.0,125.4,119.25,123.42,123.42,2887600
2025-08-22,LITE,116.83,121.99,115.89,119.34,119.34,2679800
2025-08-21,LITE,115.89,117.84,115.21,117.43,117.43,1867300
2025-08-20,LITE,115.14,116.59,111.2,115.89,115.89,3361600
2025-08-19,LITE,117.6,119.13,115.42,117.96,117.96,3167500
2025-08-18,LITE,116.45,119.17,115.0,118.98,118.98,2973800
2025-08-15,LITE,113.61,116.5,112.2,115.86,115.86,3165300
2025-08-14,LITE,117.31,121.99,112.56,114.62,114.62,5324000
2025-08-13,LITE,123.3,129.98,117.93,120.23,120.23,9253200
2025-08-12,LITE,116.19,120.3,116.03,119.66,119.66,5861200
2025-08-11,LITE,116.69,119.41,114.01,115.03,115.03,4315100
2025-08-08,LITE,112.8,116.35,112.19,116.27,116.27,2694600
2025-08-07,LITE,111.0,113.0,108.71,111.13,111.13,1339200
2025-08-06,LITE,109.57,110.92,108.34,110.01,110.01,2283400
2025-08-05,LITE,111.73,111.99,106.16,108.15,108.15,1648100
