日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-09-02,META,579.55,600.38,577.0,592.85,592.85,16426291
2026-09-01,META,557.8,584.9,556.29,578.54,578.54,15369187
2026-08-31,META,576.77,578.67,569.14,572.34,572.34,13275274
2026-08-28,META,571.95,589.19,571.08,578.02,578.02,15573685
2026-08-27,META,576.48,588.39,567.62,571.1,571.1,15160180
2026-08-26,META,590.31,593.34,561.88,576.14,576.14,31416300
2026-08-25,META,563.75,570.8,561.4,570.05,570.05,9719248
2026-08-24,META,550.2,561.42,546.3,559.02,559.02,12990600
2026-08-21,META,546.89,553.87,543.23,549.9,549.9,13175977
2026-08-20,META,546.95,549.99,539.31,545.83,545.83,13872200
2026-08-19,META,541.34,554.07,537.27,546.03,546.03,16971700
2026-08-18,META,557.48,560.66,543.21,543.67,543.67,27094900
2026-08-17,META,589.75,590.24,564.75,568.97,568.97,17225600
2026-08-14,META,596.98,601.86,589.29,589.85,589.85,8758000
2026-08-13,META,580.71,595.85,579.39,594.97,594.97,11164200
2026-08-12,META,601.07,604.5,578.21,578.85,578.85,16186900
2026-08-11,META,598.0,612.43,593.4,599.12,599.12,13146900
2026-08-10,META,599.13,608.21,592.03,594.92,594.92,14967300
2026-08-07,META,585.64,598.74,585.62,592.1,592.1,11250300
2026-08-06,META,586.95,595.31,586.0,589.9,589.9,11811500
2026-08-05,META,600.46,601.0,580.12,588.77,588.77,14897200
2026-08-04,META,581.5,592.79,578.25,587.94,587.94,17959200
2026-08-03,META,562.24,597.52,559.36,590.24,590.24,25938100
2026-07-31,META,543.6,558.33,540.22,556.71,556.71,24261500
2026-07-30,META,526.0,539.88,524.49,539.03,539.03,42271500
2026-07-29,META,593.25,599.97,582.22,585.61,585.61,22371100
2026-07-28,META,596.82,601.0,587.0,593.41,593.41,12009300
2026-07-27,META,607.22,611.26,593.13,593.87,593.87,11195300
2026-07-24,META,605.3,609.98,594.45,595.19,595.19,11503500
2026-07-23,META,608.41,614.65,597.22,606.1,606.1,15494800
2026-07-22,META,647.7,649.0,624.0,627.17,627.17,11019600
2026-07-21,META,654.18,655.88,643.2,643.81,643.81,9140500
2026-07-20,META,646.7,653.3,636.01,645.85,645.85,10225200
2026-07-17,META,647.7,652.2,626.0,646.01,646.01,22267900
2026-07-16,META,677.28,681.9,660.16,664.54,664.54,15816000
2026-07-15,META,663.6,686.08,656.66,681.31,681.31,19003400
2026-07-14,META,652.0,666.5,649.05,661.04,661.04,16748200
2026-07-13,META,661.38,676.62,654.2,656.73,656.73,19840700
2026-07-10,META,660.34,677.86,658.01,669.21,669.21,40608900
2026-07-09,META,583.99,633.27,577.07,631.48,631.48,26579700
2026-07-08,META,614.39,616.0,598.01,603.12,603.12,13606500
2026-07-07,META,607.59,625.37,603.66,615.58,615.58,18560800
2026-07-06,META,594.84,603.58,581.76,600.29,600.29,17674100
2026-07-02,META,607.9,610.0,580.42,582.9,582.9,21705900
2026-07-01,META,607.91,628.28,595.1,612.91,612.91,45536300
2026-06-30,META,560.94,565.54,551.43,563.29,563.29,18111100
2026-06-29,META,560.0,570.9,558.0,562.6,562.6,15011400
2026-06-26,META,543.34,556.85,540.4,550.25,550.25,18867700
2026-06-25,META,555.55,556.34,540.18,542.87,542.87,16968600
2026-06-24,META,561.89,569.04,555.55,557.67,557.67,13963600
2026-06-23,META,562.25,572.2,561.02,562.2,562.2,13103300
2026-06-22,META,572.02,575.81,559.81,563.85,563.85,15405500
2026-06-18,META,572.82,580.22,563.1,577.22,577.22,28824600
2026-06-17,META,592.0,593.81,566.19,567.58,567.58,20478300
2026-06-16,META,593.65,605.81,592.0,600.21,600.21,11344400
2026-06-15,META,579.9,601.27,579.3,593.48,593.48,17653300
2026-06-12,META,572.95,576.07,560.9,566.98,566.45,14326400
2026-06-11,META,565.83,572.17,557.01,568.43,567.9,17628000
2026-06-10,META,580.73,591.32,570.6,570.98,570.45,17064000
2026-06-09,META,591.0,597.63,581.01,584.59,584.05,16977400
2026-06-08,META,592.0,592.0,579.22,585.39,584.85,19512400
2026-06-05,META,623.46,629.15,582.91,593.0,592.45,30091600
2026-06-04,META,623.67,642.4,622.43,627.57,626.99,21469200
2026-06-03,META,603.0,624.15,600.27,622.98,622.4,23020100
2026-06-02,META,603.24,608.88,596.68,597.63,597.08,18252000
2026-06-01,META,630.4,635.75,599.53,600.47,599.91,29138800
2026-05-29,META,633.5,634.5,623.35,632.51,631.92,19806500
2026-05-28,META,639.5,643.0,629.31,635.29,634.7,16772400
2026-05-27,META,609.4,638.5,609.0,635.26,634.67,23143600
2026-05-26,META,608.89,614.47,605.3,612.34,611.77,12234200
2026-05-22,META,607.88,614.81,606.95,610.26,609.69,11688600
2026-05-21,META,600.0,609.6,594.81,607.38,606.82,13476100
2026-05-20,META,600.76,608.0,597.81,605.06,604.5,11329700
2026-05-19,META,608.92,613.93,600.55,602.61,602.05,11749900
2026-05-18,META,609.11,615.59,603.69,611.21,610.64,13772400
2026-05-15,META,613.99,621.2,609.31,614.23,613.66,13272600
2026-05-14,META,616.0,623.73,615.0,618.43,617.86,10651200
2026-05-13,META,598.83,619.9,596.66,616.63,616.06,14634400
2026-05-12,META,594.82,603.75,592.6,603.0,602.44,11351600
2026-05-11,META,604.57,604.91,598.08,598.86,598.31,15940600
2026-05-08,META,615.2,616.77,606.06,609.63,609.07,13557000
2026-05-07,META,614.72,624.98,613.54,616.81,616.24,12307400
2026-05-06,META,601.05,619.95,598.1,612.88,612.31,19915500
2026-05-05,META,613.31,614.35,600.36,604.96,604.4,17171300
2026-05-04,META,607.94,614.0,602.75,610.41,609.84,16203900
2026-05-01,META,614.69,618.88,606.11,608.75,608.19,21404000
2026-04-30,META,619.32,620.85,600.0,611.91,611.34,52765000
2026-04-29,META,668.91,674.25,663.81,669.12,668.5,18947500
2026-04-28,META,674.24,678.18,665.63,671.34,670.72,10606800
2026-04-27,META,671.0,682.5,670.84,678.62,677.99,12805200
2026-04-24,META,660.32,680.67,653.84,675.03,674.4,13348300
