日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-09-02,MRVL,205.55,208.49,203.5,206.48,206.48,15004161
2026-09-01,MRVL,205.05,210.45,200.62,210.39,210.39,21100940
2026-08-31,MRVL,216.13,218.22,209.53,211.66,211.66,23518678
2026-08-28,MRVL,225.31,228.88,215.55,216.62,216.62,48739012
2026-08-27,MRVL,253.41,254.58,240.38,241.45,241.45,35613507
2026-08-26,MRVL,240.0,245.17,236.79,245.11,245.11,17107000
2026-08-25,MRVL,237.35,246.7,235.93,240.38,240.38,20064201
2026-08-24,MRVL,229.22,231.7,220.42,229.29,229.29,18791400
2026-08-21,MRVL,252.39,252.52,233.28,237.04,237.04,24970547
2026-08-20,MRVL,237.57,251.73,234.53,251.01,251.01,29226500
2026-08-19,MRVL,240.13,245.49,228.1,237.27,237.27,44011800
2026-08-18,MRVL,220.52,225.01,211.1,216.0,216.0,25860700
2026-08-17,MRVL,227.75,240.18,226.89,234.33,234.33,21113500
2026-08-14,MRVL,221.4,223.52,217.1,222.02,222.02,14487800
2026-08-13,MRVL,217.68,231.38,217.18,222.18,222.18,19255500
2026-08-12,MRVL,225.9,226.89,216.88,217.08,217.08,25134300
2026-08-11,MRVL,212.0,212.66,206.43,212.31,212.31,15429200
2026-08-10,MRVL,227.77,230.1,208.51,208.56,208.56,20948500
2026-08-07,MRVL,219.05,221.87,205.52,218.72,218.72,19663400
2026-08-06,MRVL,205.57,219.46,201.74,210.54,210.54,16804200
2026-08-05,MRVL,215.98,222.38,210.29,211.02,211.02,16884600
2026-08-04,MRVL,210.01,222.67,208.0,218.59,218.59,33923400
2026-08-03,MRVL,180.52,194.44,177.57,193.78,193.78,21015800
2026-07-31,MRVL,199.38,201.35,187.12,187.56,187.56,26835500
2026-07-30,MRVL,178.38,184.35,175.15,183.3,183.3,29861700
2026-07-29,MRVL,174.03,177.8,162.9,163.4,163.4,25708900
2026-07-28,MRVL,180.0,181.48,167.32,174.47,174.47,29188500
2026-07-27,MRVL,198.72,199.79,181.76,189.17,189.17,21637700
2026-07-24,MRVL,202.91,206.07,191.29,194.23,194.23,19837100
2026-07-23,MRVL,207.86,214.56,205.02,209.32,209.32,16359900
2026-07-22,MRVL,201.15,214.92,200.58,210.99,210.99,16890300
2026-07-21,MRVL,205.56,210.6,202.84,207.96,207.96,22153600
2026-07-20,MRVL,193.01,202.08,191.99,194.94,194.94,25070600
2026-07-17,MRVL,182.23,194.05,177.95,188.68,188.68,29656300
2026-07-16,MRVL,200.12,201.94,186.15,188.3,188.3,34893000
2026-07-15,MRVL,222.16,223.3,201.22,206.26,206.26,26827600
2026-07-14,MRVL,231.57,232.0,218.63,222.44,222.44,20705500
2026-07-13,MRVL,228.78,228.8,215.28,217.53,217.53,25615300
2026-07-10,MRVL,237.79,240.94,232.02,235.81,235.81,15106000
2026-07-09,MRVL,246.18,251.7,241.1,243.27,243.21,21245300
2026-07-08,MRVL,225.16,236.79,224.98,231.71,231.65,25541800
2026-07-07,MRVL,234.92,237.44,222.94,230.7,230.64,36163800
2026-07-06,MRVL,254.82,260.46,249.04,249.27,249.21,25703100
2026-07-02,MRVL,269.5,274.95,237.2,245.29,245.23,38435900
2026-07-01,MRVL,282.47,292.5,271.35,272.05,271.98,33822700
2026-06-30,MRVL,278.75,300.0,275.5,297.89,297.82,37520100
2026-06-29,MRVL,272.41,278.28,250.52,277.75,277.68,31749200
2026-06-26,MRVL,268.37,274.2,262.0,266.77,266.7,41986200
2026-06-25,MRVL,291.18,292.51,263.72,281.26,281.19,39131600
2026-06-24,MRVL,281.95,281.95,263.66,276.7,276.63,35747400
2026-06-23,MRVL,278.82,290.95,276.25,279.04,278.97,46361100
2026-06-22,MRVL,313.39,314.17,298.18,307.86,307.78,49225100
