日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-09-02,MSFT,500.17,500.27,493.81,496.82,496.82,15280048
2026-09-01,MSFT,498.01,505.97,496.78,501.02,501.02,19129792
2026-08-31,MSFT,510.33,512.19,506.4,507.29,507.29,26637042
2026-08-28,MSFT,505.33,517.78,504.87,513.53,513.53,28953449
2026-08-27,MSFT,494.65,506.47,490.08,505.06,505.06,28615865
2026-08-26,MSFT,487.85,497.4,487.31,496.37,496.37,20758900
2026-08-25,MSFT,485.57,492.43,484.3,491.71,491.71,19144017
2026-08-24,MSFT,483.21,490.61,481.86,487.31,487.31,17230800
2026-08-21,MSFT,479.88,486.36,478.53,483.24,483.24,21856586
2026-08-20,MSFT,483.3,484.16,479.5,481.15,481.15,20020800
2026-08-19,MSFT,480.07,489.3,479.36,484.31,483.4,19961900
2026-08-18,MSFT,481.54,484.27,477.15,481.63,480.73,24087600
2026-08-17,MSFT,490.14,492.66,478.41,480.35,479.45,29635800
2026-08-14,MSFT,496.36,500.01,493.92,495.4,494.47,16217600
2026-08-13,MSFT,493.27,501.34,493.01,496.88,495.95,23039000
2026-08-12,MSFT,499.99,501.5,491.52,492.43,491.5,29001500
2026-08-11,MSFT,504.33,505.33,499.55,503.81,502.86,23049800
2026-08-10,MSFT,503.44,513.73,502.27,506.06,505.11,31206100
2026-08-07,MSFT,499.21,505.18,498.73,499.99,499.05,28846200
2026-08-06,MSFT,488.55,501.56,488.52,499.86,498.92,36441500
2026-08-05,MSFT,496.36,498.24,485.68,487.46,486.54,33388900
2026-08-04,MSFT,480.9,499.44,479.17,492.81,491.88,50455500
2026-08-03,MSFT,476.13,491.65,475.0,487.65,486.73,66762100
2026-07-31,MSFT,450.0,466.84,449.33,464.72,463.85,60846000
2026-07-30,MSFT,437.9,458.69,432.44,451.1,450.25,110160700
2026-07-29,MSFT,393.4,401.25,388.74,390.54,389.81,47209000
2026-07-28,MSFT,393.16,400.32,391.3,393.35,392.61,32367500
2026-07-27,MSFT,390.08,394.2,387.99,389.1,388.37,27856200
2026-07-24,MSFT,387.05,389.03,380.65,381.7,380.98,27659400
2026-07-23,MSFT,389.97,391.78,377.39,381.58,380.86,30351800
2026-07-22,MSFT,399.58,401.0,386.96,390.34,389.61,28142500
2026-07-21,MSFT,398.81,401.47,396.32,397.75,397.0,24126600
2026-07-20,MSFT,391.41,403.18,389.65,402.29,401.53,27915800
2026-07-17,MSFT,394.86,398.39,389.39,393.82,393.08,33049800
2026-07-16,MSFT,398.31,405.99,392.05,401.1,400.35,37047400
2026-07-15,MSFT,387.8,398.96,386.4,395.63,394.89,36253700
2026-07-14,MSFT,382.82,388.19,378.65,384.93,384.21,27863900
2026-07-13,MSFT,387.75,393.65,384.15,390.99,390.26,28914900
2026-07-10,MSFT,387.8,391.91,381.5,385.1,384.38,24644600
2026-07-09,MSFT,374.45,384.65,373.35,384.36,383.64,31083200
2026-07-08,MSFT,384.03,385.31,381.33,383.34,382.62,25908300
2026-07-07,MSFT,392.49,395.57,388.22,388.84,388.11,29297500
2026-07-06,MSFT,387.04,389.15,381.22,386.74,386.01,34224500
2026-07-02,MSFT,384.48,392.2,383.7,390.49,389.76,42128900
2026-07-01,MSFT,380.83,388.83,374.89,384.28,383.56,48065800
2026-06-30,MSFT,371.03,374.15,367.45,373.02,372.32,44945700
2026-06-29,MSFT,377.5,380.5,359.9,368.57,367.88,51229900
2026-06-26,MSFT,357.15,376.61,355.43,372.97,372.27,186201600
2026-06-25,MSFT,362.77,364.23,349.2,352.83,352.17,66179000
2026-06-24,MSFT,371.57,378.88,364.78,365.46,364.77,44509900
2026-06-23,MSFT,372.38,377.22,370.67,373.94,373.24,40647600
2026-06-22,MSFT,375.74,381.63,367.07,367.34,366.65,45171100
2026-06-18,MSFT,377.82,381.37,373.28,379.4,378.69,59714200
2026-06-17,MSFT,390.25,390.37,377.32,378.91,378.2,41987800
2026-06-16,MSFT,395.79,396.84,390.69,393.83,393.09,31506800
2026-06-15,MSFT,396.8,401.75,392.85,399.76,399.01,32266400
2026-06-12,MSFT,391.43,391.74,382.27,390.74,390.01,34865800
2026-06-11,MSFT,395.21,396.85,384.0,390.34,389.61,47224100
2026-06-10,MSFT,398.55,405.04,397.16,397.36,396.61,32576000
2026-06-09,MSFT,409.03,411.98,398.48,403.41,402.65,35317300
2026-06-08,MSFT,414.14,417.16,408.56,411.74,410.97,32086700
2026-06-05,MSFT,428.34,429.47,414.4,416.67,415.89,34782200
2026-06-04,MSFT,435.81,436.15,426.41,428.05,427.25,26899500
2026-06-03,MSFT,438.45,440.39,424.25,427.34,426.54,39037000
2026-06-02,MSFT,446.88,453.5,440.43,441.31,440.48,37036800
2026-06-01,MSFT,464.84,466.32,458.27,460.52,459.65,53628900
2026-05-29,MSFT,432.55,450.33,432.36,450.24,449.39,79654400
2026-05-28,MSFT,412.98,429.49,412.67,426.99,426.19,47250500
2026-05-27,MSFT,411.01,415.94,409.58,412.67,411.89,28901500
2026-05-26,MSFT,416.43,419.77,413.02,416.03,415.25,30398000
2026-05-22,MSFT,419.54,424.4,416.33,418.57,417.78,22390300
2026-05-21,MSFT,424.75,426.34,415.71,419.09,418.3,31393500
2026-05-20,MSFT,414.17,422.1,411.3,421.06,419.36,27864000
2026-05-19,MSFT,429.9,432.7,416.49,417.42,415.74,33018700
2026-05-18,MSFT,416.62,425.12,415.61,423.54,421.83,32564100
2026-05-15,MSFT,414.27,428.17,412.91,421.92,420.22,50771200
2026-05-14,MSFT,404.48,411.84,400.88,409.43,407.78,27077500
2026-05-13,MSFT,403.2,406.31,401.03,405.21,403.57,29667100
2026-05-12,MSFT,414.48,415.5,406.64,407.77,406.12,38594200
2026-05-11,MSFT,407.87,412.69,405.5,412.66,410.99,35657900
2026-05-08,MSFT,417.39,418.63,414.0,415.12,413.44,33383800
2026-05-07,MSFT,420.11,427.98,418.76,420.77,419.07,34942400
2026-05-06,MSFT,408.0,418.42,405.11,413.96,412.29,30285900
2026-05-05,MSFT,415.32,416.78,408.8,411.38,409.72,25700900
2026-05-04,MSFT,411.54,420.78,410.8,413.62,411.95,28066500
2026-05-01,MSFT,412.8,417.11,410.44,414.44,412.77,31372400
2026-04-30,MSFT,410.81,414.42,398.01,407.78,406.13,70909400
2026-04-29,MSFT,424.58,426.82,420.29,424.46,422.75,38288300
2026-04-28,MSFT,424.57,429.92,421.9,429.25,427.52,30438100
2026-04-27,MSFT,422.38,427.11,417.07,424.82,423.11,30867300
2026-04-24,MSFT,416.97,424.95,415.8,424.62,422.91,27457400
2026-04-23,MSFT,419.89,423.66,411.41,415.75,414.07,38308000
2026-04-22,MSFT,426.19,433.7,423.67,432.92,431.17,29378200
2026-04-21,MSFT,420.24,427.18,417.2,424.16,422.45,32048500
2026-04-20,MSFT,421.15,423.33,416.3,418.07,416.38,27582200
2026-04-17,MSFT,424.82,431.58,420.69,422.79,421.08,48568200
2026-04-16,MSFT,419.86,420.82,412.14,420.26,418.56,41642400
2026-04-15,MSFT,398.0,414.37,396.73,411.22,409.56,45063400
2026-04-14,MSFT,387.92,394.69,386.52,393.11,391.52,37504500
2026-04-13,MSFT,373.61,384.54,371.02,384.37,382.82,35745800
2026-04-10,MSFT,372.98,375.64,370.03,370.87,369.37,28111100
