日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-08-31,MU,931.17,959.97,930.79,958.73,958.73,22344863
2026-08-28,MU,919.48,946.8,909.09,932.86,932.86,22761175
2026-08-27,MU,966.98,968.68,906.89,935.39,935.39,28499670
2026-08-26,MU,925.74,945.75,924.6,938.4,938.4,18721700
2026-08-25,MU,928.97,946.62,916.3,932.97,932.97,18989997
2026-08-24,MU,934.78,936.45,887.61,910.43,910.43,30012600
2026-08-21,MU,989.67,989.96,958.26,966.78,966.78,20990385
2026-08-20,MU,935.01,977.28,929.07,974.33,974.33,25212200
2026-08-19,MU,959.36,960.0,915.18,937.11,937.11,26901900
2026-08-18,MU,957.1,978.67,926.64,940.76,940.76,37306000
2026-08-17,MU,999.55,1036.13,995.26,1011.75,1011.75,33430500
2026-08-14,MU,979.32,984.0,956.2,971.66,971.66,27881100
2026-08-13,MU,912.89,978.0,906.5,949.83,949.83,36704700
2026-08-12,MU,912.94,935.8,899.54,911.29,911.29,36804900
2026-08-11,MU,871.8,879.0,844.62,868.52,868.52,29438300
2026-08-10,MU,863.67,894.99,854.4,861.0,861.0,27818600
2026-08-07,MU,903.6,904.8,847.02,877.57,877.57,34568500
2026-08-06,MU,843.11,913.33,827.0,881.47,881.47,35784100
2026-08-05,MU,885.3,928.98,881.2,893.19,893.19,34720300
2026-08-04,MU,866.82,902.43,858.5,892.67,892.67,37478600
2026-08-03,MU,786.36,836.62,770.1,829.5,829.5,42607100
2026-07-31,MU,919.65,930.88,818.0,823.03,823.03,54538600
2026-07-30,MU,793.14,882.5,789.0,874.66,874.66,63075300
2026-07-29,MU,833.0,841.8,737.88,739.0,739.0,69846000
2026-07-28,MU,839.61,848.36,789.09,820.53,820.53,61039300
2026-07-27,MU,932.45,935.0,854.79,900.2,900.2,47591200
2026-07-24,MU,959.03,967.14,904.0,920.95,920.95,40803100
2026-07-23,MU,975.13,1011.77,964.4,990.21,990.21,40196300
2026-07-22,MU,938.25,982.62,936.06,959.48,959.48,31588600
2026-07-21,MU,925.35,982.88,916.57,970.82,970.82,49369000
2026-07-20,MU,885.57,901.0,858.9,865.46,865.46,37705200
2026-07-17,MU,822.53,903.96,804.0,848.95,848.95,63346300
2026-07-16,MU,866.77,887.71,840.51,853.2,853.2,46718000
2026-07-15,MU,975.81,978.4,873.63,904.28,904.28,54779200
2026-07-14,MU,988.38,994.8,950.07,983.12,983.12,30835200
2026-07-13,MU,929.0,943.5,902.6,937.0,937.0,35536200
2026-07-10,MU,964.98,998.0,954.13,979.3,979.3,31768100
2026-07-09,MU,1016.51,1035.5,987.13,991.64,991.64,41110700
2026-07-08,MU,902.64,959.0,900.41,948.8,948.8,42979000
2026-07-07,MU,923.01,942.02,891.66,938.38,938.38,52367500
2026-07-06,MU,1007.0,1019.0,980.85,984.75,984.75,37115800
2026-07-02,MU,1041.5,1064.64,950.28,975.56,975.41,61316900
2026-07-01,MU,1082.01,1097.0,1032.2,1032.28,1032.12,51328100
2026-06-30,MU,1144.73,1168.68,1124.66,1154.29,1154.11,42152600
2026-06-29,MU,1128.7,1148.79,1023.65,1145.28,1145.1,60694100
2026-06-26,MU,1139.08,1198.71,1121.36,1132.33,1132.16,86405300
2026-06-25,MU,1233.0,1255.0,1136.31,1213.56,1213.37,82143900
2026-06-24,MU,1082.22,1083.32,991.1,1048.51,1048.35,68935700
2026-06-23,MU,1080.0,1125.0,1038.5,1051.77,1051.61,60243300
2026-06-22,MU,1196.22,1213.56,1168.57,1211.38,1211.19,53140800
2026-06-18,MU,1108.07,1149.43,1092.79,1133.99,1133.82,64642500
2026-06-17,MU,1061.3,1093.67,1014.14,1043.19,1043.03,46149200
2026-06-16,MU,1099.7,1110.4,1020.0,1020.76,1020.6,45499800
2026-06-15,MU,1055.89,1097.47,1051.5,1087.99,1087.82,44994600
2026-06-12,MU,971.81,1012.62,960.19,981.61,981.46,40785200
2026-06-11,MU,904.37,996.77,895.5,995.87,995.72,59418900
2026-06-10,MU,905.13,957.48,883.25,891.88,891.74,55712600
2026-06-09,MU,988.18,989.15,854.35,935.89,935.75,73448600
2026-06-08,MU,938.27,962.95,916.5,949.28,949.13,54097800
2026-06-05,MU,944.4,961.89,864.01,864.01,863.88,77250500
2026-06-04,MU,1007.1,1036.37,971.68,996.0,995.85,54917200
2026-06-03,MU,1079.01,1089.29,1038.5,1079.57,1079.4,40324200
2026-06-02,MU,1050.0,1076.56,1017.2,1064.1,1063.94,47555400
2026-06-01,MU,1009.72,1046.97,1009.5,1035.5,1035.34,46552100
2026-05-29,MU,957.0,981.0,940.51,971.0,970.85,60498600
2026-05-28,MU,929.83,949.49,904.78,923.52,923.38,49694300
2026-05-27,MU,955.66,956.16,888.15,928.41,928.27,72295700
2026-05-26,MU,820.5,916.8,820.3,895.88,895.74,76560800
2026-05-22,MU,756.82,780.2,747.2,751.0,750.88,36002900
2026-05-21,MU,736.36,764.9,732.2,762.1,761.98,42461500
2026-05-20,MU,734.96,735.68,700.66,731.99,731.88,48827400
2026-05-19,MU,665.58,725.95,652.21,698.74,698.63,61792100
2026-05-18,MU,750.46,757.0,663.25,681.54,681.44,60042500
2026-05-15,MU,732.57,749.59,719.0,724.66,724.55,48519000
2026-05-14,MU,787.62,812.0,775.63,776.01,775.89,42142700
2026-05-13,MU,813.16,814.95,779.47,803.63,803.51,54875100
2026-05-12,MU,774.7,782.76,706.6,766.58,766.46,73743000
2026-05-11,MU,792.98,818.67,768.0,795.33,795.21,70972900
2026-05-08,MU,676.45,747.21,676.21,746.81,746.7,65130900
2026-05-07,MU,649.83,683.09,635.42,646.63,646.53,47527500
2026-05-06,MU,660.37,667.67,627.58,666.59,666.49,55725800
2026-05-05,MU,609.78,651.74,605.47,640.2,640.1,64268500
2026-05-04,MU,560.6,592.8,557.76,576.45,576.36,46043700
2026-05-01,MU,511.78,545.91,510.21,542.21,542.13,40215300
2026-04-30,MU,529.74,535.5,502.58,517.16,517.08,36554400
2026-04-29,MU,526.0,531.02,508.8,518.46,518.38,36248500
2026-04-28,MU,503.54,518.83,488.23,504.29,504.21,44816600
2026-04-27,MU,510.56,531.36,510.02,524.56,524.48,41298800
2026-04-24,MU,495.92,506.99,489.36,496.72,496.64,35379600
2026-04-23,MU,482.28,493.62,471.8,481.72,481.65,38178000
2026-04-22,MU,462.93,491.98,458.56,487.48,487.41,45998100
2026-04-21,MU,451.32,457.82,441.3,449.38,449.31,27734000
2026-04-20,MU,458.25,464.56,435.9,448.42,448.35,32013600
2026-04-17,MU,466.85,470.97,452.2,455.07,455.0,33405000
2026-04-16,MU,452.96,462.34,444.38,457.23,457.16,33626400
2026-04-15,MU,457.63,463.95,439.32,456.23,456.16,40370100
2026-04-14,MU,434.35,465.78,424.86,465.66,465.59,52534900
2026-04-13,MU,416.47,426.88,408.5,426.56,426.49,37015800
2026-04-10,MU,420.29,423.86,410.05,420.59,420.53,36377600
2026-04-09,MU,407.61,423.94,398.44,421.51,421.45,43101000
2026-04-08,MU,415.13,416.0,398.88,406.73,406.67,49216600
2026-04-07,MU,374.13,379.25,364.1,377.58,377.52,40224100
2026-04-06,MU,373.8,385.08,370.61,377.76,377.7,41414900
2026-04-02,MU,341.34,366.94,340.2,366.24,366.18,51498700
2026-04-01,MU,348.91,377.89,343.0,367.85,367.79,74429800
2026-03-31,MU,321.67,337.84,311.49,337.84,337.79,73551800
2026-03-30,MU,362.66,362.81,318.4,321.8,321.75,73833200
2026-03-27,MU,359.86,368.7,354.06,357.22,357.02,45806700
2026-03-26,MU,370.02,374.25,350.0,355.46,355.26,54515900
2026-03-25,MU,383.0,388.92,371.38,382.09,381.87,55328700
2026-03-24,MU,401.28,404.98,388.91,395.53,395.3,44975100
2026-03-23,MU,426.15,444.27,401.52,404.35,404.12,54807300
2026-03-20,MU,443.92,449.1,415.36,422.9,422.66,64224900
2026-03-19,MU,424.97,457.22,421.11,444.27,444.02,74591900
2026-03-18,MU,464.76,471.34,458.3,461.73,461.47,58973700
2026-03-17,MU,452.54,462.73,445.14,461.69,461.43,43017900
2026-03-16,MU,446.16,454.86,437.75,441.8,441.55,43067600
2026-03-13,MU,413.75,429.35,413.0,426.13,425.89,39261000
2026-03-12,MU,410.0,413.73,396.67,405.35,405.12,31720900
2026-03-11,MU,410.77,422.75,405.79,418.69,418.45,30191400
2026-03-10,MU,394.01,415.31,393.64,403.11,402.88,33745400
2026-03-09,MU,363.96,390.0,357.67,389.32,389.1,35547200
2026-03-06,MU,380.14,391.18,367.45,370.3,370.09,34458800
2026-03-05,MU,398.6,404.53,380.3,397.05,396.82,29960100
2026-03-04,MU,393.64,407.88,387.61,400.77,400.54,32644900
2026-03-03,MU,386.55,390.09,374.55,379.68,379.46,39010900
2026-03-02,MU,401.47,417.61,397.0,412.67,412.43,30049200
2026-02-27,MU,401.81,417.96,401.18,412.37,412.13,28653900
2026-02-26,MU,424.84,434.0,401.96,415.56,415.32,35433500
2026-02-25,MU,426.5,436.89,423.0,429.0,428.75,27296300
2026-02-24,MU,429.22,436.27,411.28,418.01,417.77,33389200
2026-02-23,MU,422.31,431.7,415.3,420.97,420.73,25426600
2026-02-20,MU,415.18,430.57,415.15,428.17,427.92,29894900
2026-02-19,MU,415.81,420.32,407.74,417.35,417.11,21651300
2026-02-18,MU,399.5,427.85,394.6,420.95,420.71,32306600
2026-02-17,MU,400.95,413.66,395.3,399.78,399.55,28549500
2026-02-13,MU,405.19,420.88,392.71,411.66,411.42,33807600
2026-02-12,MU,422.25,438.77,411.16,413.97,413.73,45639100
2026-02-11,MU,395.39,414.16,386.57,410.34,410.1,48475000
2026-02-10,MU,375.99,382.79,366.06,373.25,373.04,35433800
2026-02-09,MU,380.69,391.81,370.68,383.5,383.28,31009600
2026-02-06,MU,377.97,396.65,372.87,394.69,394.46,37196000
2026-02-05,MU,369.62,390.93,366.0,382.89,382.67,38899500
2026-02-04,MU,410.59,413.0,363.9,379.4,379.18,58074900
2026-02-03,MU,442.16,442.3,407.53,419.44,419.2,42763300
2026-02-02,MU,412.18,442.43,410.0,437.8,437.55,37771200
2026-01-30,MU,446.47,455.5,407.13,414.88,414.64,51022900
2026-01-29,MU,439.37,444.71,417.7,435.79,435.54,42675700
2026-01-28,MU,422.44,438.94,417.0,435.28,435.03,42725700
2026-01-27,MU,404.61,416.45,399.6,410.24,410.0,36212100
2026-01-26,MU,395.5,398.0,384.3,389.09,388.87,29193900
2026-01-23,MU,397.16,412.43,390.74,399.65,399.42,35404200
2026-01-22,MU,396.64,397.78,376.92,397.58,397.35,39607600
2026-01-21,MU,372.85,394.2,366.73,389.11,388.89,56712800
2026-01-20,MU,364.68,381.56,361.35,365.0,364.79,49744900
2026-01-16,MU,353.1,365.81,352.04,362.75,362.54,47901900
2026-01-15,MU,345.33,347.77,336.27,336.63,336.44,25370200
2026-01-14,MU,334.84,339.1,328.2,333.35,333.16,20277200
2026-01-13,MU,346.27,351.23,335.22,338.13,337.94,23881300
2026-01-12,MU,340.55,348.47,339.32,345.87,345.67,23152600
2026-01-09,MU,332.75,345.8,326.19,345.09,344.89,33387500
2026-01-08,MU,342.9,343.66,321.36,327.02,326.83,33897700
2026-01-07,MU,340.71,346.3,337.18,339.55,339.36,32781100
2026-01-06,MU,318.28,344.55,318.06,343.43,343.23,48732400
2026-01-05,MU,325.13,325.53,309.55,312.15,311.97,34608600
2026-01-02,MU,295.13,315.6,294.86,315.42,315.24,42604300
2025-12-31,MU,293.17,293.17,284.18,285.41,285.25,17573800
2025-12-30,MU,294.7,298.83,292.01,292.63,292.46,23056400
2025-12-29,MU,280.33,294.5,278.5,294.37,294.2,26642900
2025-12-26,MU,290.84,290.87,283.42,284.79,284.51,17878500
2025-12-24,MU,278.0,289.3,277.25,286.68,286.4,18592600
2025-12-23,MU,275.92,281.86,272.32,276.27,276.0,20767600
2025-12-22,MU,277.15,279.99,268.29,276.59,276.32,30961900
2025-12-19,MU,251.75,268.38,251.75,265.92,265.66,62312100
2025-12-18,MU,256.53,263.65,245.0,248.55,248.31,65006100
2025-12-17,MU,236.56,237.45,221.69,225.52,225.3,41957100
2025-12-16,MU,235.8,239.4,230.58,232.51,232.28,22577300
2025-12-15,MU,247.11,250.11,236.0,237.5,237.27,27483600
2025-12-12,MU,255.67,255.82,239.32,241.14,240.9,25936900
2025-12-11,MU,261.53,262.85,251.55,258.46,258.21,18867000
2025-12-10,MU,255.13,264.75,250.58,263.71,263.45,21960700
