日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-09-03,NOK,9.76,9.78,9.54,9.77,9.77,81929446
2026-09-02,NOK,9.98,9.95,9.73,9.84,9.84,48017229
2026-09-01,NOK,10.06,10.07,9.75,9.93,9.93,61333827
2026-08-31,NOK,10.22,10.28,10.02,10.14,10.14,44394733
2026-08-28,NOK,10.53,10.56,10.16,10.21,10.21,50570353
2026-08-27,NOK,10.63,10.66,10.36,10.59,10.59,68696632
2026-08-26,NOK,10.23,10.41,10.09,10.41,10.41,37284200
2026-08-25,NOK,10.31,10.38,10.21,10.35,10.35,33633471
2026-08-24,NOK,9.98,10.02,9.77,9.96,9.96,48352000
2026-08-21,NOK,10.25,10.37,10.07,10.21,10.21,44724264
2026-08-20,NOK,10.01,10.29,9.87,10.15,10.15,73182800
2026-08-19,NOK,10.71,10.74,10.09,10.13,10.13,89535100
2026-08-18,NOK,10.3,10.53,10.21,10.39,10.39,111844400
2026-08-17,NOK,10.81,11.13,10.72,10.78,10.78,89164500
2026-08-14,NOK,10.53,10.84,10.46,10.76,10.76,68497100
2026-08-13,NOK,10.41,10.91,10.35,10.56,10.56,112102100
2026-08-12,NOK,10.4,10.5,10.2,10.32,10.32,115698800
2026-08-11,NOK,9.37,9.52,9.31,9.44,9.44,65915900
2026-08-10,NOK,9.49,9.52,9.12,9.13,9.13,42593200
2026-08-07,NOK,9.59,9.67,9.27,9.36,9.36,50168600
2026-08-06,NOK,9.39,9.62,9.3,9.43,9.43,47149200
2026-08-05,NOK,9.82,9.97,9.56,9.58,9.58,68253700
2026-08-04,NOK,9.97,10.17,9.76,9.92,9.92,99289300
2026-08-03,NOK,8.88,9.43,8.77,9.36,9.36,61112500
2026-07-31,NOK,9.42,9.54,9.05,9.14,9.14,91720600
2026-07-30,NOK,9.16,9.34,8.92,9.09,9.09,106977600
2026-07-29,NOK,8.91,8.91,8.37,8.41,8.41,94740900
2026-07-28,NOK,9.05,9.07,8.6,8.93,8.93,108249100
2026-07-27,NOK,9.35,9.37,8.88,9.28,9.28,97130500
2026-07-24,NOK,9.58,9.69,9.01,9.1,9.1,119145400
2026-07-23,NOK,10.11,10.36,9.68,9.73,9.73,183175400
