date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-25,ORCL,143.3,146.34,142.51,144.76,144.76,13254279
2026-08-24,ORCL,145.12,145.12,141.26,142.45,142.45,14120539
2026-08-21,ORCL,143.71,148.32,142.6,146.47,146.47,16685495
2026-08-20,ORCL,144.3,145.92,141.02,142.07,142.07,15184400
2026-08-19,ORCL,142.7,146.08,137.43,143.81,143.81,26552900
2026-08-18,ORCL,143.25,146.0,142.35,142.79,142.79,19152300
2026-08-17,ORCL,148.45,150.4,145.5,146.65,146.65,20668000
2026-08-14,ORCL,155.84,156.39,148.8,150.52,150.52,21905500
2026-08-13,ORCL,151.98,159.26,151.91,156.22,156.22,25740000
2026-08-12,ORCL,152.81,154.89,147.89,153.28,153.28,43559400
2026-08-11,ORCL,151.2,151.99,144.24,145.48,145.48,28761800
2026-08-10,ORCL,148.26,151.99,146.62,151.05,151.05,24265000
2026-08-07,ORCL,145.32,147.16,142.34,147.02,147.02,22874000
2026-08-06,ORCL,139.25,146.58,138.72,143.47,143.47,23073300
2026-08-05,ORCL,145.0,146.39,142.5,144.39,144.39,23524100
2026-08-04,ORCL,141.01,148.7,141.01,145.74,145.74,43723500
2026-08-03,ORCL,131.92,143.07,130.21,141.85,141.85,49696900
2026-07-31,ORCL,130.07,132.4,125.7,129.87,129.87,34438700
2026-07-30,ORCL,122.87,128.34,121.58,127.56,127.56,41338400
2026-07-29,ORCL,119.42,121.92,116.2,117.74,117.74,28081800
2026-07-28,ORCL,118.18,122.33,114.5,119.96,119.96,32665400
2026-07-27,ORCL,118.0,121.99,116.8,119.9,119.9,36916600
2026-07-24,ORCL,122.47,123.08,114.75,114.99,114.99,46405700
2026-07-23,ORCL,123.96,124.7,119.44,120.04,120.04,30900600
2026-07-22,ORCL,126.18,128.84,124.7,125.84,125.84,21096700
2026-07-21,ORCL,122.81,127.42,122.21,127.05,127.05,27748100
2026-07-20,ORCL,124.27,125.49,120.03,121.38,121.38,36793200
2026-07-17,ORCL,121.7,128.44,121.5,126.41,126.41,39917100
2026-07-16,ORCL,131.48,131.78,123.66,124.21,124.21,54780900
