date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-24,PLTR,177.45,178.75,171.31,175.89,175.89,35003354
2026-08-21,PLTR,173.98,182.44,172.55,179.94,179.94,40929832
2026-08-20,PLTR,175.88,176.46,172.03,173.96,173.96,27018400
2026-08-19,PLTR,172.61,176.82,169.77,175.19,175.19,36132600
2026-08-18,PLTR,171.97,174.98,170.61,171.54,171.54,28082100
2026-08-17,PLTR,174.06,176.27,172.3,172.55,172.55,24590900
2026-08-14,PLTR,179.48,180.18,173.8,174.04,174.04,24065800
2026-08-13,PLTR,173.4,179.91,172.33,179.01,179.01,36511200
2026-08-12,PLTR,174.07,175.09,168.34,171.04,171.04,35220300
2026-08-11,PLTR,174.18,177.94,172.72,174.94,174.94,43162500
2026-08-10,PLTR,171.01,179.6,170.87,175.23,175.23,57402700
2026-08-07,PLTR,160.07,172.41,159.96,172.01,172.01,77579900
2026-08-06,PLTR,155.87,158.0,152.7,155.92,155.92,41751400
2026-08-05,PLTR,162.0,166.08,158.25,158.43,158.43,63515900
2026-08-04,PLTR,145.15,164.52,143.28,162.66,162.66,175034700
2026-08-03,PLTR,126.7,126.96,123.66,125.65,125.65,77282900
2026-07-31,PLTR,122.29,123.39,119.62,123.06,123.06,29085100
2026-07-30,PLTR,121.14,123.67,120.27,122.26,122.26,27801600
2026-07-29,PLTR,124.0,127.28,122.45,123.0,123.0,27207900
2026-07-28,PLTR,125.84,127.19,117.89,123.53,123.53,43597300
2026-07-27,PLTR,126.15,132.41,125.31,131.53,131.53,36708200
2026-07-24,PLTR,125.17,125.31,122.02,122.92,122.92,21177000
2026-07-23,PLTR,125.93,126.4,120.73,123.37,123.37,29757900
2026-07-22,PLTR,132.22,132.35,123.45,124.57,124.57,38588300
2026-07-21,PLTR,133.83,134.68,131.23,132.66,132.66,23161800
2026-07-20,PLTR,131.88,136.62,131.82,134.85,134.85,30571300
2026-07-17,PLTR,131.79,134.77,129.05,132.38,132.38,31875100
2026-07-16,PLTR,133.08,136.21,128.68,134.44,134.44,28951300
