date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-25,QCOM,160.34,161.79,159.08,160.56,160.56,11417859
2026-08-24,QCOM,159.4,160.24,156.23,158.53,158.53,10497754
2026-08-21,QCOM,162.92,163.33,159.17,160.75,160.75,8515558
2026-08-20,QCOM,163.15,165.11,159.41,160.74,160.74,8509900
2026-08-19,QCOM,163.03,166.5,160.19,161.91,161.91,8099500
2026-08-18,QCOM,157.89,161.81,156.73,160.19,160.19,11069500
2026-08-17,QCOM,166.25,166.34,161.45,162.18,162.18,8967700
2026-08-14,QCOM,165.63,166.97,163.18,165.79,165.79,5807700
2026-08-13,QCOM,163.34,166.77,162.51,164.79,164.79,7716600
2026-08-12,QCOM,166.89,166.94,161.07,163.07,163.07,7731700
2026-08-11,QCOM,163.75,164.61,161.43,162.68,162.68,6326700
2026-08-10,QCOM,168.16,168.87,162.08,162.17,162.17,9260000
2026-08-07,QCOM,163.07,167.99,162.3,167.86,167.86,9723300
2026-08-06,QCOM,155.42,162.6,155.22,160.39,160.39,7232800
2026-08-05,QCOM,161.3,162.8,157.1,157.53,157.53,9725700
2026-08-04,QCOM,156.98,163.48,155.31,162.67,162.67,16351500
2026-08-03,QCOM,146.2,151.68,142.89,151.57,151.57,13700700
2026-07-31,QCOM,152.96,153.73,146.15,147.61,147.61,13811200
2026-07-30,QCOM,146.55,154.16,146.0,151.6,151.6,24336800
2026-07-29,QCOM,162.58,164.56,155.0,155.68,155.68,19240700
2026-07-28,QCOM,164.9,167.92,162.16,162.88,162.88,16147500
2026-07-27,QCOM,169.77,171.19,165.29,170.04,170.04,12487100
2026-07-24,QCOM,169.69,171.1,165.77,166.97,166.97,9998000
2026-07-23,QCOM,171.18,173.95,168.31,171.11,171.11,10827500
2026-07-22,QCOM,170.71,178.65,170.6,175.63,175.63,7777600
2026-07-21,QCOM,175.49,175.49,170.14,173.5,173.5,13243200
2026-07-20,QCOM,175.55,176.25,169.9,170.32,170.32,9649600
2026-07-17,QCOM,166.64,172.39,164.77,171.78,171.78,16291100
2026-07-16,QCOM,173.08,173.96,168.99,170.61,170.61,15951600
2026-07-15,QCOM,180.0,180.71,174.76,177.98,177.98,9440900
2026-07-14,QCOM,189.33,189.99,177.45,178.1,178.1,13090400
2026-07-13,QCOM,185.06,188.16,181.81,183.98,183.98,13007300
2026-07-10,QCOM,187.51,190.19,185.72,189.16,189.16,7064000
2026-07-09,QCOM,192.47,196.09,187.44,191.11,191.11,12895200
2026-07-08,QCOM,180.52,187.12,180.51,186.56,186.56,10306800
2026-07-07,QCOM,179.0,185.88,179.0,182.97,182.97,16253600
2026-07-06,QCOM,178.13,188.67,177.1,186.48,186.48,15510500
2026-07-02,QCOM,182.17,185.8,172.12,176.25,176.25,18661200
2026-07-01,QCOM,183.59,190.99,181.6,181.92,181.92,23313200
2026-06-30,QCOM,188.99,193.5,183.5,184.79,184.79,22056100
2026-06-29,QCOM,193.03,194.59,183.58,188.72,188.72,21599500
2026-06-26,QCOM,201.7,208.86,186.18,189.39,189.39,37128900
2026-06-25,QCOM,219.43,219.43,199.82,204.9,204.9,34793200
2026-06-24,QCOM,202.57,202.97,191.02,197.41,197.41,25519600
2026-06-23,QCOM,207.34,209.18,198.44,204.13,204.13,23781900
2026-06-22,QCOM,222.93,233.44,215.5,221.9,221.9,18203400
2026-06-18,QCOM,220.71,229.42,214.73,226.11,226.11,47081500
2026-06-17,QCOM,219.04,221.32,212.68,212.97,212.97,11955800
2026-06-16,QCOM,225.83,231.19,213.8,214.07,214.07,19629600
2026-06-15,QCOM,219.77,226.46,216.28,220.81,220.81,13993800
2026-06-12,QCOM,201.85,215.01,200.1,211.72,211.72,14123700
2026-06-11,QCOM,190.92,203.84,190.75,202.96,202.96,18933100
2026-06-10,QCOM,199.46,204.9,190.1,191.2,191.2,18426600
2026-06-09,QCOM,216.46,219.64,192.67,205.42,205.42,29906300
2026-06-08,QCOM,221.03,221.93,214.63,217.77,217.77,17180600
2026-06-05,QCOM,237.65,238.44,215.0,215.94,215.94,24189200
2026-06-04,QCOM,239.45,246.7,235.32,242.57,242.57,14185600
2026-06-03,QCOM,235.02,255.09,233.02,250.01,249.09,19467000
2026-06-02,QCOM,232.0,245.19,226.05,240.84,239.95,18508500
2026-06-01,QCOM,233.33,238.02,226.81,228.99,228.15,21185200
2026-05-29,QCOM,250.19,259.92,247.51,251.02,250.1,28781800
2026-05-28,QCOM,236.0,249.46,231.52,243.29,242.39,21118400
2026-05-27,QCOM,245.43,248.27,224.18,233.4,232.54,25694700
2026-05-26,QCOM,240.72,258.0,235.8,248.82,247.9,30646400
2026-05-22,QCOM,214.43,243.0,214.17,238.16,237.28,30375700
2026-05-21,QCOM,202.78,214.01,197.6,213.41,212.62,28163700
2026-05-20,QCOM,197.0,203.59,194.0,202.51,201.76,19037500
2026-05-19,QCOM,196.86,201.5,191.02,195.61,194.89,19605200
2026-05-18,QCOM,206.77,210.8,193.58,203.64,202.89,21082500
2026-05-15,QCOM,201.65,207.4,199.16,201.49,200.75,25876800
2026-05-14,QCOM,208.51,209.53,199.66,200.08,199.34,24883900
2026-05-13,QCOM,216.63,219.49,207.15,213.17,212.39,26226300
2026-05-12,QCOM,229.84,230.0,202.0,210.31,209.54,38590100
2026-05-11,QCOM,232.01,247.9,231.2,237.53,236.66,45474000
2026-05-08,QCOM,213.0,228.05,208.63,219.09,218.28,37850000
2026-05-07,QCOM,190.67,223.66,187.64,202.55,201.8,51092200
2026-05-06,QCOM,195.18,197.5,188.22,192.57,191.86,30145000
2026-05-05,QCOM,167.65,187.22,164.79,186.55,185.86,34274900
2026-05-04,QCOM,177.22,180.49,166.83,168.38,167.76,23117400
2026-05-01,QCOM,179.13,179.99,171.15,177.01,176.36,21111500
2026-04-30,QCOM,172.05,186.89,163.56,179.58,178.92,61132700
2026-04-29,QCOM,151.45,157.29,151.0,156.0,155.43,37571200
2026-04-28,QCOM,145.08,151.5,144.0,150.0,149.45,22921300
2026-04-27,QCOM,156.31,161.0,147.05,150.26,149.71,41744000
2026-04-24,QCOM,145.61,151.54,143.58,148.85,148.3,29449600
2026-04-23,QCOM,136.0,136.99,132.05,133.95,133.46,10164900
2026-04-22,QCOM,136.64,137.49,135.55,136.07,135.57,9432700
2026-04-21,QCOM,138.12,138.26,135.05,135.56,135.06,11874600
2026-04-20,QCOM,136.41,138.5,136.08,137.52,137.01,7953800
2026-04-17,QCOM,136.69,136.97,134.41,136.2,135.7,9667600
2026-04-16,QCOM,131.79,135.7,131.79,134.47,133.98,8163700
2026-04-15,QCOM,133.44,134.34,132.28,133.05,132.56,9691500
2026-04-14,QCOM,132.2,132.94,131.05,132.84,132.35,7608300
2026-04-13,QCOM,128.0,131.31,126.46,131.24,130.76,8615000
2026-04-10,QCOM,128.8,130.61,127.85,128.06,127.59,8427400
2026-04-09,QCOM,127.26,128.59,126.8,127.75,127.28,9352700
2026-04-08,QCOM,128.65,128.89,125.62,127.51,127.04,12535800
2026-04-07,QCOM,125.07,125.41,121.99,124.07,123.61,8840400
2026-04-06,QCOM,126.56,127.43,123.71,125.73,125.27,8038600
2026-04-02,QCOM,125.23,127.0,124.01,126.8,126.33,8575300
2026-04-01,QCOM,128.0,130.23,126.98,127.28,126.81,10210700
2026-03-31,QCOM,128.4,129.29,125.78,128.78,128.31,12219800
2026-03-30,QCOM,127.45,128.6,126.34,127.07,126.6,11555900
2026-03-27,QCOM,129.89,130.04,126.68,127.11,126.64,8964900
2026-03-26,QCOM,128.79,132.34,128.31,130.54,130.06,11912500
2026-03-25,QCOM,130.16,131.93,129.95,130.35,129.87,6669400
2026-03-24,QCOM,128.34,129.18,127.31,128.67,128.2,8409200
2026-03-23,QCOM,133.15,133.97,127.41,128.35,127.88,11431600
2026-03-20,QCOM,131.31,132.75,129.78,129.9,129.42,78568000
2026-03-19,QCOM,129.14,132.68,128.9,131.28,130.8,9846700
2026-03-18,QCOM,130.73,132.74,129.93,130.47,129.99,9894300
2026-03-17,QCOM,133.52,134.05,131.18,131.59,131.11,10544300
2026-03-16,QCOM,131.07,131.87,128.94,129.39,128.91,10132900
2026-03-13,QCOM,131.15,133.42,129.22,129.82,129.34,7786700
2026-03-12,QCOM,133.47,134.87,130.61,131.15,130.67,9162800
2026-03-11,QCOM,136.45,138.2,133.96,134.12,133.63,7830500
2026-03-10,QCOM,134.7,136.75,132.16,135.2,134.7,10447300
2026-03-09,QCOM,133.49,138.58,132.46,138.11,137.6,12304600
2026-03-06,QCOM,134.17,137.18,133.42,135.69,135.19,9197000
2026-03-05,QCOM,137.59,139.66,135.8,137.0,136.5,8981000
2026-03-04,QCOM,138.22,139.89,137.42,139.51,138.11,9309800
2026-03-03,QCOM,138.27,139.2,136.3,138.13,136.74,10372400
2026-03-02,QCOM,137.83,142.01,136.89,141.03,139.61,8963900
2026-02-27,QCOM,142.86,143.91,141.35,142.36,140.93,12439900
2026-02-26,QCOM,145.92,146.94,144.52,145.59,144.13,8642100
2026-02-25,QCOM,145.6,146.03,144.02,145.82,144.36,7358300
2026-02-24,QCOM,142.56,146.37,142.06,144.78,143.33,11085700
2026-02-23,QCOM,141.97,144.06,139.64,140.41,139.0,8260100
2026-02-20,QCOM,140.31,144.07,140.1,142.88,141.45,10265100
2026-02-19,QCOM,141.88,142.32,139.9,141.27,139.85,8219400
2026-02-18,QCOM,143.5,144.48,140.72,143.24,141.8,9944500
2026-02-17,QCOM,141.0,143.5,140.01,142.63,141.2,10670700
2026-02-13,QCOM,137.12,141.48,136.74,140.7,139.29,13134400
2026-02-12,QCOM,140.86,141.5,136.74,138.47,137.08,12416600
2026-02-11,QCOM,140.03,142.39,139.11,141.04,139.62,9379300
2026-02-10,QCOM,138.15,140.41,136.79,140.09,138.68,9762900
2026-02-09,QCOM,137.1,139.94,136.5,138.93,137.54,11022700
2026-02-06,QCOM,136.87,139.15,135.28,137.34,135.96,15036800
2026-02-05,QCOM,132.92,139.33,132.73,136.3,134.93,30229600
2026-02-04,QCOM,148.71,153.47,148.17,148.89,147.4,19249300
2026-02-03,QCOM,150.72,150.72,144.3,147.18,145.7,11966400
2026-02-02,QCOM,150.97,153.64,150.82,152.62,151.09,9099100
2026-01-30,QCOM,149.96,153.07,149.83,151.59,150.07,9577200
2026-01-29,QCOM,153.09,153.23,149.73,152.22,150.69,9142900
2026-01-28,QCOM,152.0,154.0,150.4,152.7,151.17,8539000
2026-01-27,QCOM,156.33,156.74,152.66,153.04,151.5,8354600
2026-01-26,QCOM,154.8,156.2,154.3,154.52,152.97,8004200
2026-01-23,QCOM,157.04,157.98,154.85,155.82,154.26,7106700
2026-01-22,QCOM,158.47,159.43,156.81,157.8,156.22,7450300
2026-01-21,QCOM,156.33,157.53,154.62,156.37,154.8,9181900
2026-01-20,QCOM,154.95,157.72,153.25,154.07,152.52,11971400
2026-01-16,QCOM,161.39,161.7,159.21,159.42,157.82,11990800
2026-01-15,QCOM,166.45,166.5,161.03,161.39,159.77,9241600
2026-01-14,QCOM,163.69,164.74,162.35,164.54,162.89,7959900
2026-01-13,QCOM,166.98,168.35,164.97,165.29,163.63,9993300
2026-01-12,QCOM,175.88,175.88,169.24,169.27,167.57,13657600
2026-01-09,QCOM,178.12,179.44,174.8,177.78,176.0,9662200
2026-01-08,QCOM,178.8,184.31,176.2,181.87,180.04,8353500
2026-01-07,QCOM,182.39,184.07,177.11,180.19,178.38,9853000
2026-01-06,QCOM,177.21,184.45,176.62,182.45,180.62,11033900
2026-01-05,QCOM,175.46,178.85,174.01,176.31,174.54,8972200
2026-01-02,QCOM,173.8,174.68,172.2,172.98,171.24,6532200
2025-12-31,QCOM,173.61,173.78,171.01,171.05,169.33,4682600
2025-12-30,QCOM,174.06,174.4,173.34,173.65,171.91,3429300
2025-12-29,QCOM,174.01,175.19,172.79,173.43,171.69,3978400
2025-12-26,QCOM,175.0,175.5,174.35,174.81,173.06,2442800
2025-12-24,QCOM,175.04,175.49,174.42,174.77,173.02,1645300
2025-12-23,QCOM,173.61,175.27,173.51,174.75,173.0,4690400
2025-12-22,QCOM,177.56,178.32,173.9,174.22,172.47,6422100
2025-12-19,QCOM,174.44,177.19,174.2,175.25,173.49,25223500
2025-12-18,QCOM,175.71,177.08,173.53,174.19,172.44,8967500
2025-12-17,QCOM,176.12,177.48,172.05,172.34,170.61,8501900
2025-12-16,QCOM,179.19,179.19,174.81,176.12,174.35,7136000
2025-12-15,QCOM,179.72,180.31,176.39,179.26,177.46,6954700
2025-12-12,QCOM,181.25,183.11,177.87,178.29,176.5,8865800
2025-12-11,QCOM,181.37,181.64,178.09,181.27,179.45,6319200
2025-12-10,QCOM,175.81,183.44,175.25,182.21,180.38,11100100
2025-12-09,QCOM,174.5,176.35,172.32,176.0,174.23,7719100
2025-12-08,QCOM,174.74,175.5,173.72,175.31,173.55,6690200
2025-12-05,QCOM,174.74,177.25,174.5,174.81,173.06,8400100
2025-12-04,QCOM,174.33,174.93,173.23,174.35,172.6,7245000
2025-12-03,QCOM,170.9,175.09,170.35,175.07,172.43,7624300
2025-12-02,QCOM,168.75,171.17,167.64,170.7,168.13,9159100
2025-12-01,QCOM,165.91,169.03,165.5,168.04,165.51,6818300
2025-11-28,QCOM,165.03,168.19,164.13,168.09,165.56,5068800
2025-11-26,QCOM,164.12,166.25,163.15,165.14,162.65,7967700
2025-11-25,QCOM,163.99,164.97,161.87,163.3,160.84,7758100
2025-11-24,QCOM,164.37,166.94,163.72,165.06,162.57,12070100
