日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-09-03,QQQ,710.85,718.91,709.69,717.67,717.67,29342845
2026-09-02,QQQ,707.11,709.8,705.11,709.24,709.24,23119119
2026-09-01,QQQ,707.43,712.3,704.66,707.64,707.64,34409539
2026-08-31,QQQ,715.12,717.58,713.16,716.76,716.76,31883751
2026-08-28,QQQ,719.75,724.12,715.09,716.43,716.43,33891826
2026-08-27,QQQ,716.98,721.35,714.53,721.11,721.11,28443051
2026-08-26,QQQ,708.41,713.02,707.97,711.37,711.37,20392400
2026-08-25,QQQ,711.27,714.04,707.45,710.72,710.72,23450911
2026-08-24,QQQ,709.66,709.79,702.7,706.32,706.32,37443100
2026-08-21,QQQ,715.23,715.67,709.21,713.44,713.44,33084596
2026-08-20,QQQ,712.09,714.94,708.52,710.93,710.93,33396400
2026-08-19,QQQ,720.39,721.5,712.61,716.08,716.08,35801700
2026-08-18,QQQ,720.21,722.13,715.92,717.51,717.51,48997200
2026-08-17,QQQ,732.95,734.58,729.27,729.87,729.87,26452600
2026-08-14,QQQ,733.41,734.39,728.32,731.07,731.07,23790600
2026-08-13,QQQ,725.15,733.96,724.03,732.07,732.07,31599700
2026-08-12,QQQ,727.08,727.25,722.92,723.7,723.7,29066000
2026-08-11,QQQ,723.29,723.35,715.5,718.45,718.45,29286100
2026-08-10,QQQ,722.39,724.67,720.33,720.87,720.87,26243200
2026-08-07,QQQ,720.15,723.63,716.51,723.03,723.03,31070400
2026-08-06,QQQ,710.82,719.32,708.5,714.65,714.65,33035900
2026-08-05,QQQ,726.25,728.54,716.92,717.3,717.3,33540200
2026-08-04,QQQ,708.16,725.66,707.53,723.85,723.85,59778600
2026-08-03,QQQ,688.3,701.59,685.82,700.07,700.07,44965100
2026-07-31,QQQ,692.11,695.77,680.05,687.99,687.99,50540500
2026-07-30,QQQ,674.76,685.12,673.3,683.55,683.55,66753700
2026-07-29,QQQ,675.51,680.05,661.14,661.73,661.73,57233300
2026-07-28,QQQ,676.23,679.4,667.88,675.49,675.49,51398700
2026-07-27,QQQ,691.68,692.3,675.95,682.12,682.12,42681500
2026-07-24,QQQ,690.41,692.63,682.48,684.23,684.23,42876700
2026-07-23,QQQ,694.67,698.66,687.79,691.96,691.96,44028600
2026-07-22,QQQ,703.62,709.65,703.62,705.35,705.35,23692200
2026-07-21,QQQ,706.57,710.05,702.8,708.97,708.97,33728300
2026-07-20,QQQ,702.16,705.8,695.51,696.06,696.06,29687600
2026-07-17,QQQ,691.65,702.3,686.76,695.33,695.33,54109300
2026-07-16,QQQ,712.01,713.6,702.61,705.94,705.94,39402000
2026-07-15,QQQ,723.85,724.36,710.23,717.74,717.74,32627600
2026-07-14,QQQ,720.22,722.29,714.34,719.69,719.69,29448100
2026-07-13,QQQ,717.72,718.74,710.08,711.74,711.74,36552400
2026-07-10,QQQ,720.7,726.39,717.0,725.51,725.51,26415900
2026-07-09,QQQ,718.33,724.23,715.13,723.28,723.28,33654700
2026-07-08,QQQ,704.95,712.26,700.91,711.44,711.44,35603200
2026-07-07,QQQ,714.17,716.35,704.9,709.43,709.43,42483100
2026-07-06,QQQ,719.93,726.08,718.45,722.82,722.82,30220400
2026-07-02,QQQ,725.58,730.83,707.56,712.6,712.6,50959800
2026-07-01,QQQ,729.19,731.92,724.6,725.17,725.17,40803800
2026-06-30,QQQ,724.18,737.62,723.91,736.4,736.4,42121800
2026-06-29,QQQ,713.99,724.58,705.17,724.08,724.08,44939100
2026-06-26,QQQ,707.13,715.56,702.81,706.52,706.52,47081800
2026-06-25,QQQ,725.9,726.83,705.3,716.38,716.38,49668000
2026-06-24,QQQ,715.37,719.93,704.45,710.62,710.62,52480400
2026-06-23,QQQ,715.74,723.61,712.11,713.65,713.65,53354200
2026-06-22,QQQ,742.02,745.45,734.39,737.95,737.95,43518600
2026-06-18,QQQ,737.2,741.82,732.51,740.62,739.81,50154600
2026-06-17,QQQ,735.19,735.68,720.85,722.51,721.72,51669300
2026-06-16,QQQ,742.25,744.22,729.64,729.86,729.06,45348700
2026-06-15,QQQ,738.1,744.76,737.38,744.0,743.18,46710200
2026-06-12,QQQ,717.61,724.01,711.28,721.34,720.55,51168400
2026-06-11,QQQ,699.29,718.37,695.0,717.12,716.33,71798900
2026-06-10,QQQ,701.66,711.28,692.93,693.69,692.93,65334300
2026-06-09,QQQ,722.98,725.66,686.37,707.83,707.05,91932200
2026-06-08,QQQ,717.81,723.03,713.07,716.07,715.28,47401500
2026-06-05,QQQ,730.06,731.69,704.32,705.06,704.29,99606600
2026-06-04,QQQ,735.48,743.5,732.62,740.61,739.8,40782600
2026-06-03,QQQ,747.31,748.65,741.01,744.21,743.39,40270200
2026-06-02,QQQ,742.4,746.44,739.23,746.16,745.34,30085200
2026-06-01,QQQ,737.04,745.65,735.99,742.74,741.92,33890600
2026-05-29,QQQ,737.84,741.63,735.25,738.31,737.5,37541700
2026-05-28,QQQ,729.73,736.6,726.41,735.6,734.79,32840000
2026-05-27,QQQ,732.96,733.32,725.44,729.45,728.65,35148700
2026-05-26,QQQ,725.96,731.17,724.16,730.28,729.48,34254700
2026-05-22,QQQ,718.07,722.12,715.95,717.54,716.75,33118600
2026-05-21,QQQ,708.99,717.12,706.77,714.51,713.73,36415400
2026-05-20,QQQ,705.29,713.15,703.79,713.15,712.37,36779200
2026-05-19,QQQ,699.81,706.49,695.25,701.53,700.76,46827500
2026-05-18,QQQ,711.54,712.07,698.85,705.88,705.11,49834500
2026-05-15,QQQ,710.14,715.13,705.55,708.93,708.15,51792700
2026-05-14,QQQ,714.62,722.03,714.22,719.79,719.0,33327500
2026-05-13,QQQ,709.96,716.65,704.83,714.71,713.93,40012500
2026-05-12,QQQ,708.22,710.18,696.64,707.24,706.46,45873000
2026-05-11,QQQ,710.36,714.59,708.91,713.29,712.51,36019100
2026-05-08,QQQ,699.92,711.23,699.5,711.23,710.45,44320400
2026-05-07,QQQ,696.58,701.24,691.77,694.94,694.18,43779100
