date,stock_id,Open,High,Low,Close,Adj_Close,Volume
2026-08-25,SKHY,159.77,161.18,156.24,159.53,159.53,12147327
2026-08-24,SKHY,157.3,157.55,151.5,155.37,155.37,16513137
2026-08-21,SKHY,167.05,167.46,162.57,163.41,163.41,15338292
2026-08-20,SKHY,162.07,166.39,160.13,163.08,163.08,21693000
2026-08-19,SKHY,162.78,163.8,155.62,156.16,156.16,33980100
2026-08-18,SKHY,161.78,163.88,154.53,155.62,155.62,22821900
2026-08-17,SKHY,172.6,178.43,169.57,171.38,171.38,24223300
2026-08-14,SKHY,169.32,171.58,163.76,166.33,166.33,20684800
2026-08-13,SKHY,154.13,168.5,153.41,165.67,165.67,32480200
2026-08-12,SKHY,150.7,155.16,147.26,154.41,154.41,25793200
2026-08-11,SKHY,139.22,141.87,137.33,141.65,141.65,17091000
2026-08-10,SKHY,135.03,139.08,134.28,135.29,135.29,17486200
2026-08-07,SKHY,143.48,143.65,133.8,137.91,137.91,34377400
2026-08-06,SKHY,139.0,147.24,137.71,143.53,143.53,22257500
2026-08-05,SKHY,150.22,155.95,149.84,151.03,151.03,19977000
2026-08-04,SKHY,150.18,155.47,146.7,154.38,154.38,34369800
2026-08-03,SKHY,139.92,144.17,134.58,142.72,142.72,29619600
2026-07-31,SKHY,159.88,162.65,143.51,143.73,143.73,46065100
2026-07-30,SKHY,136.51,150.36,134.5,149.0,149.0,52881200
2026-07-29,SKHY,129.95,137.19,124.8,126.79,126.79,65810000
2026-07-28,SKHY,135.91,136.49,128.29,130.17,130.17,51088300
2026-07-27,SKHY,159.7,159.71,139.01,143.02,143.02,50747400
2026-07-24,SKHY,163.91,164.2,153.1,154.57,154.57,26255500
2026-07-23,SKHY,170.72,177.93,167.02,169.5,169.5,36234900
2026-07-22,SKHY,162.16,170.09,162.0,165.27,165.27,27122800
2026-07-21,SKHY,161.75,173.22,160.54,171.94,171.94,38925600
2026-07-20,SKHY,163.42,163.43,149.74,151.16,151.16,37817500
2026-07-17,SKHY,152.11,167.37,145.57,154.03,154.03,73978300
2026-07-16,SKHY,165.91,168.2,151.38,152.31,152.31,56250500
2026-07-15,SKHY,181.81,187.95,166.48,176.46,176.46,76307700
2026-07-14,SKHY,168.11,194.8,165.5,193.92,193.92,72647700
2026-07-13,SKHY,152.62,162.28,151.3,152.35,152.35,57284300
2026-07-10,SKHY,170.0,177.0,166.19,168.01,168.01,107674700
