日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-08-28,TSLA,357.1,358.8,345.2,348.75,348.75,32818355
2026-08-27,TSLA,346.3,355.74,345.45,354.81,354.81,29998173
2026-08-26,TSLA,345.27,351.93,342.53,345.82,345.82,28573000
2026-08-25,TSLA,349.63,357.0,349.2,350.25,350.25,29715710
2026-08-24,TSLA,361.41,363.24,348.26,348.95,348.95,39190500
2026-08-21,TSLA,349.76,366.5,346.9,362.86,362.86,57808372
2026-08-20,TSLA,346.2,347.5,338.96,345.13,345.13,30766400
2026-08-19,TSLA,338.89,351.62,335.7,351.12,351.12,36735400
2026-08-18,TSLA,333.22,340.53,331.12,336.87,336.87,27994500
2026-08-17,TSLA,340.69,345.45,337.48,339.3,339.3,26037100
2026-08-14,TSLA,342.33,351.26,335.33,342.27,342.27,45437100
2026-08-13,TSLA,327.2,341.64,325.24,339.96,339.96,34708300
2026-08-12,TSLA,335.0,335.5,323.64,327.51,327.51,28698900
2026-08-11,TSLA,332.8,336.2,329.53,332.81,332.81,23345200
2026-08-10,TSLA,326.6,332.05,326.15,330.88,330.88,25003800
2026-08-07,TSLA,322.34,333.73,321.25,328.58,328.58,39492300
2026-08-06,TSLA,317.05,323.0,315.52,319.53,319.53,26033800
2026-08-05,TSLA,323.42,327.14,320.28,321.55,321.55,27820800
2026-08-04,TSLA,324.0,329.57,320.79,327.35,327.35,33318300
2026-08-03,TSLA,310.96,324.65,310.43,322.08,322.08,38281400
2026-07-31,TSLA,309.69,315.5,301.97,311.21,311.21,36630600
2026-07-30,TSLA,302.7,310.87,301.33,308.85,308.85,38005400
2026-07-29,TSLA,307.14,309.06,297.38,298.32,298.32,39478000
2026-07-28,TSLA,305.93,311.16,300.69,307.44,307.44,39802400
2026-07-27,TSLA,313.24,317.0,304.28,309.22,309.22,44919400
2026-07-24,TSLA,320.72,322.96,306.51,313.03,313.03,62760000
2026-07-23,TSLA,341.0,342.11,315.74,319.69,319.69,115606400
2026-07-22,TSLA,375.53,380.17,372.9,374.01,374.01,30646100
2026-07-21,TSLA,371.17,384.07,369.98,378.93,378.93,32735300
2026-07-20,TSLA,386.05,386.61,369.43,369.57,369.57,33901500
2026-07-17,TSLA,381.78,385.69,377.22,380.84,380.84,31394600
2026-07-16,TSLA,392.35,395.31,385.32,391.06,391.06,29269100
2026-07-15,TSLA,399.4,406.59,390.66,394.46,394.46,31549800
2026-07-14,TSLA,399.05,402.22,394.76,396.18,396.18,23385000
2026-07-13,TSLA,404.61,405.57,391.37,394.76,394.76,32809200
2026-07-10,TSLA,410.49,413.16,402.81,407.76,407.76,33410000
2026-07-09,TSLA,393.99,407.86,390.86,406.55,406.55,37835000
2026-07-08,TSLA,399.38,399.63,390.51,394.06,394.06,33844900
2026-07-07,TSLA,416.96,419.56,401.88,402.9,402.9,38149900
2026-07-06,TSLA,397.5,420.0,390.5,419.77,419.77,54727900
2026-07-02,TSLA,428.01,432.35,389.3,393.45,393.45,73717700
