日期,股票代碼,開盤價,最高價,最低價,收盤價,調整後收盤價,成交量
2026-09-04,TSM,421.88,429.27,419.45,428.91,428.91,12267758
2026-09-03,TSM,413.29,417.24,407.82,417.01,417.01,7804523
2026-09-02,TSM,413.2,416.4,411.27,415.5,415.5,6263352
2026-09-01,TSM,417.8,418.5,412.07,414.0,414.0,7908623
2026-08-31,TSM,417.23,423.65,414.6,415.32,415.32,6630783
2026-08-28,TSM,427.49,429.12,417.32,417.52,417.52,8859447
2026-08-27,TSM,423.02,429.64,420.6,427.3,427.3,12721658
2026-08-26,TSM,418.45,420.75,414.41,417.69,417.69,7449300
2026-08-25,TSM,414.58,419.77,414.03,417.41,417.41,7027792
2026-08-24,TSM,413.87,414.34,405.15,410.12,410.12,10645600
2026-08-21,TSM,423.02,425.68,416.75,418.95,418.95,7417130
2026-08-20,TSM,408.6,417.96,407.72,416.0,416.0,10447900
2026-08-19,TSM,418.13,419.6,407.88,412.09,412.09,8424700
2026-08-18,TSM,417.0,419.63,410.77,413.41,413.41,14030100
2026-08-17,TSM,429.97,435.71,426.8,430.97,430.97,9479400
2026-08-14,TSM,429.2,429.27,424.1,426.35,426.35,6324700
2026-08-13,TSM,429.15,436.04,428.39,430.49,430.49,8194000
2026-08-12,TSM,432.65,433.28,427.02,429.15,429.15,9534200
2026-08-11,TSM,424.2,424.9,418.87,422.06,422.06,9703600
2026-08-10,TSM,420.34,425.88,416.0,418.47,418.47,11776100
2026-08-07,TSM,424.79,424.79,413.1,420.04,420.04,9159600
2026-08-06,TSM,409.54,423.91,407.99,418.2,418.2,10628900
2026-08-05,TSM,419.32,426.3,413.07,414.0,414.0,12790400
2026-08-04,TSM,418.0,420.25,412.11,417.17,417.17,13929100
2026-08-03,TSM,400.59,407.44,398.2,406.11,406.11,12676900
2026-07-31,TSM,419.5,420.35,398.8,404.25,404.25,11956100
2026-07-30,TSM,392.49,406.77,387.6,403.31,403.31,17474200
2026-07-29,TSM,388.08,391.25,372.72,374.67,374.67,21700200
2026-07-28,TSM,385.0,395.36,381.3,392.31,392.31,18276300
2026-07-27,TSM,406.08,407.43,388.8,399.09,399.09,17932300
2026-07-24,TSM,411.35,412.92,400.8,403.41,403.41,11525100
2026-07-23,TSM,415.84,420.84,411.8,415.58,415.58,11048800
2026-07-22,TSM,414.91,424.81,414.21,421.21,421.21,10259500
2026-07-21,TSM,418.74,425.4,413.56,424.61,424.61,18210100
2026-07-20,TSM,407.71,409.89,400.08,402.3,402.3,11653600
2026-07-17,TSM,392.12,404.7,386.02,398.37,398.37,20986500
2026-07-16,TSM,405.29,415.95,403.5,409.74,409.74,24891300
2026-07-15,TSM,425.75,428.89,410.75,419.48,419.48,17012300
2026-07-14,TSM,430.87,431.06,418.86,420.39,420.39,14279000
2026-07-13,TSM,433.82,437.99,420.29,421.58,421.58,14329800
2026-07-10,TSM,438.67,439.66,428.1,434.11,434.11,9595100
2026-07-09,TSM,446.73,447.69,436.39,436.96,436.96,11455600
2026-07-08,TSM,429.0,440.49,428.75,436.98,436.98,11411200
2026-07-07,TSM,438.02,439.8,428.11,432.57,432.57,14898400
2026-07-06,TSM,447.78,460.03,445.6,451.79,451.79,12788500
2026-07-02,TSM,450.54,461.47,429.5,434.16,434.16,18375000
2026-07-01,TSM,467.67,468.51,443.47,444.23,444.23,18534800
2026-06-30,TSM,455.61,479.0,453.0,477.57,477.57,15074300
2026-06-29,TSM,437.0,456.1,431.09,455.1,455.1,14881400
2026-06-26,TSM,425.0,436.13,419.19,432.35,432.35,17974100
2026-06-25,TSM,452.9,452.9,432.44,434.99,434.99,14769500
2026-06-24,TSM,433.98,443.86,432.58,440.83,440.83,9991200
2026-06-23,TSM,439.18,447.33,434.19,436.39,436.39,20364500
2026-06-22,TSM,476.09,476.79,465.17,467.67,467.67,13686200
2026-06-18,TSM,438.88,465.22,438.39,462.12,462.12,25817100
2026-06-17,TSM,434.75,442.5,431.64,432.15,432.15,10934100
2026-06-16,TSM,436.02,440.33,425.2,425.83,425.83,10943500
2026-06-15,TSM,438.68,442.58,431.93,441.4,441.4,11184900
2026-06-12,TSM,420.05,426.94,417.21,423.93,423.93,10362500
2026-06-11,TSM,413.26,422.25,408.86,421.07,421.07,13826500
2026-06-10,TSM,413.96,426.32,407.7,408.75,407.8,13139700
2026-06-09,TSM,430.88,438.16,405.51,427.92,426.92,21199500
2026-06-08,TSM,423.77,433.81,422.53,426.8,425.8,11245400
2026-06-05,TSM,429.77,433.9,412.79,415.17,414.2,19644200
2026-06-04,TSM,430.63,448.01,427.3,444.92,443.88,10974100
2026-06-03,TSM,449.99,450.16,434.53,436.69,435.67,10245200
2026-06-02,TSM,440.58,448.38,436.01,446.69,445.65,10147900
2026-06-01,TSM,424.88,449.39,422.5,435.63,434.61,18040400
2026-05-29,TSM,427.07,430.44,417.25,418.45,417.47,11232300
2026-05-28,TSM,422.22,427.6,414.71,424.86,423.87,8905800
2026-05-27,TSM,427.02,430.55,415.38,422.73,421.74,14695600
2026-05-26,TSM,413.12,416.49,410.07,412.32,411.36,10132000
2026-05-22,TSM,409.43,410.67,402.86,404.52,403.57,7111900
2026-05-21,TSM,399.51,411.46,399.51,407.15,406.2,8937900
2026-05-20,TSM,397.0,403.88,395.95,401.62,400.68,10254300
2026-05-19,TSM,389.51,398.88,385.06,392.61,391.69,14083000
2026-05-18,TSM,406.88,406.88,391.05,395.95,395.02,12117200
2026-05-15,TSM,406.5,409.87,398.83,404.35,403.41,11868600
2026-05-14,TSM,403.21,421.97,402.1,417.72,416.74,18577100
2026-05-13,TSM,398.27,404.68,391.47,399.8,398.87,13127800
2026-05-12,TSM,397.75,402.24,386.12,397.28,396.35,18121800
2026-05-11,TSM,406.74,407.73,398.19,404.54,403.59,14680000
2026-05-08,TSM,416.95,417.0,400.88,411.68,410.72,18531200
2026-05-07,TSM,418.09,420.0,408.11,414.15,413.18,13403200
2026-05-06,TSM,402.4,419.7,400.65,419.5,418.52,17736400
2026-05-05,TSM,404.6,406.13,392.6,394.41,393.49,14579000
2026-05-04,TSM,404.52,407.7,395.2,401.61,400.67,9978500
2026-05-01,TSM,393.44,403.99,392.13,397.67,396.74,9926400
2026-04-30,TSM,397.81,398.79,385.71,396.06,395.13,12788100
2026-04-29,TSM,392.91,395.85,388.18,393.83,392.91,10313000
2026-04-28,TSM,392.12,397.87,384.7,392.34,391.42,14715800
2026-04-27,TSM,413.75,414.5,400.4,404.98,404.03,16561200
2026-04-24,TSM,396.14,409.49,393.85,402.46,401.52,21603600
2026-04-23,TSM,384.25,388.76,375.81,382.66,381.77,12224900
2026-04-22,TSM,371.78,387.91,370.64,387.44,386.53,16317200
2026-04-21,TSM,368.08,370.75,365.11,368.08,367.22,9808200
2026-04-20,TSM,369.22,370.07,364.25,366.24,365.38,11638300
2026-04-17,TSM,373.2,375.58,365.14,370.5,369.63,18419400
2026-04-16,TSM,368.86,370.2,360.55,363.35,362.5,26405800
2026-04-15,TSM,381.41,381.98,372.21,375.1,374.22,14955500
2026-04-14,TSM,379.04,382.16,373.22,379.89,379.0,12859500
2026-04-13,TSM,370.26,371.46,366.05,369.57,368.71,9596300
2026-04-10,TSM,375.59,378.0,369.75,370.6,369.73,13168200
2026-04-09,TSM,363.3,368.17,360.72,365.49,364.64,9246000
2026-04-08,TSM,370.29,374.3,359.24,365.9,365.05,16356900
2026-04-07,TSM,339.44,345.53,335.65,345.32,344.51,6823500
2026-04-06,TSM,339.75,344.2,338.62,341.76,340.96,5884800
2026-04-02,TSM,326.84,342.07,326.8,339.04,338.25,8994600
2026-04-01,TSM,343.9,348.68,339.75,341.49,340.69,15011600
2026-03-31,TSM,322.31,338.41,321.14,337.95,337.16,18488000
2026-03-30,TSM,327.2,329.6,313.8,316.5,315.76,15740000
2026-03-27,TSM,324.83,329.56,322.31,326.74,325.98,14484500
2026-03-26,TSM,339.82,340.91,325.37,326.11,325.35,14560200
2026-03-25,TSM,346.0,350.45,343.5,347.75,346.94,12166900
2026-03-24,TSM,335.57,344.88,334.02,343.25,342.45,9725000
2026-03-23,TSM,331.1,343.41,331.1,338.45,337.66,15857200
2026-03-20,TSM,336.68,337.6,325.9,329.24,328.47,17424200
2026-03-19,TSM,329.22,339.9,325.19,338.79,338.0,15411600
2026-03-18,TSM,345.78,347.95,339.34,339.57,338.78,12632600
