日期,股票代碼,標題,來源,連結
2026-08-31 16:56:41,AAOI,ALONSO ARI KUBAKA皇家馬德裏ITAJENJETSE || ÁLVARO CARRERAS MU MURYANGO WINJIRA ASANGA ABANDI 🔥🔥 AAOI股票（ Khz1rYdq3Q ）,Mshale,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBIdTI1TlJleVVCdzZLbkFKUHRva1FOSEdWSE84VDlod3Z2QURkM0YxbHhndm1CNUota1ZsYUNNWHVJUHFQcENhcGhJNnZQUC1iUGNHOU9WWFdEZ3c?oc=5
2026-08-31 15:59:33,AAOI,應用光電：需求強勁、利潤微薄、執行風險上升,Seeking Alpha,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQdVJQVmdyUlRNSllwdVlLRl9hSW5VdWVwem5Ja0R6RE5SazFrZlJnZ21kNE5CdFA1SDd0U3k4Z0M0N0dRU3hxaHA0blF3SUJuTEd0WWJ1QUZNTkpfbURBUGlQQTh1bWs3dWVIVzJYakk1VDVlN1JOS1hQY2dKRklRY2VpejJ3N2RxQ21rZGROazhpRWEtVTNfZzFiSzdoempvUkp3OVdCMTRvOXFXbFQ0eUwyNUNLUGJR?oc=5
2026-08-31 13:22:48,AAOI,"Applied Optoelectronics, Inc. (AAOI)最新股票消息及頭條新聞",Yahoo Finance,https://news.google.com/rss/articles/CBMiVEFVX3lxTE1JbVRDdm1OSWc3V3prU3BIbC1nTVFMa0w3cDNhQWRqazBrbmVfUEZTVXVDS3NZaWxGUHpyRXdvU1d2dl85NUwxbXVFak5Bam9oc1FlRQ?oc=5
2026-08-31 13:00:29,AAOI,應用光電股份有限公司（ AAOI ）股價、新聞、報價及歷史,Yahoo Finance,https://news.google.com/rss/articles/CBMiTkFVX3lxTFAyWk5Td0tZS292OGRfMmpnVHJBYVN0UXBkRGpXTmRnYU5wMlVrb0gxTjVTMmoyNGNGeXRZU2tFcy1mQnU3cnBldmVoQWZlUQ?oc=5
2026-08-31 10:38:40,AAOI,為什麼應用光電股票（ AAOI ）在今天的上市前下跌,TipRanks,https://news.google.com/rss/articles/CBMiogFBVV95cUxPYW5ROUllaXVCdFRBbXpJX005Q3d3ZUZMZDEwRU1Nb1YxWExXWC1HRzZCMV91Y00xYzJUX2hnSWpmX3NudmVESjZGOFZZQ2tqbUN1LUZhLVA3MHZqTUVkOXVCNkdHLU9ZRW8tZ2pjcTFmajN0bzZzazF1aHQyb2J3RHpqSnRIVE5mRkMyZlBlNFg3cTJ5bU1Vc2VkNi1FYUJaSnc?oc=5
2026-08-31 09:59:30,AAOI,為什麼納斯達克、標準普爾500指數期貨在上市前下跌？ NVDA、BABA、PSKY、SLS、AAOI、SPCX、RKLB股票聚焦,Stocktwits,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQMlBpWWRLWFdDN2JkTzlkdXQ0SDZrYzNjUFc4aWtka05RTTdKcVdTMDJKVUZmRzc0WUV3Y3VDeTR0Z0VEcldTTlBSb3hPMkhRLV9EdzY3UkdKdXFwdVg4cjg5TkhsbVNqQzJEdmEyN1UyQlZGZ3hkN2QzZXpBNjlTcE0xeWgzeW9KWUZ1OTBPNk1wVVRnaFM5OUJPQkM0QTJoVkJJeWUwbzBWZDVjYjVDVE1DT1FmekdlUVh3RlFVUk9QcUdJUW1ZMTVHU3lTbHoyXzZ6Nlh4T0YtOVZRUTFPeg?oc=5
2026-08-31 08:02:50,AAOI,已經知道這會發生。在開市恐慌銷售的高峯期，以103.8 $的價格回購了我所有的AAOI股票。,Moomoo,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOWk5reHZ6eHhyRjVTX1dFOHdpQlgwUkdqYjlTY2FTdXVUeFFKSm5nRFNwQlA4MDloVUFNUkVGdEJrUHA0VUlhXzlNWHVPYlZERnRWVjJwNVg4akNOUDdmYjBRTW9zNHVvVnR5Ynl5T1ZBWC12c0h4TFdJbXIxanp2OGZraVlydHJhVUFTSG5mOVcxSzIwU0ptcVdTWjQtZ0VpLWJnYVpQU3NoZXc?oc=5
2026-08-30 21:12:30,AAOI,Citron Shorts應用光電，呼叫估值與基本面分離，並標記下行風險,Stocktwits,https://news.google.com/rss/articles/CBMi_gFBVV95cUxNQ2phZUhBcVREbEhBellkcUxWQ2hFeXY2NFlhLWFob1JsNGpWU3hFOXdjUEdsY0JlbEVzTVc1M2h2ODZ5dzZreFVhUWNUVGZPcV9OVWYtVm1IQkJVU2x3cVVENWUxRWxmdjhVYXA5dTF3bVZZRFF1SDlPYTh1N05zbkM3QXg5V2Zmcm9FTUhLZTNzYW9IWHBQUXhxYkloc0dJSTllR1pxTmpvNXRDTk9GdERyM3BiSVg1WGFyNUdZLVc0MHNxcl9wWG1kR0JMNmhEVjVzWFFJQ2ZPdjlZcVZqcXdabHVXRTlnb1hlT2xVcnFDRGVLZTAxLXVjMFo3dw?oc=5
2026-08-30 19:56:09,AAOI,AAOI股票預測：應用光電收入增長42% ，但AI機會剛剛開始嗎？,TradingKey,https://news.google.com/rss/articles/CBMi7gFBVV95cUxORGFrR1FWbEtQY1I0cjY0TFptbWhKRkkzTE5oN19EcHFlQmJlZk5maWFHczU1aExvOXdDN2NTVWljZHYyRlR3SEJjUl9pU2I5aHZEaG0tbkpQVzJ6VDVUM3NkbEx0dlo4YnlsemxQUUI0YjlwcXVFMTdER0hSaDBLNUNPMktFOE0tNlZXMGFXYVBTaUdTSnRXaFcyazJxNlpIVkxiRUg2UXFjUnZNVWUwbC1nM1BrUkZIVmVHaUo2U1QyN0d5dWk0RDNReXVZU0s3Q2lpTUptQ2RXNUExWGUySE1xekxCdVlJSGZOand3?oc=5
2026-08-30 16:05:53,AAOI,AAOI 2026年10月147.000 CALL （ AAOI261002C00147000 ）交互式股票圖表,Yahoo Finance,https://news.google.com/rss/articles/CBMiakFVX3lxTE1YYkRmbTlmZVJfYWdLMU9XVnpjV2FiYkpzRjBfWmdyZFZRakJ1SHNRTjhERzU1a3gyX3dIVnYwZTlGMEg4VVhZa0NqVjJRQ2M2Ny10MGdZTGhSUGxITmpPUWRmS1ZPbW03SWc?oc=5
