日期,股票代碼,標題,來源,連結
2026-09-12 03:19:54,AAPL,"Apple’s WWDC 2026 ‘Key Catalyst’ For AAPL Stock, Will Decide AI Positioning: Morgan Stanley",Stocktwits,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPUFBjcXJXRXhqcDZCSWFrSFBrbERBNC14eXp0OERpenVaV2VadTJFTjdxaF90SGFiak15U1Vhd1FRVHB5S3JRSTRhcW5Ydm9EZUdNQVpVV0RZYUJzNjdHQ1dKc1pqcXVJYktyNUc1VEwxWDlEWmk1dUVzYkhhX0Y0QWpsVE40cXBZaTBGMGdDMUw5SVhVb3RwZElaY0xBR3d5VW1JOXZKV2x6VWlEYVR5VDdVcjJRODNhRlpqSFpLeFZwTUlrb21jc0tFbURXSE9CMFdYR1dtWXpBM0s5NDV6U3Zlcnh3dw?oc=5
2026-09-12 03:07:00,AAPL,"Dow Jones Futures: $100 Oil, Surging Yields Pressure Stocks With Fed Rate Hike Seen. Apple, Moderna Are New Buys.",Investor's Business Daily,https://news.google.com/rss/articles/CBMi8gFBVV95cUxNOWM1ZTV4d1ZVcjR3YTVEcEpPNlh3WnUwRG15VllLWlg3Ym93WGtCQ1lqRGFTV1BMSU54TUMtamtxZURaU2dtOXp3Sm5KUEpsaURnVURtek1NSkVYNTRlblUycnZraVpZTi0tQ1JISWtCZDRfRXpfSHVjYmw4ZXdrZGdXbjJPNTBWOFN6N19aQ3VYT0tTeEhQc3pVRG5RbEZ2NGZKUFBPS3pwamE5Njk3YkM4bEZROVJLbzVvSDhOalNyRFp4ZmloTm9RaEwxSDZ0bXZ6cVVsX0ZTTThyUmIwYzRFZE40dXViSERVVHAwNUJxdw?oc=5
2026-09-12 00:55:58,AAPL,AAPL Stock Unmoved After-Hours — Apple Sues OpenAI Over Alleged 'Rotten' Campaign To Steal AI Hardware Secrets,Stocktwits,https://news.google.com/rss/articles/CBMigAJBVV95cUxQTnBwNnVKX0pJdXpHOXZ2T3lHYlQ4by1WYzBhVGFnWlBTWVlscnppalJadnZmcmp1X0hQcjFSMHpFZ2N2WkE5Zmp1RHlCNWw3anl4RGVJU19majFIVng0UnctMnJXYzVVZXE3emU3NEhQR29UcS1vTHBqS0d6bjNMMHkxQzZvaVBzU1VQYVcyRDVZVXZ4M3FBbmx2WVBOeG5QczNraG9oblk5QlNPMzlncEQweDBfTDBsSHIzc1Q4c3kxeWhhUTI4T3JwSGFuaUNuODBoZTRfbnY3aldGb21tTjlGSHNsa29Yd3daQ0xmTldqZFRBUGp3cVhzTmt6Q2Ja?oc=5
2026-09-12 00:41:00,AAPL,Morgan Stanley renews Apple stock forecast after iPhone Duo launch,thestreet.com,https://news.google.com/rss/articles/CBMingFBVV95cUxOOWJHT3hvalJJZlZ3V1JBc1k5SjdCbFdXVUFydnJEVTZpVEgyWHhEWHV2YXBJdGtSdHRvdWtWQzVOUUhuNGJvdXN3SWVlVk4tMERyOTM4NF84UUROb3hlMkMwMEdMZEJtV254aVJhZXVjaktkWmY5RU92WHFDOXpvcTNwWUp6NUdESjRvTkp1amp3R0lsZTNkenJfNnBsZw?oc=5
2026-09-12 00:13:26,AAPL,Fantastic News for Apple Stock Investors!,fool.com,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOYmx6OFFPSE5yc0VCYXp0MzdrbGtSZkY4Z2FqTWVkNjZoWjl3aEZDVHZYTzRVRnZkY2ZlejRUVmxZYzJpTVFfUGcxSGpvT2p6QXJreGRSUUJFTzNvUVU2cXlFamRGbU56eUNqeWtVc3Q2aWpQdE9ZVFNLaklYUnMzZzhpNHJKcl9UUmE0?oc=5
2026-09-11 23:27:19,AAPL,"Apple, Microsoft, and Nvidia Top the List of Largest Companies by Market Cap. Here's the One I'm Buying Now.",fool.com,https://news.google.com/rss/articles/CBMimAFBVV95cUxNYnUwZkxRdUdHV01vSDFtNkQ2bG90RmhqM0ZtNW41enlqN01KeEktUnFHSlQ1eEpBUEZBaXBFb0VqSUctM1BVT0k2aUo2WUZzYnQ5aS1GNGY5YUVncEYtdzUxeDFKUWNFbm8zN1d2RTFGYXFla01xaHZkZ3dJUWYzcFV0eW1Oc1hCcHlQd0ZaWFN4dU15Q3Q5bw?oc=5
2026-09-11 23:11:28,AAPL,AAPL Stock Ends Week Lower — Apple’s Vision Pro And Smart Glasses Head Reportedly Defects To OpenAI,Stocktwits,https://news.google.com/rss/articles/CBMi9AFBVV95cUxOcWgwMXJaYjNneDVZdFRaVGFZSmVQR01hSjF3d0dQY2NOeHF3SVY2Z3VHSTlhM1dpbXo5Tkg4NmE0bjBjWUJ2MVBMSngyVjl2V21lODlHRGtvcXlqcGRJbEJHcU44OVRvcExHb2FQZXF4WVF6cDVRcF84M1lQVTBUSFFRVHRzNGt2TzY4WGk0ZDZ6WU1aT1N6RlRXam5vbC12N1JvMnY4Yi1rbHBTUUpUa3ZKbVZ3MHpGalVvb0JqekxPYWw2RHJDM2hDc2tWS3poVkFjeWFvRlRFeWNoZnNRSF9Jdm5LWElIZnc2UU9jNFhLTmZt?oc=5
2026-09-11 22:04:52,AAPL,"Dow Hits Record High On Strong Banks And Industrial Stocks, Nasdaq And S&P 500 Slip On Tech Weakness — SPCX, YUM, HOOD, RIVN, AAPL, SNAP In Focus",Stocktwits,https://news.google.com/rss/articles/CBMirgJBVV95cUxQZlpVQVJfam9LM2t6cHoxcU93cFRnY0Zjazd4M1Qxa1MtanJuQkgtS0FmUnM2RENBNEcycTEzWEZ4eFVYMFJFQUZXcERuLVV2bG92QU9rZUxQV25WYmtWb1c3czRPNUJmX21kQ0RuRE9zd2pVQ0t2U1ZlX2xlc0RLVzVRTmhOQUs5OEgxTE56QWJOcVNiRG52c3RfQUM2YXBOQmNoQzF1blFiYjh5SS1mMWNaTV95VHVHY0R2ajdpQXhXeFNHWVFwcUt6WGltd04tbkduSThYaWl1aS1ZbHUwYjBWVl9wZ0w3ZURrVnRSQTBYcV9jN0xjMW9pSWZkVzdvVUZEUlVTWHo0SldpYlpBcGVMUFNnZm9TRmJTN2FURloyUHFPNUxSOUswSmdJZw?oc=5
2026-09-11 21:45:04,AAPL,Apple (AAPL) Rises Higher Than Market: Key Facts,Yahoo Finance,https://news.google.com/rss/articles/CBMimwFBVV95cUxQeVJQLTdDQWRKUXF0endYVXZlN29MUXdUbXBGYVBvUDFMbWhPNzE3THh0WFJfenM3endvWUVPaXI2QlhTQ1FuWVFwRVlabkl6SmRsd1NMOFp1alVqX1VXWWhxaklzQ0RPU0liQmloUFk1RjJiT283TFhlclRyeFJfYVRVb3dVUGtSd0FQSGhZay1xZ1BoOTNaZ0w3Zw?oc=5
2026-09-11 21:07:33,AAPL,AAPL Stock Heads For Worst Single-Day Fall In Over A Year — Wall Street Warns Apple’s AI Supply Chain Headwinds Are Far From Over,Stocktwits,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQM0NVeHRMVUhYQzcxTHE1RWR4c1BlOXZLa3VxYjZSNmhYci1ZamtvNGRDalktNlhmM1kwOE5IMmZUR05hWXMtb2lEUnN3S1BZNFE4c2s5emM4NGVnMlRXaFpQWm52S3haY191RW1KSEVwUGNJVTJEVmk1cnZhQmV1eE9VM1MwLXQ2c2pqeC1wZ1YyYnFMUmg2MFZ3Ri1aU21jN3F2aTI1S0ZhYTIzOGJXVDdxNzdBZ2FBc2JTOG9zMFZUMWJRbjdlWTYyWVRDMDlnUDVsN3hIOXNyM3lKaEQ4?oc=5
