日期,股票代碼,標題,來源,連結
2026-09-05 13:56:21,AMD,"AMD, MRVL, MU Stocks Hit 52-Week Highs: What Drove The Chip Stocks Higher?",Stocktwits,https://news.google.com/rss/articles/CBMizwFBVV95cUxQY1YyZ0RQdjVBUERDWkJyb2R3eVR6ak1xNVJsWXl2bmxOM09VaG00MEFnektlSXRkd0pHVTROSVlRRlQwRnQ0eE1MT2Z6WUdhWE11bWRXdXZMUjRGV0taelhXOUtiam5WeTEwM0dxVWNhNldzemxSeWstRzBzeW82SUxUcWw2cmZBNWtiSElZODdNbE9BUFg2MWdoQUpwMGpfSGNpR2d1WVdpbnQ1ejkweENGSTBGcVNWdngyM3dXZnF5bkE3WUwxOS0ycmFPems?oc=5
2026-09-05 11:01:15,AMD,"MU, SNDK, NVDA, AMD: Chip Stocks Gain Premarket, Extending Relief Rallies",Stocktwits,https://news.google.com/rss/articles/CBMizAFBVV95cUxQQ01QSlZMU2VqT3d5WG1hampNY0lLVk5xSWR0M3ZBcGJqR2F0azBocE50TW5TSFg4eUlkekFIdk43QkJ3dUo0RExhbElZeEZRVGcwSml1RERrdXNlMTc5MV9UbFBDTFRheWNmYVhkVTdLYVVOa1hjLUxiaHRFMnNfaFd6NGNFVmFuREM4WFllU0xJTjNfMnRPWmtnYVVJZmFWajVScS10cjhfNEllQjBSUTZsc0dDWEhObWtpZ19ETzBWUGl1N0hrSVJNcVg?oc=5
2026-09-05 10:30:56,AMD,"Why Did INTC, AMD, BB Stocks Surge To 52-Week Highs?",Stocktwits,https://news.google.com/rss/articles/CBMiswFBVV95cUxQcVVkNWpTZVpnemNFQm84VEVMaVNjY3JRWFpEV09YV29tdlI0M1k3bVRHbzU3aTYxSVNOTXR2U0d6c2pHUGRIYXBFMlhGelItUnVzYm1JRGtMN0ViNndUamRrVUpWSWllQW5nNGJwNzdyYVptN0JsTDk2Sk5Vc3pHRWp3dHA2T1p0c3lwTlM4eGJkMnB0WnZjRG9RaFVpamFiazNmbTBXU2QzS1hNaWFPdlhnNA?oc=5
2026-09-05 10:22:14,AMD,"AMD stock could drop over 90% by 2029 if historical patterns repeat, despite strong current business growth.",Pluang,https://news.google.com/rss/articles/CBMikgFBVV95cUxQMm03U01ySk5lbnJvN3ZQQWNDNW9SVVBPLTE5Y0ZzZDlIblM2R3VLTEJ2SWtQWlBPVk5jWTJxcy1DWjFlOEl0Um5IQWJBcGNLLU9WRU5LZXVOZmU2azBwaElDUWxoRHJVQTFmUTFrSTlncmFtWkdUMURDZ2EtS053cTF0QXhKZUZOcmRyRGVvQnF6QQ?oc=5
2026-09-05 09:59:55,AMD,"AMD set for 90% crash on this date, according to expert",Finbold,https://news.google.com/rss/articles/CBMif0FVX3lxTFBWRWZmZWdUVk1GaTBoVmR6cldCTEpPUEpDclg0M3B4MGVIRE5nQkpGX1I4dFIzNnBMOTgwV3o4WlNQdVcwMnByNkk4bXVqamNNOF93ODJQWUpsNkdLY1N4OUhKT1lPSVpRaEY0V1dJamIwSUZvdllRcDgtWUVzS28?oc=5
2026-09-05 09:52:56,AMD,"AMD Stock Is Up 155% This Year, But Stifel Sees A Further Upside Of 16% – What’s Driving The Optimism?",Stocktwits,https://news.google.com/rss/articles/CBMizAFBVV95cUxPckRqYmIwRjJkUDZjYVZzOFU4ZGpKRjFNaVh6VXhmR3RvOG1falJWWEphRGJnWlBsVXpjaDdSV1BidFhDcHl3TEEzQWFqSEh2eTlaR2JNcUVEbTdOYlplVlIyVmdSb0IyVVlURWpMbG1TQnBZNEVlVG54MWw3MmZDTzdjblc0Q1I5RnR3cUF4RFdUSXFJS1BCYS1VcWl6MGZTWmxiYXFKWFhld29jOVF5X2wxTjlSZ01mQVQ4Y1ZoOExmaktWejlJXy1PRnQ?oc=5
2026-09-05 09:42:10,AMD,"Advanced Micro Devices, Inc. $AMD Shares Sold by NWF Advisory Services Inc.",MarketBeat,https://news.google.com/rss/articles/CBMizAFBVV95cUxOOFdVNFhWaU8yQUhtXzdSOFlFQldrcWt1THd0dTVvNmZOeHJnUXY3aHZJclMzMFJHSDZTMldMVWVZSUdZUmlaMktmRy1vckFDd0dZNEJRQm1wWEhETkE3ZGwtckd2VWNxaG8zaHBhT05qaGJ5Z3BnVDU5NE1oNDhoZnFFTVdRSE5TMXlMLW1Ec0JDNzJJRUkzcXBseGQ1RjlMeWpTY2xlcjdHbHp2dHota0JFUlBWN2U5QmlQQzNJVWFNZ2NRMzE5Q08xNEg?oc=5
2026-09-05 09:42:09,AMD,"Advanced Micro Devices, Inc. $AMD Shares Sold by Mason & Associates Inc",MarketBeat,https://news.google.com/rss/articles/CBMixgFBVV95cUxPNHBZN09USHIxcGt3UjcteDVySlZJZDItLWdIV29QcnJSdnhtanM2Q1cwMllERUNfNE5CdzV1RWZpcEFHZkVvMUE3aDM0R2FxSm9JaW5ub0JIb1o3MVhzZV91SU96ay0tXzl3YlNydHZteERuRjFuSERCNmlXRnQ4empJRlB0MFB3MXVXSTd2RG4yRFRoWEREWEhadWZSbVN3SW50Q0hzNnhhZ1V1RldnTTJZQW9ua0Zmb2xsd25EQUw2dWZQaGc?oc=5
2026-09-05 09:42:08,AMD,"NEOS Investment Management LLC Has $718.82 Million Stock Holdings in Advanced Micro Devices, Inc. $AMD",MarketBeat,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQbmtzM3RLM0V1dU1NQ0QwZ0x1YUx3NHZac0Y3NlVSNmtDQkFtN2VqSFdoS3RmeE5pUnJ2enV5eUVESUZNV2NKaWZLaE1rREdwMUp2akNVZ29VQXJKNzVWQklBWVlwT3J4UmJwQ29PVXF2SzJtR2t3WndWandiTHA4eDlJRHhxLWM0dHZEZldMc0JhMDByeXl1ZWhjOGNFZGJQZXh4S1Z5SG4wcnY4ZC1iYmZGc3ZZcVJkNHNCUUtCeE50ZWJmQzVnV2wyTVpWdDNUYkNlRFotQXNSUG5lWU5LXzhDaEU0UkswZjhUVTVUbw?oc=5
2026-09-05 09:42:05,AMD,"Sapient Capital LLC Sells 4,414 Shares of Advanced Micro Devices, Inc. $AMD",MarketBeat,https://news.google.com/rss/articles/CBMizAFBVV95cUxOSWVVc3FuODJxY0hMN3NiZVBuNVplVlBtbmQ2WXRqNnpIMnBXaGoyX3kwQzRaMUNGNVJCam9pTjRGSGJQWnNYQTVEWVlJalZBN09pb1hNcVVEV2VLTHBrV0lKek1TdkYxVUJjSlFXMUV0a1BaczdZNzhnNmRNOXk1dFJia29rT1lnenl3d2J4LW9NZXVmTkczQVFYX01CLXk4UmU2aFpzRTBBWFNySHNOMkF5dzBmeU1FUXhBMWJxMDFLc3gxMkJzWlZTNHA?oc=5
