日期,股票代碼,標題,來源,連結
2026-08-30 14:03:00,AMZN,Amazon Stock (AMZN) Opinions on AI Infrastructure Investments and Market Performance,Quiver Quantitative,https://news.google.com/rss/articles/CBMivgFBVV95cUxQN0NrNXJma1RscXZQU216YnRsUlFyTlMtTVlCYkV0ZXZEZEc5VElDVXdPRHV1YV9wOGNDajUwNjg3VVVyMVJBR3l6ajNweUNjbmR6QmNoQWVHaEQ0RTVYX2w4S0JPOW1OWW0xalNGQXB1anJ6WnlIUmtEZWl2Ni1fMEpJWTBIUmlaY3l6T2QyZmRJLWwtbDVBUTVxWW40QXVHWkZUZE9UMjRuN2NIb1Nkd3pPYXNIRHVTREgwclh3?oc=5
2026-08-30 11:44:48,AMZN,Is This the Single Best Reason to Buy Amazon Stock Right Now?,The Motley Fool,https://news.google.com/rss/articles/CBMilwFBVV95cUxPZFpQLWk0dnJoQllUWnFiMEhjcm9HYTluYUtlbGVibFpydS04eHpuWmNsb3VINmJSOXpibURFZlZXR0dqOHJzWkMzbWVlam1iM1FkMVBwNnNGaVg1YkZURlYtWDl4TVFiUGxIR01GNXdkcnBGc3ZHOGd1MXNhTVg2akpoY2ZEV2FfbWRiMGNnTGNxZkt2TGp3?oc=5
2026-08-30 11:43:18,AMZN,Is This the Single Best Reason to Buy Amazon Stock Right Now?,The Globe and Mail,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNSTd0RGgzdl9JQWM0UVZKTERHVGo0cDhmWmlSVXdJbzA3T1hLb01NQUVldUxCRUJQUFlXSjNDaS1CcVZHYm9MNV9MM1ZycDhmdEdLQVpBcVRSOTZMYUx0LWJqZUlQRVdKME5sc04tMnZvbGU4d0JzaWdPbEF6WUF4YkxnZWZFQmU1RnlLSll2XzBlS2xteUNRZ0pDOVMtU1RUOXlLdGxtcEJxNUlNNWZCaHR3Q05DUjhORmJVNGV4ZW0wVzVTeDh0S2NCdktCSDdnUnJtY0gtZUU4VHdLdVNz?oc=5
2026-08-30 11:20:59,AMZN,AMZN Price Prediction: AWS Breakout Fuels $290–$300 Target — Bulls Have the Fundamental Firepower,blockchain.news,https://news.google.com/rss/articles/CBMipgFBVV95cUxNbGJRMUFzY2tWdDIzZTloOWZfRVdSVVhBWUNGSTVfWW5wdGxUb1hSclduYUp3eVl0aFVRalo5VEJtNVczd2VhOUpUVkdYbXlWRnhVd00xZzJuMk5NcFdjaWFLR0dUVXNPdTgxdk15VDBjeUttdGcycE1hZVdBZTR4a0xOaXRkVlc2bVlvalh5MWNyYmNYNHJFaVhyeDlmOVpKaXFyeVZ3?oc=5
2026-08-30 09:22:59,AMZN,"Amazon.com, Inc. $AMZN Shares Sold by Wealthedge Investment Advisors LLC",MarketBeat,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOZXZiSzQ4ekxXQW1YMGt6TVljVDRoZVZqWjFRR3pUc241NDBJX3dYVEdweHJKWl85TEYzRkxvcHRuSnQ2RzkwMFhHdzcyT3ozLTVjOF9Relh2WTR1SEJ6QXFqa05WMV9sQmsyM0JzTVExMEhJZi1OMEQxNWFTMnhDQjNuMm1kRE9ET09JeXo4bnBSZ2RWeHNQNmVhTEZSb2VaWW9UbXBxVHFMVVF5THMxbWI4M0xVMVI0d2xlbl9GMDkzY2xLOGtjSA?oc=5
2026-08-30 09:22:58,AMZN,"Orange Investment Advisors Inc. Trims Stock Holdings in Amazon.com, Inc. $AMZN",MarketBeat,https://news.google.com/rss/articles/CBMizwFBVV95cUxPQzZ2UWFnTjhFNEdYaDJ5ekRCaXUwVWd0VEQyRWNYY0prczVzN1ExMUxGelZSYXhIeHdDenc2eTFucEE5bm9CejRCSDNnYjZvMVB1U2h0Rm5KYWRKT0tsRzNKQ3R0bjN1MTcxN3l0aUVMNDNxeEt1LTJVRS1xbFFzLVFXaTdHcl95ZktPZTR6TEFVQWtqeHVSTVl3SEpwaW1BNTlibU95dEtKMjN0R2l0b0NzQUM3aTNTeGM4X3BnSi1TekprOXNwZkVyYWRhRTA?oc=5
2026-08-30 09:22:58,AMZN,"Gunderson Capital Management LLC Buys 2,681 Shares of Amazon.com, Inc. $AMZN",MarketBeat,https://news.google.com/rss/articles/CBMizAFBVV95cUxNbTM5aHZwaVdScHctMWZjbGFFTXlWb0hkRXdGdERqaHF0NGI1OVhiMHFqeWRlbm1nNEh4NXVXLVJnQmJpV1E3eV9DS05vVFJBWUdpVTc3Yld5RkJSNjloaEZ5aGpDSmVjRk4ycGVzN3d0a0t2VFM4MkJFbkJYSmROX3M2ZWxQWklTdFhyRzNkYnl3SWNRMnpDWFNSUFhnclY0WUstTTRFM2MzYzZyNl8wZGQ2STRjcVdQUG0yb2p3ODVGQm41LVZrSk9Bd1Q?oc=5
2026-08-30 08:40:41,AMZN,"October Effect Ltd Reduces Stock Position in Amazon.com, Inc. $AMZN",MarketBeat,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOWWNBVHpaUGlpcG0ya2laa3R6THJmNzVZYXpUOHNZcUlySE5MdmlycEdFbGVuU1M5SXhvb1d4d0x4YlN6Z0FRNkxaQ2xxMzhRUFkyYm5SMDM1MEo1dy1pMVQ0alVBNE9Wd0xBWXgxNmlPanNYMnFXOVJRUkN5Zmdnd01RdHNaSHUxekw2UUpnOWcxQU80Tkh4bzgwSk5SX0tEWGcxbWZFbndza2lpX1FvS2tadGJFU1Y2VE5rRTNFMjk5dw?oc=5
2026-08-30 08:28:47,AMZN,"Amazon.com, Inc. $AMZN Holdings Raised by Flputnam Investment Management Co.",MarketBeat,https://news.google.com/rss/articles/CBMizAFBVV95cUxNVUkxYlVpZG9QNERRWVZkTFJHWWpHZF94OTBKVEYxV01IVEpzcS1sMVNvZk04a0prZEE3akxORll0TGR4NlRKVUFIQ3c2cVBaV01DLTV6UEw5dTdDZjNuMHlDeFpNS3ZyeHViVGF1dFJnNVRlRDVKdHQ5NTBqM1pjMGxNdExIdDFvQXhkZlpqS2VTV2xaYTJqbzlSRnVZRHNiWXlRcGdRX3ZjMHEwX2pvdTQ1STRqa3pDMWlTbkZyU2FtSmlFby1aRU9yb2k?oc=5
2026-08-30 07:42:49,AMZN,"Columbia Asset Management Sells 3,916 Shares of Amazon.com, Inc. $AMZN",MarketBeat,https://news.google.com/rss/articles/CBMixAFBVV95cUxQYjBEMnBBYkZxWXpsNHRlMFJLajlBNHRqZkVrUlRYTHZlRDd0WVVqeEE4bXU0YURiZGNaR3p1Ty1pTHM1OFVzNU5uem44dWItel9LSmVjTDl5YlFTa0sydlZHelB6eEU4amduUzVtSnVhQTl6c1dyU3YxcXMzb2d5ZDQtZHh6ZmVoQVFKQWt1TmQ0TkVzdXd5RGtXX0F2TVRhd0FqYm5nY2o5Uk81c0VSalQ2LWVGdGN3bVVveXpoNi01TjJ4?oc=5
