日期,股票代碼,標題,來源,連結
2026-09-23 21:42:22,AMZN,Amazon admits it lacks a clear plan to reach ne...,Pluang,https://news.google.com/rss/articles/CBMingFBVV95cUxOOVR2akN0YWMxSnZJekdEX1I2Y2JVcWNmdTBCQi0tZ0J1NlJlQnRyNHVEcU55Um1pcmNUQXRSWmxGay13amc1WElnZlFHMkg3bElZZFNCb3ptTmN4SEJmSnZfWFNOa09WeTVJdUIzNHJlMnBoVnRkb3phVUlnLWdwTmxtcjl4aURoYUNIb2lIOVB3X1pfLUlJbzI3ak5ZQQ?oc=5
2026-09-23 21:23:28,AMZN,"S&P 500, Dow, Nasdaq Drop As Yields Spike Amid Calls For More Rate Hikes — AMZN, GOOGL, NFLX, SPCX, RKLB In Focus",finance.yahoo.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxQN3E5Mk5oS3NyQTZJRFlBQ093dlBwX1JvanFreVZnWDJTcWJSWlF4c2ZoSmc0Um1kM1o0Uk1SaW9DcjBOLTh1OWFJYThoV1ZoSmotVjVCYmt4Qk1UTlp1Y1dsWVlLSHpZTVBQRXFfZjB2MS1Tb3hjNVI1LXJiMnVLMTdmcF9GM0M5V1ZQR2tkOA?oc=5
2026-09-23 20:52:00,AMZN,Alphabet vs. Amazon: Which Anthropic Backer Will Benefit More From the $2 Trillion IPO?,finance.yahoo.com,https://news.google.com/rss/articles/CBMiogFBVV95cUxPWW5IRWdkQTlEeW9Qc0FaQzNnVU1iazFIZVphTS1IUV9HRG9GekpmRUxnTXRaRmZSc0d6MmZQaDFUOFVGTXB2T1BWOGYzTTdJOHhRQWhmVGM3U1RnTWxLM2M4eEsyUEpwNDRqT2dJT240SUUyTzZaQ0REN2JhaGlCRjRKaGtnUWxXcmxFVGM2dWN1VU4yTklKaXd6aklrLTZ3RXc?oc=5
2026-09-23 19:39:13,AMZN,AMZN Stock Dips Below $250 as Cost Pressures Mount after $1.9B Delivery Spending for Amazon,FXLeaders,https://news.google.com/rss/articles/CBMizAFBVV95cUxQY1M0RmlmZ2dUa1lncWwydF8wWjBmSkJUWUxBMGtRMklwdVA0TmxkZWJxNUxlOFZlN2YtQWF0MklOY3prUW01aVFucFQ5Zmp3WWdXU1o5TUU0OUF6WFR1V0hQUkc2QV9JaG9VX3dWVGswLUNOLXA0OUlBM1FYVzR4NF9QT1J4WXZ1S3MyR3FJMnItTFdoVy1RRlR4el9FUThvZ0Q4dVUzRnp1YlU4bDdUZ0dxYzdFSVdoOWdNSl9GQ192UlFFY056Z2NJZ0c?oc=5
2026-09-23 18:26:46,AMZN,Amazon (AMZN) Puts Another $1.9 Billion Into its Delivery Network. The Cost of the Last Mile is Rising,Insider Monkey,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOUFhGZXVSY2ZSM1ZZV3pDT3owSy13dElyUG1nU1Z5TF9Va09LUENMdmpaZDhCdXFlNGR5b21JSGhLN1Y1RmJTX2tqUks3bElTTEZwSW1OQUo5a1Ffc05VTU9QSzk0U3Y2QXBnUThUcGo0YWJidUgzMWJpTzM2WWxTWFZUcjdvQm5WMUdzdzNuaVZjNm1EOEFGTkZQaXdPNFpWcThTMnhMRUpTTVMwS0hxemVXeDYxSkoxNHpyaE5sUGdOQnkwVUttRGVtam5SbXlweS1Hb2FTSkoydzlhaEdhNGd30gHiAUFVX3lxTE5QWEZldVJjZlIzVllXekNPejBLLXd0SXJQbWdTVnlMX1VrT0tQQ0x2alpkOEJ1cWU0ZHlvbUlIaEs3VjVGYlNfa2pSSzdsSVNMRnBJbU5BSjlrUV9zTlVNT1BLOTRTdjZBcGdROFRwajRhYmJ1SDMxYmlPMzZZbFNYVlRyN29CblYxR3N3M25pVmM2bUQ4QUZORlBpd080WlZxOFMyeExFSlNNUzBLSHF6ZVd4NjFKSjE0enJoTmxQZ05CeTBVS21EZW1qblJteXB5LUdvYVNKSjJ3OWFoR2E0Z3c?oc=5
2026-09-23 17:35:40,AMZN,Amazon's AWS Backlog Climbed to $496 Billion as Its Cloud Margin Reached 39%. The Stock Is Primed to Skyrocket as a Result.,The Globe and Mail,https://news.google.com/rss/articles/CBMirwJBVV95cUxQWktYNmpnZ0VUOGs1dEdPVjVrOE80NEhGQ2VLM3pDSU51Q3hER1Jxbkl4Qzd1MGJqUzZRQjNCR0plbUJnZEhjQVBjcFFzT01zNEY1SnhLMjRBWmdfRGFfRmNGeFp6SzE5eUZPZVhXWjF6eTJNUnBRdVV4ZTM2Mnp4LTZwRDZpVHhoWkF4Nm1sakFxUE4yMU1BeDk3OFVaNmdoNVpQNWtleUM1bUtzcWN2Vm9mSmNXWFE2MmJqYlBDZEpXLXdtb0RuMmM3UzQ2Y1MyNXZrb2xlZENKanRLaURqT1dRY3lUU0xhYnVhWm1qM01lLVM1bm5qUzBJR0t6X01iSC1aOW01dFQwNnFqQ3MtbWNDZGI1RTV2M3Y1UUlWaXlZdW9CTjRFX2tSSmoxcHM?oc=5
2026-09-23 16:55:28,AMZN,What Are Amazon Stock Bears Missing?,finance.yahoo.com,https://news.google.com/rss/articles/CBMilgFBVV95cUxQQ0paTWRBWFpsY2dVckJSbDRCN2hyeUVRSXVxU0RhRjR4R2Y4emNfRnJNV2I2OU1SRjgyblRSWWJvaEtmYnluajUyME9FX1JnMEEwcUJMSEV4REp6c0dlZ0FOd3ZoaW9FU0c4VjA2Z19zYkt2RHQ2Sl9vNUVJMWNKZGVQZXpoRW5qMF8tbV9XSElmUGVDSFE?oc=5
2026-09-23 16:35:57,AMZN,YieldMax AMZN Option Income Strategy ETF (AMZY) Stock Price Today: $10.29,Pluang,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBrZ3FzRTFPOVRuanRWcFdwcjRzUWFXNHpLZ0ROcmFZSkJja3YyUUU4YmhhcUNFQXhLRWpsZzBVTFR1VHhSQUNoV0hGc2tOeGRJSlRjQnVSX0VzQQ?oc=5
2026-09-23 16:28:28,AMZN,"Amazon is facing real pushback over its data center boom — and its sustainability chief is responding directly. Kara Hurst told Semafor the company is ""taking a look at what have we done well and where have we fallen down."" Translation: more public metrics",Yahoo! Finance Canada,https://news.google.com/rss/articles/CBMihgFBVV95cUxNb25neklFRHdCWU5TakFhWHlROFQyaERmOUZjOGlHZzZ3TnllWE8tbGxyNElkMDNodjZjb3VhaGhOSkljOFVJaGs3VmdlZDlYVEdzeWhJdUE4a2ViUDBDNmdaS2x5SHdhY3NJX1FHNUNldHJCN21NZkdqcTNzVGV3eFZHUEJIQQ?oc=5
2026-09-23 16:20:00,AMZN,SpaceX vs Amazon: Which Is the Better Stock to Own Over the Next 10 Years,The Globe and Mail,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNTXhBWFVpN3owb1Uzb29saGNNX2gxYTZ5OW1fNlJQbXA4LXZZcmNvMWJKMTFhV0k2b0xYbEhRZzJWc1VhWGwzYVhfLVdXbXdUOVJIZXR3Mlc0c2xhNElKdG5WVzBEX0oxX01scnJwQloxekR5cko0bmlmMUR6WTl2VkpISjBhaWEteFZYVG51YXVhVzEtWDhDY1BheDNUVEVud2tSNFp1LXlEd08xeTZwb0Nvc0kxV25uaVBXU19KbzdvUk1pQzhKanIxRkNDY2NwNzRVc0t1RTFFZUpzTXhxWHhZNFRTcFZ6ZllTZ3hB?oc=5
2026-09-23 15:22:16,AMZN,Can Disney's International Streaming Expansion Challenge NFLX & AMZN?,The Globe and Mail,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPOGk5bHM1cHVHckJGaHhGUEhLSjBlV3RyR3pENjR5TUNmVFFaSkhKaXlrNE9rS3BoYktwTExQbFMyN3JZcFc0dHg5UFBsRlpPNHZLVkdJaXlkMlZoQmNFaXB2QU9KalZlMXpteUNDWldoazJxbWRDUWF1Z0tHaDhrdmV3WjVOdjlySDNJT0h2MFFtNlQ4TEdJUEdOWmNQOXBPcEphWkw5b1c0MzNfYVNJbWdZdHM2dmowcTdDVWdndXBqMHJvNFZ1M19vNXE0TDRIaHMyNm9xY2FRS3FtemljM24td0I?oc=5
2026-09-23 13:48:00,AMZN,Can Disney's International Streaming Expansion Challenge NFLX & AMZN?,TradingView,https://news.google.com/rss/articles/CBMivwFBVV95cUxQMEkzdVlRa09XQko1SXZ5MlVIRnNMeThQM3NWSVJZc015TWNFVFU2OUQyemxPZ1Jna2V6T01qbl92cVpVb0xHd3VKdEN6TlQ4MktJVm55V0RGa1Z2b0J3SVJ5Z1ozN0xLVVAycUpYN0lpRlU3a0lUM3F4U2IydExkSnhxWmFXZHdWLTJydzMxOFJMSGIxaUxMRzlrZUpva3BJQTFGeDZrdy1MT3Zxc3Z1M0Q1T0xKNnI2cXBIcTNSQQ?oc=5
2026-09-23 13:18:40,AMZN,Amazon (AMZN) Stock May Be 41% Undervalued As AI Spending Climbs,finance.yahoo.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxPSl9FZ0lJX25GbktjN3ZhTG5GX2VWVVB4U3ZlSGc2U1FSelA0WlVybFdjUF8za2s1QUZRNzd2Nnk4VTdPaEtDaHN3eGloLVpGUHVNSWFDOXYzSzRLbHpjQU9oNU50anBWVzNYamc2bUM5YUhMQi1BVlhyX3l6alFTY1l2WFdKNnVla1p3N1RnelB3N0U?oc=5
2026-09-23 12:22:30,AMZN,"President Trump Sells Millions in Microsoft and Amazon, Buys Nvi",GuruFocus,https://news.google.com/rss/articles/CBMisAFBVV95cUxQaGNBVnB1dzBKb3Q2QWloU29BT2hwamtjUjFjeEExclVhT1JkeDBDZkYzT0ZtY250d2RLSDdhdDkwNFh3SzFSWUUxN0FhS21zd24zekxOOTZwMlhWZ2JOY01rQkxHU3BHU21ybS1ydjdMZG9PSk9hc3NfbEU1YXo3WmE1UnhnYWcxWUJ3ZUtCT0puRVp0SkxWX2VvM2VZZHpiR0hPWVBzSWQzODdkRHFNRA?oc=5
2026-09-23 12:10:57,AMZN,"President Trump Sells Millions in Microsoft and Amazon, Buys Nvidia Stock",TradingView,https://news.google.com/rss/articles/CBMizAFBVV95cUxPSDlzRzI1MVJVQmF5MTREYkVHTWlvM2p3VWllbG1VenZWU01JNGxlN3VhSXdlZEs5cTlMRXBOSk1KWmZaNk80S1VCVHhJa000V3hHTVdtLWNHMkc4dU14ZF9NRGhXQ00yNEJDWlA1d0hDUWxmbEo0dF95SV9zN0o3b2JQN0tCM2g0WHZfZ29la2Y4djlROFJRLVJpSm1BX0twNWVvMDBZczE0d1Q1eTQzbGl6X2hRZVFISGo0YUN6OGFLQlFTc1Z2MUlfc3Q?oc=5
2026-09-23 12:07:39,AMZN,AMZN Jan 2029 380.000 call (AMZN290119C00380000) interactive stock chart – Yahoo Finance,Yahoo Finance Singapore,https://news.google.com/rss/articles/CBMibkFVX3lxTE03YjU0dVFJVUxKdnN2S3pBVWt6ZU1zVVhoclhfNTNYOUVGd0dVY21jYm11VTBrRUZnQmpPSDN4QVRvektrZUxiV3VDVWpGYWlKUGVYcllxclJ6Nzhsa252VENEN01wdEM4bzg2YzBn?oc=5
2026-09-23 11:55:22,AMZN,"AMZN Jan 2029 195.000 call (AMZN290119C00195000) stock price, news, quote and history",Yahoo Finance UK,https://news.google.com/rss/articles/CBMiZkFVX3lxTE93NTFqclBDeEhzMTBkX0dKQ0dkd2hLS0Ywc0pqemhESHcwNkNuNDItUUFZaVJiU3JHQjZFcWFFNnA3TDU5X0JtT2pZMGhXcXY3M0c1aWVjZ0UwUDdZTUxVMExvUE82Zw?oc=5
2026-09-23 11:40:31,AMZN,AMZN 260923 285.00P (AMZN260923P285000) Stock Options Chain | Quotes & News,Moomoo,https://news.google.com/rss/articles/CBMiqwJBVV95cUxOaF84RXZ1SjBZczBmSXI1T2JJT0hNOGRPeTVmUFVCUmxOSHh6a0gzNlNSQjNkR1MzUWFjLTVQTGlnV3hEWnhPLUhBM1dKYldiN1F3ejI5S0JKUUVLdUZFZEJtbXNYLXpSV3lDU3lSdU9XNkRzUWF3YVlRQ1RLSjRJcjhjRjc4eWpfRDg5b1lqdDdzQVRWRktOWTRlVEJtSWswcXFzRjFyZmp4NzBYX0tUS1o4bEozcUhsbjY2QW03M014dE9QMlg2TmU5b3h6VFRhNUFfUEhFbU11QnZmRzdzZEZMN3Jyb0ljOEYyZ1VLUXN3OXJhcWwyMy03S2hrLXZJMDRrczctbWIzMngwdjRUTG53VmRqRUhZdklMTnRGQlgtVEhhWjYtdm93SQ?oc=5
2026-09-23 10:37:58,AMZN,What's Going On With Amazon Stock Wednesday?,Benzinga,https://news.google.com/rss/articles/CBMingFBVV95cUxQYms0djJ5R2hONTJqeHRITXJUeVRSWGRwZ2Jna2JrRFpReWRpN1F6VGRHcXNodG1VaFk5Z1BucFR0Rm5wd3U2TjJZQWl6V3ZtbHluTEowQmRKeEpDVUxGVGxaSzBzY3NCM0JwRkdPZ3NpSlY0NmpWbUVQNUM1VjZtVTVYRHdSRUFCbnJWNEY4c1lyMktHS2tuQXd3aV9TQQ?oc=5
2026-09-23 10:08:47,AMZN,AMZN Oct 2026 325.000 call (AMZN261023C00325000) interactive stock chart,Yahoo Finance UK,https://news.google.com/rss/articles/CBMibkFVX3lxTE0wcDBCdTZuMVlYZVVmdWVoSDBQcjgzUjRUdV8wSVhkV193MkxGUUNJdERrOHVaMmp4cGoxWXpCWW1Uc2hRaVQwbEhHa0NWOFF2bmdpZ3VNZUt1ZHNxWDhmWnc4cTZWeUhmNTV5R1pn?oc=5
2026-09-23 09:12:17,AMZN,AMZN Jan 2029 290.000 call (AMZN290119C00290000) interactive stock chart – Yahoo Finance,Yahoo Finance Singapore,https://news.google.com/rss/articles/CBMibkFVX3lxTE12MkhaTW9NdXhEb19DX1hOX2ZyNUR4anBxTzVlTFM3eG1pWDRueUJjdTVnQ1hyYzdEQk0wNktYYl80UmpxLVVTTWFrSk5raTJVRHVMcHJKaWl3MDAxOXBYZE1RRUo3UU91ZHVtLTFR?oc=5
2026-09-23 09:04:03,AMZN,AMZN Oct 2026 310.000 call (AMZN261023C00310000) interactive stock chart,Yahoo Finance UK,https://news.google.com/rss/articles/CBMibkFVX3lxTE5hbGVLd1BuNVNUR0VUQVhZd1FNOVpBa3FyQ280TEtSSHY3YVFZQUV6X0FvSGxCQU92MGN6ZHpSTng3ZE8xS1gtTGlPZ3EwOXJpU3FvR3lveEh6dFQ3RkM1YU1OdExLUmZzZlUyQ2xn?oc=5
2026-09-23 08:58:19,AMZN,AMZN Jan 2029 250.000 call (AMZN290119C00250000) interactive stock chart,Yahoo Finance Australia,https://news.google.com/rss/articles/CBMibkFVX3lxTE04a3daalV6SXpJX2d3WERhaWpha3EzUUc3bW4xZXFLMF9Nc0RJWFNZeGl5eVE4OUw3Mk5NVnNsaEUyS1NEVkxiVlhXclIxV0pHZUhETzM4X21xa3VhSU9FM28tYW83WGRUTUtNVDRR?oc=5
2026-09-23 08:42:23,AMZN,ELVA Stock Rocketed 40% Today – What’s The Pact With Amazon?,Stocktwits,https://news.google.com/rss/articles/CBMivAFBVV95cUxOOG5BNmZseEJOOXJobkFYbVdncXlRQXY3VThRcjdfRUtUUDBwSmNGWVljRFROc1pxQTdyVzVrV1RZNThZTUsycW54Uko3SmVpLXZicUVNMEVPV3gtc3dZekt1Qjd1LTRWbnJhZk51cW15QXQ3UFBMSER1VU5zakltMFZqRDlZRDNmY1ktSnhueko5UkR3UWhjQ3BXS3lMbTVxTjZpRl9QQUd1cm01eTB3b0dXYVVCUUdCYUdFeg?oc=5
2026-09-23 08:32:18,AMZN,"AMZN Jan 2029 330.000 call (AMZN290119C00330000) stock price, news, quote and history",Yahoo Finance UK,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1xWDZnYm1SZ3lqMnlmSEtnbU1veTNrME1aTnZsdWhyUkJQV0hWbExLTGFfei1FWXBzNDN5TC1BZTRhT3hDb1JtMVRPeTVKOXM5cEc2LWVsRzFFd3NkX2kyWURFMVlxdw?oc=5
2026-09-23 08:29:31,AMZN,"Nasdaq Futures Tick Higher As Amazon Earnings Lift AI Stocks Despite Apple Selloff: Why TSLA, SPCX, RDDT, SMCI, BE, RKLB Are In Focus",Stocktwits,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPQ0tsMWtzYkhFYlFDZVRSTTBCdnFsOGFGUkEzTVZkMExRYkxNeHc3MjA4cmdmejU1MmdMWG10UVhzSnJaVHlvcGI1WW9BSklsV2lfdjAwaXI3LURaLU53c3pPQlNvdDliMUhyS1FsbUQ1cHMtanFqbXRqRThHTXpWbzd2dVZNMlE2UEVabHdGbEJzU2pKQ0Y3WC1PdWYxbU92OHYydGNva3VISWJUM2pTbHo3RTJXQUY4a2lRb0szNDhGUUlUNDcySXUtOU1waUExRmMxZkJaaG93eTBvUFMyRV9Yc2swT3lhMXBteWNYTXIxWUlrM3c?oc=5
2026-09-23 08:27:19,AMZN,AMZN Apr 2027 275.000 put (AMZN270416P00275000) interactive stock chart,Yahoo Finance UK,https://news.google.com/rss/articles/CBMibkFVX3lxTE1tV2pUUWtBUzBRTnIxOUtWMlkxdnJUVGRuYkFnM0RPOGREU1NNeFpnX0l1OEhuaHlJWWRqWFJBZnJXN041RWsweVJIY2FCXy03dG9xdnpxR1VWaUJXTzY1NTdpQTR5bi12dGVpTVRR?oc=5
2026-09-23 07:50:01,AMZN,"AMZN Sep 2026 280.000 call (AMZN260928C00280000) stock price, news, quote and history",Yahoo Finance UK,https://news.google.com/rss/articles/CBMiZkFVX3lxTE0wUHV6c1QxTjdCSVFXWFQ5Rm1sbVNaeWpJWHVFUTgzRUlTdjNzc1NRMHhkUUdHdXRMcUN0OTlFamRBcno2eDJSR2p6cFlhVFhRX19RYVMzekotaUZVTDFHVnJLTGtvdw?oc=5
2026-09-23 07:35:52,AMZN,"Trajan Wealth LLC Acquires Shares of 315,739 Amazon.com, Inc. $AMZN",MarketBeat,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOYjVYMFFjU1p3Q0hobEswWmpYZXdVamMxTV90R19kVnM2MmN6Z21PTFBNQ0lQYzFIYlJmaWZWaWVFLTNkV0FEWVowSUtTdnlVODh2OEVzTl9hcnA4TGJLRklTZG1Vc0hfTXNfYUx5MmUtZkVTV21weUUtR2djWm5KRGxKdDVyV2Y4ZFpiUTdDZ1FvUkZNWXVITThVVWJIdlU2WTl3N3IyWnhfV0lEeVJFbktVTmJhQ0gtZVFtSzd4M0M?oc=5
2026-09-23 07:35:47,AMZN,"Sone Capital Management LLC Purchases New Stake in Amazon.com, Inc. $AMZN",MarketBeat,https://news.google.com/rss/articles/CBMiygFBVV95cUxOcUdwekpFX3ZGRURPUXEyYlBvYkd5cjhwczZXalVOTVEyNGdzTm90QlJBNWNydEZqbXhULVA2dE9FWUk3M3IxcEVKV1JGcFY1bFZSbHFGM3dfTTR4d1ZNcFIzSWtJNGxRam9rUzVJQmVSaGZQNEY1aDlDVVV2cWw3U0gwTmx1UWFmZHhtdTZvRlFJSXctd0FWb2RNVTR0WkJzVEdfZFRoTm0zTlBjQndnZWRNc3dLOFFTWnhJVHJGX1ZMWG5EdGxhMi1n?oc=5
