日期,股票代碼,標題,來源,連結
2026-09-03 21:54:56,CCJ,Cameco Corp (CCJ)股價上漲4.4% ，但GF價值被高估--GF得分： 83/100,GuruFocus,https://news.google.com/rss/articles/CBMirwFBVV95cUxQQmo2OXZLRXJwQ0FNemJfczNRRzFJNlBOVnFVSUppaFQxWW9kaHUwRXRBRGo4VTd5VVk4OC1kOE5sUXlNT25sbHJ0dTQteERlTWdzX094UTJXcVVvVTI5VzVfM24tZXpWNWkxeG5xZWtCMzMxY3hqZ1Bqc1g0c04tUTVoLXM2UVdmUThkVVhydlAtaFdFRS1fYXRsVklwUU9NbkRKS3lLYnhrRmVUQ09z?oc=5
2026-09-03 20:06:38,CCJ,CCJ看上去46.6%高估了GF Value™,GuruFocus,https://news.google.com/rss/articles/CBMigAFBVV95cUxNNzZhUEM0X2dYYTRHa05acF9UaXp5QWdEUHl5eklISUNSQ09MdHNxTjh5ZmJlSGZCbHRGVDBjTERDQVVuZWVFQ2FzM1dQZUhGZ1VDVWxtcm9aU0pEM2o0a2xHV0lYbE5lMUFsTHo5eWNlSGFxN012RFlTMkh0MFp5MQ?oc=5
2026-09-03 19:21:53,CCJ,核電公司Cameco和BWXT在Jefferies （ CCJ ：紐約證券交易所）的買入評級中啟動,Seeking Alpha,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQTEE2b3UwVVF4cHdkZ3NUQUUtVzRNU2JzMzhpazJHbVNsQzZ5NDUwREN3UWhQRVBlQU5pS0REX3VqczdSVHA1YV9MMXplOUcxbkJhVVNHUWRYS0FEMEtsR1l0UmR2VUdhSE01S1M0WUU1Y2NYSjFERGpXQUV4bVRwRUZveXc4dmFwZ3VMZ2s4Wlpsb005S1BDa0V4YU1jTUtzMTFLbUIyQ09tMDQ?oc=5
2026-09-03 13:56:21,CCJ,富瑞以$ 138的目標價格給予Cameco (CCJ)股票買入評級,Blockonomi,https://news.google.com/rss/articles/CBMilgFBVV95cUxORmtVUWw2Zmc4SDJZakJKVm1JcDJhTTlYNmt6WGROdmNaVTh2bHVPZkhjeVBLR1pyZVl4ekVRcWFrWU9HMlNVYTJYVG9uU2hlWjZpVUdpZzh2X2M5TUFVSkdKaEVZcVdJNThpNHFPTXI4VTdJM0M5cE5KZkhGTHdWX0t0b2pmbTZiSGEwaE1zaHFZTlctU2c?oc=5
2026-09-03 13:52:10,CCJ,為什麼Cameco股票今天會上漲？透過Investing.com,Investing.com Canada,https://news.google.com/rss/articles/CBMimwFBVV95cUxNY1hxM2dFOUZsQ2F2ZlY2dkRhNU9hcnVTalpRd2JidmpNNUVrNnBqMzc1bXBYMi10UkstVUR1X1lsVkZBdFZXLS10dktQZmRxUjdGZ21Gc2ZIc3QydTJrY3hGcGtCWHVoalJDc2ZvSmdpNVFaUUNCdVduVFYxa2VzWWlaMHc0Zmo0Z2hWWFBtQkx6ZVVQNnVZeWk2WQ?oc=5
2026-09-03 13:36:52,CCJ,隨著Jefferies以買入評級啟動， Cameco股票上漲,Investing.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPNTMzUFZqOFJ1VzlOcXBJNThsd0pKb1ZSaTJ1NGpSOVZyYmh6YW1yZWR6VFpPNi1hVmRXX0hCZnV4aGEwZVFrUEUxTXlWcDdmeGd4aEpfd09tekVIM3NVbHI5M3lpMk9KeE92bGR6dHpKMWVGRkRid0d4a2YyeGh4eklWRVVCVTF3RC1jUGNFNGE1YXpaajNNaEFoMURNeG42ckNYc2lGUVFlSTIwOGpWWGI2WlNFNjVDbmxz?oc=5
2026-09-02 11:42:49,CCJ,Cameco股票在盈利下滑後有所緩解，而鈾需求故事保持不變,AD HOC NEWS,https://news.google.com/rss/articles/CBMiygFBVV95cUxOVG5oTFVWaXVjRmN5MExYYk02ZHhVUnQ5LXFNZE9Ja1dPcEVkVkd4dWVjcUwycFoxelVKT210MC1ES3lIb3RERzRKd2xiVEJZNVpwZGRmYzZ0ck1LZVFqM04wSUpIZzJWZUhueDgxUEJacnpaNlY5alYtWnV2LUJzVmRUQURkQjI5b25hZ2Izcmp5Y0dJT0VMS3JsM2JDdnJxYkpXLVRFN2xPV19seElZSGI1SUk2V0l2SkE5UDFoLWNiZU1yZmpiV05R?oc=5
2026-09-02 05:00:25,CCJ,Cameco股票在盈利下滑後放鬆，因為鈾需求故事保持不變,AD HOC NEWS,https://news.google.com/rss/articles/CBMixgFBVV95cUxQTGctSlpmYmEtQ3hvMnB5Q21kSHZOdjRXVk1oZ3d2ZWtWOGc3OHczalE1bFo5c0c5M0lMekdCM2VaaTRuZ1UxMEhRczhNcmdSWVBSWjVyZmJwLXZiMFJ1MzB0Zll3MTN4TFViTVVYRkJUN1p3eENqaGNHcUxrcks1ckJoV2p1UHRCVm5wSzBjM2ZPejNBcldlYlRnVTZTMWFkaUdINURZRmVsM01pNzVmU3FxMmh0WC1hc1BENDRkMk13UVVsTGc?oc=5
2026-09-01 10:19:11,CCJ,Cameco Corporation $由Mufg Securities Canada Ltd.出售的CCJ股票。,MarketBeat,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQenJPd0U1aXNUTnByd2hQbm4yOF90aFFBT1B6MkdzWTNJbm5FOGdWeXprWGtLYTFybEVKaEh1YlVGOVEyYVlzTjFXeG43VGFTRjBLTmtYVWZtNU9fa3hhZUdPbVNacE5mVWNpQ1ppbTNjUTFqR1NWdG40NHU1alh6UnFybW5ySXJ4eTFReEpzdG5DallUNjJwb0d2QzJSMFpleENQVUhYTFh2dWktR3hvcS1XdUgzV2JxTkJ5RC15SHJ5NE0?oc=5
2026-09-01 09:16:50,CCJ,"Cameco Corporation 2,090,158股股份$ CCJ由Wellington Management Group LLP購買",MarketBeat,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQdlFSazJGSXVoZDhBOVJBZDBncVRZdHlKa1liU1NWeVNBVUwxcFM1QkVfNDI0N1g4bkpPdnRHQ2t4ZDZ5bjZKbTgtUnlJTXdRRTlDcERORHdJc1p4ZGgtYTY0bVA1N3pnd2JzUlY2TEJsNGt3cGVlODBNQ2I1WkhQTmQxM3I4eFRQUUtrVVRPZzZQeVQwTFVFQzBUMkxaVEE2MnM5TjVFcTB1SGw5QTdraUhmVFVKdGd4Vkc4aVhhM3hqa1JCUm9ETFI5ejBrT0hjU3Vhd1ZKMnFOY1MxTlRj?oc=5
