日期,股票代碼,標題,來源,連結
2026-08-30 02:21:42,GOOG,Alphabet Approaches $5 Trillion: Is Nvidia’s Market Cap Crown Under Threat? Can Google Overtake Nvidia?,TradingKey,https://news.google.com/rss/articles/CBMisAFBVV95cUxOTWh6WEltb2Vlc1RkUkhZdFA0NW5SX3B0bVA2d0htelRmclRMUlplQ3VyQVQ3Z2RNUGtDMTFhbkRDTUdWdk02M0hCbWdhZmFOWUF2cE44dE1YWXphLWNtNXpTaU42alFvMzFlMXM5elZvZUVkMmU1X2RwWkRtU3RhVVhQTjhMMk0tYlBiUHJSa3Y4d1FHbFdfWHhMS3BWTGx6OTh4Mk1fb0lQYVlhSFlBag?oc=5
2026-08-29 23:42:34,GOOG,"AMZN, MSFT, GOOG, ORCL Designated As Critical Third Parties In The UK – What It Means",Stocktwits,https://news.google.com/rss/articles/CBMixAFBVV95cUxNNTBpbEl1TWszWF9RdE5mTlZKSVNDQ3pPTGFPc0pNWUFlbjdnYjVJQ0hnWFNXb3ZWdS1lbi1waUlPcnh6M1BQSktpN3FEd0lzZnpVS25oeVh0bGNsOVhwMEFXX0l6THktWjlieEtMVHZ4YXhBTlJaMThZMFZicG1zUk9CVnhHcy16NmozNV9ocGxKbHF1MXZiTTJJa3l5NU1USjJGYlpIbXRkbkdITXIzYTNsV254M1dlRFh1dXVTZGI3OTly?oc=5
2026-08-29 20:04:07,GOOG,"HP Enterprise Stock at a Crossroads: Earnings Could Trigger a Big Move - Alphabet (NASDAQ:GOOG), Microsof",Benzinga,https://news.google.com/rss/articles/CBMixAFBVV95cUxQMXpKMmJuR1JIYjJwbVNFdlp6TEM5bF92ZDVmcXpBU1JRUEpCTEZEV2p0QlpsejJpYXVBaENCU2Q2Vlh4ckJhRlhXV2czWmxzT3lkdzZpQWJ0T3dvZTFpNVJNS0FDaWJZQldBN2RWVFowakVPcDJUYW4zRWJUbG1Kdkxzb1lnQndmVWk0YVQ0WFFGTVliMDQ4Z3p1Zi1YbUhPVnVub3pKalp1T3BRQWY0cDlWVWZXbVdUYlpCdjk5R0N1ajdU?oc=5
2026-08-29 08:27:34,GOOG,SpaceX vs. Alphabet: Which Is the Best Artificial Intelligence (AI) Stock to Buy Now?,The Motley Fool,https://news.google.com/rss/articles/CBMimAFBVV95cUxQSlJkOHd3Y3dEalg2Wk0yY3Z6QndqT1FhVDBIN1Z5RHdkaF9nTnB3b3FYQ0xiMWp3QWJvVmtCZkNHelVER1pSemdsN0JCem5WWnpTTE95NkdpYVE5N3M4OUpiR0E4RXFZWW5JMURIYkRwZXlnb2poZk5pZnNfLTBUMGpjejlwWGJWS1czRzB6VklsVklHNFlVaQ?oc=5
2026-08-29 08:22:24,GOOG,SpaceX vs. Alphabet: Which Is the Best Artificial Intelligence (AI) Stock to Buy Now?,The Globe and Mail,https://news.google.com/rss/articles/CBMi-wFBVV95cUxQeFgydDF1WkMyaXB0dUl4MHdyUWFfNlZPcTJPVGVtVGotMXdPWUdtR0lTMm5tdTl0RVFSaGx6M0JTNmtrdjc4OVNjeEFLNEJTRDFQXzZaWW40U1FvUGk4WnYySUFmVFZld2Y3czlEcjhQWngxb1lRU1pwQ0RDd283ZGNRMlBCSkJScHBhNURFOVZTN0FRSy1rd1hlVUQ5dTNDMDlkd2twdWNILXcyRnV3ZkVQaGtwU1YyNThYUGVCM28yUmxNTHFISlZ6WW5HTTFDbHl4MThhdHB1V0hfMVlzYk9fNHlOS0d4MGtFeUgtdkl3M24xM2dxRExEVQ?oc=5
2026-08-29 01:15:28,GOOG,"GOOGL Stock Price Today - Alphabet Inc Class A News, Charts, Retail Sentiment",Stocktwits,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5GV3FIb3o4T1ZMbUZxeGdxTXBNenlYM1FQWWt5X1EySTNJYU9keEN1Y3lFTVYzQTVQUDJTRmR2OUtvOENRbkM0M2dQYw?oc=5
2026-08-28 20:42:28,GOOG,"NVDA, MU, GOOG Hit 52-Week Highs Today: What Drove These Tech Stocks Higher?",Stocktwits,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQS1Zzb2dFUmRvX3AxMk1TdHZDQTRtTThoeEdxM3g1S2l5WTlzd3E2LV82NThPSzZSXy1aS29SMzBpTExaVFFFRjNjS1luX1FTb21nZWlkSzA4am1MTHFaLXI3a1VkXzJTUUQ0ZGJJXzVQSjBmbE5Zd1Vwa0RXajRGRkk4LWZRMmZvcHNsTU9JR2ZEM082bDlxQnRzLVAyU2MxeGhvdDlKS2o4N0FJN1VmNmpWeXJkRUxoN3J5SzJRNlhaWmRuYktVWFFtSDJTaDNfdEE?oc=5
2026-08-28 20:31:00,GOOG,Alphabet Inc. Cl C stock underperforms Friday when compared to competitors despite daily gains,MarketWatch,https://news.google.com/rss/articles/CBMigAJBVV95cUxQc09Hb3dxYm9iS0Q0d1hfZE4tempMMlZSR0NBSEtXeFE5ZEhQSjMyM2xyNmFiRFpDU0VVNExrNXdYbmYxTWZmSGxTRkJ5Wlp2dnNZQzlmdE83WjB2aEVTc0kzTkJuZTc4RHFJYm1pbGxOal9jbHR0dnlGR3VSMlNHYXZ5S3FMVElMcjdNeDhwSEJGRGhHR2x4YnNZSEJPZGwtSDdEaThZa09fUVF6akhfMURkblBpY2RXUnVDWjFHREFnX0RuWFByVXYyekRvSmFMaXFNWXNETE1TSGFkcEVTY2ZpMWV4WjQwOHFKcEVCUnBjSUZyQUJTeWNkWGdoREdq?oc=5
2026-08-28 20:26:50,GOOG,Alphabet (NASDAQ: GOOG) director to sell 82 Class C shares,Stock Titan,https://news.google.com/rss/articles/CBMikwFBVV95cUxQZkhrdkM4ZElmb1NXeE1MSjVzV3Fqb1R3al9fSlVmY0hjU1NKRXprVTlkeVlkb1VpbEJBak4wT0ZMYUdiVWtoWWxlVE1GZE9NaHk4WmpDYUZrekxwQWVQR1RYOWpvSGwzUHY1VG9pRFFxSElSenc4YnBzbDRmSVBjSlpiVWdXNHlyQ21rbG9GOWF2VFk?oc=5
2026-08-28 15:56:00,GOOG,Rising Cloud Revenue Strengthens Alphabet Against MSFT & AMZN,TradingView,https://news.google.com/rss/articles/CBMitgFBVV95cUxPeU9Fc2V4cksyY3RKbEdRYjNLbWk2ZzhfaVNZLUpKS2tpT2s1US1yTmQ0bzdzcldpd0tuSXJsREVMd1JqZU5paFA5UWtyT1lNUmJ4WUgyYWRJbk5EdWZDcm9kdzRlNjRFT0lnQ3l1T3NjeGFWOWRBaXNENEVRY0RhZGNNTWRidFo1MkhtUm5hUU0weUsxbDRCSGdLX18tX2J2R0xPczRib0JJWUVnYjZlSTRiNi1tdw?oc=5
