日期,股票代碼,標題,來源,連結
2026-09-11 23:16:07,LEU,LEU看起來高估了GF Value™ 115.3%,GuruFocus,https://news.google.com/rss/articles/CBMiggFBVV95cUxNQl9Ianp6R0lnODFCM0JiNVFUNHVTMHhpWllURGZnaUZzTzhHS0NDMTAxT0JHaDQ3WEVvSTIyVlExODVCRHRhenFYLWxyWkIxQzd2OG9TcHhEcW1wN2d2Nm5MT3dDc05MeEtTT2xFRFpQYVk2Z0dFeThnMGZMM1Q2MjR3?oc=5
2026-09-11 21:32:34,LEU,在新的HALEU供應協議之後， Centrus Energy （ LEU ）庫存可能會增加,simplywall.st,https://news.google.com/rss/articles/CBMizAFBVV95cUxPU1ZlRC1lcVNjbjZrcXJuUVhBUFNxNHpSUmtpb3A1cGNPS1V5YTJhWnh0V1RmclZ3QVFPYWV5bkZ1cDNFUkdxYVdybmt6dlduNnFjSF9qM3E1aDF1NXRMNWk2cXRJcDZicjJQdURhUkEzNFBtUU1kNDYyaDRYNHd4Sm1JT2JLbnpENmhRWWJpVGQ5TjFxVV9EWG1aempKZGRIYkxzSzVmVFNLQW1DMVVKdUpualN0TS1FN05aZjZaZ1RCcDBoaXg4VVh0YknSAcwBQVVfeXFMT1NWZUQtZXFTY242a3FyblFYQVBTcTR6UlJraW9wNXBjT0tVeWEyYVp4dFdUZnJWd0FRT2FleW5GdXAzRVJHcWFXcm5renZXbjZxY0hfajNxNWgxdTV0TDVpNnF0SXA2YnIyUHVEYVJBMzRQbVFNZDQ2Mmg0WDR3eEptSU9iS256RDZoUVliaVRkOU4xcVVfRFhtWnpqSmRkSGJMc0s1ZlRTS0FtQzFVSnVKbmpTdE0tRTdOWmY2WmdUQnAwaGl4OFVYdGJJ?oc=5
2026-09-11 21:32:28,LEU,在新的HALEU供應協議之後， Centrus Energy （ LEU ）庫存可能會增加,simplywall.st,https://news.google.com/rss/articles/CBMixwFBVV95cUxPSnFNWmFFNTdTZkZwWVhJdDZtRm54TTZBOUxoVXlDLWZqNklxMkJJT0x1LXlZU05TRjVaVzhJNEtiUW9tdUpCc0lnMDBiUXNjWHZoVnRua2luVzhHUW4yQXp6Z1RIOV9idFQtX3Y3a3pILVdCYmhIUlNJLWtON2E0SG5heDMtZXo5bEVtWDNZZ2ZFMXVxQVdiMGRoMEZMc2R1d3hqcWxOcUhqN0dRSVJTU1d3Z1lkSGp1UXN1ZkNINDRLam9qTmRR0gHMAUFVX3lxTE9TVmVELWVxU2NuNmtxcm5RWEFQU3E0elJSa2lvcDVwY09LVXlhMmFaeHRXVGZyVndBUU9hZXluRnVwM0VSR3FhV3Jua3p2V242cWNIX2ozcTVoMXU1dEw1aTZxdElwNmJyMlB1RGFSQTM0UG1RTWQ0NjJoNFg0d3hKbUlPYktuekQ2aFFZYmlUZDlOMXFVX0RYbVp6akpkZEhiTHNLNWZUU0tBbUMxVUp1Sm5qU3RNLUU3TlpmNlpnVEJwMGhpeDhVWHRiSQ?oc=5
2026-09-11 21:25:34,LEU,Centrus Energy公開發售及認股權證代理人委任,tipranks.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxNM21LeXhCU3BPejRtMkdmeGdLOG1VSnBDa0lnNzNNdkc1M2VVVjhRdnZub3hEYnhLdFRRejhrZVQ0Q3ZtZm80RUhxLU54SlIxX3k4a2J3VVdobjQ3eURtcnZzRVRYS1lCa1RVUG5rVTJhWkFlTFRCWGFJWkNXaFhTWUk3XzBFTE84VGtKRjFveXZ0TUxxTGJOYmRaRmhYNWMtbDFlZ0kyTGpYMm1UWjVxVEZR?oc=5
2026-09-11 20:53:12,LEU,Centrus Energy推出股票和認股權證發行，利用美國銀行信託作為代理,TradingView,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNa2pBYkhWbjJkM3pKT1NiOHJaaWl1S1k2VG5XUk9nZ3ByVDVhSzhNOEJ4b2JLNTBKZkc0dktHS0ZxS3E5cWdQTmMxTXdqejNvM0dNSFI0TEtnLTB3MGV0SFlfcUlIYktnTHRILUNjTXRMX0hCbXBaWWhibWhfRnZSV0EyQnRrUzljb0dEOXNUUlpfdUFma2VVV3cwZ2V4M1FBenhxY3IyYnFwcGJrU2J2dURKMzZ4bnphS21sakdzNE92NGNUS09zUEZtUVlGNkF4T2xiV3hEQU4?oc=5
2026-09-11 20:26:08,LEU,Centrus Energy下跌8% （ LEU ：紐約證券交易所）,Seeking Alpha,https://news.google.com/rss/articles/CBMijwFBVV95cUxNX09lR01pSnRTZVNDa2lUaVNheW4yZlFUNUplcG9mUEx6NzVpZ2E0aVp2b2ZDYS1JQm9BczhTcnVpZFVxTWdjd2pXSFUzYlBWUUVJUEdzaEF6Wmwwelh5YzhxSUJwQWpXZmFDV1p2UGRNVDd6MjNzWG0wX1g4a1BtWDd1eHZuRVRZRXBGMkNTdw?oc=5
2026-09-11 18:54:59,LEU,Centrus Energy Stock （ LEU ）在5億$的股票發行中潛水超過6 ％,tipranks.com,https://news.google.com/rss/articles/CBMilwFBVV95cUxQd2lfWmQ4ZmVlQTd4OE56a1JjampXTE5OVk9kcjk2cmhvUlFsTDZfTTdEa0VleTJ5TFFhS21oMjFVWFVqbWtBTndZaUNub3pBUHRHdWRCLVA4eTU2aDl6TVZqNC03dHRad2RIb2pwYUxVdk5NbzlMTWJUM19Ca3FBLXdyTU9EVkhHdGVfbmNhc28zS2R5cUhn?oc=5
2026-09-11 10:28:12,LEU,Centrus Energy Corp (LEU)股價下跌8.6% -- GF價值持平,GuruFocus,https://news.google.com/rss/articles/CBMirAFBVV95cUxQOFZlR0VoRFlnN0Y4dGl4d19CekhKaHRZc1V2dUxKM3FmNHgwLWVkU3FrSzh2cHdzN2o3TlRHdldYV2gwYldzcV9SNlZpNDhobWNFRlFaTlQ1R08ybzUzOEdRbVJ1RnZrSm9zOGZSYWp2aW9Qam85N1dZcnMxMjFvVUJwd0xReXozX3FuQjNKSHRRWXZvZzU4SDBEUVk5MmV4UU1wOTJmMl8yZU0z?oc=5
2026-09-11 10:02:59,LEU,Centrus Energy (NYSE: LEU)的認股權證可能會增加20億$的現金,stocktitan.net,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOM0VuYVRqOURCLU1DV2NOWEg3TGJQXzNfMHdyWDV2NkZSSDhiRm1JZ3dhVk4zYkRNaE4tZWUtNU9xMnB3NndkWlJ6c3BxekVNM29pbFBFUUFBZkZ3dUtZUjd1bVFnZ1FPZkE3SEgzcjcwU0w4Yk5RQ0V3MkdZZDZKbWxScXdDemhiLV83TElUcmRTcThDNEpfSlpXV09WR1p1QWJBZHVaemQ2ZXFORDVpV1pacWxWVThHQlFTX0UyWFJIQQ?oc=5
2026-09-11 01:30:55,LEU,"BlackRock, Inc.新增Centrus Energy Corp (LEU)股票--股票L",GuruFocus,https://news.google.com/rss/articles/CBMixgFBVV95cUxOQkxwNmRyNVgwU2xLdENvLXZMMkcwdWJmVWV1dk50cTdTbTFhRVZFX2Z2ZEZUUGNBRWJlMGNjTXJMWUMxakpmVU1SWFJLaFVXajJZTUhrOWZ3Z1NHcEhNNzhRR1g2Q240bGJSR1BUUF8tV0FhLWhXbHhjNUlPY0huY3NGLXB4aVBrN1h3MWtOLU9vYmp5YkdkYTVqX0J6aTVmXzlFcW5wWWxDUmVXSzA1cUV1RGFHc2FCblJNblNodUVZMG1zOWc?oc=5
