日期,股票代碼,標題,來源,連結
2026-09-03 22:00:29,LITE,以下是10年前投資Lumentum Holdings的100 $今天的價值,benzinga.com,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPMmJhZ3hxS18tX2xpcVBxczFvZi1mSHFNUG0xWVlGa3JLNTYzbXNyd2UyVmFfamY3UzJDenBrbjliazdTMDFxaUVBY3piczJxTndhNUZMVjJsb2RJUnBOOVRQdWFtTS1yaEFDY3U1ZDF4NDRFREpOTmZLWl9ieGtDMWp6ZEVPLXU5UExmU3ZqMDI0REpvM2FHNlVWelg5bjJIbTBiMkhfT3UySTVMNE5qaFRxdjZGWEdMOG9vUXRsWHlvVzg?oc=5
2026-09-03 20:24:22,LITE,Lumentum （納斯達克股票代碼： LITE ）高管計劃在最近的交易後出售500股,Stock Titan,https://news.google.com/rss/articles/CBMinwFBVV95cUxPZkRkZUxXbk1NZHJNSVBPUm9laDEtdXNYQXVPeE5uaVR6SXRFOExPWFI0dVVRMk84TkFaWExpUmVFZGM3QXJkQ1dEX0pFUEV2OGV4QXh0SW16N3UwblYydXQtcV93N1VHZVFBMW9mUU9iMEVjci1jdUtEeFVSODFXOGJXVVRBUExDTGVRb1hVbHZxVE9UczhqQnppYUxhY3M?oc=5
2026-09-03 18:15:24,LITE,突破： Arkansas Razorbacks鎖定KJ Jackson作為QB1-此公告對Fans Lite Stock （ pMgQTVcTkm ）的意義,Mshale,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5TYks5WW54dlM0RjVHMHFWZUM4NXFpWkFkUVZad1VKRG5SNEp5Y3ZvQlFSYXhqWlBVMEFYRXFnOFo1QjRwVmMzRlJwbGE4MmpCUzk4ZDYtX0t5ZFE?oc=5
2026-09-03 17:17:53,LITE,Lumentum ：太貴了(NASDAQ: LITE),Seeking Alpha,https://news.google.com/rss/articles/CBMiggFBVV95cUxOSjlNdlpJSV81VnN6aGZRMTk2bk5qTHhUdnNwdDFXYUdtOGhOWGFVZXEwbkUzMHJUMGVoS09yWjBJVzE5SG53OEpxd29WZ2MtUl9nQmhweENkNjZxZUk0LTZEdGRhRE5hRWkyczR0TF9GLXQ4cjBlWGJvTUZGVHhBWFlB?oc=5
2026-09-03 14:39:29,LITE,Lumentum股票下跌，因AI炒作交易冷卻,TipRanks,https://news.google.com/rss/articles/CBMijAFBVV95cUxONndqVnBPMnZTd29Dal9udlF2MDVZQ2wtNDRXemJTNHRZUHRDOHVmX3NKLXJwbnRmeTE2UFowTmhETjgxNHdleHg4WWQwQlFsSGZMNTlpVUZHak1xaE9ja0ppNmdNdU5KakNqcFZ5aFdVbkxDbHJTelpvbFl4TkVpX1B6eXdKNE1FYldTSA?oc=5
2026-09-03 12:57:00,LITE,Omni-Lite Industries Canada (TSXV: OML)上漲5.56% ，因航空航天和國防增長加強投資者信心,kalkine.ca,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQaHlJUVRnYlF3QzBlLXhjUlRsOWU5dzRCdV9EN0VOcWJROU5RUjNxNkRQb2xKRHVockxwZWhjcmtxc2pTMllBTmZ1NkZJdFBrbzJWNFFFeHhvX1VPT1FFN01XUU52V0RUS0pCNlM0bUZDbUNPbUNwVUJxeWRYNDhDOHo1dGx5UUY0Ym91cGh6cUhtOHRVZVRzT2tKclNfckFpVFdHVVlwb1F6WmdTSzFpUHFqMTV5YVJqVXItZ0UwUEc3QnJqaTVCRkQ0Q2w2TlhoQWVqSTRCU0pHVW5f?oc=5
2026-09-03 11:22:53,LITE,"配備10,000mAh電池組的vivo V80 Lite 5G將在馬來西亞推出：可以期待什麼",NDTV Profit,https://news.google.com/rss/articles/CBMixgFBVV95cUxNamg1dzE5aUJ4c01kVDg0ZjBIYXQzRHk4ZUV3bVVna25jNTZ6Z0YyX3BrRTNMV3c4WVZNSHRfakRvZ0N0cVY2TzA5b3FTd0hWQ0xMUk9WUDBEWnY2OFdwSk9RUjNBRlVvdWc1dFFPYXd5N1NkSmlqNVFwWWs5MmNlZll5VUo2aVRvM214YTdXMk53LUVfNGxHT25hSldvNFAwV3cwSFd2Mjd2YnpqaFdRZTBmUV81Tkd4Y3VlZ3FnUEZxcUx5U2fSAc4BQVVfeXFMTUpQOGFqdVB4TEFiZDl2RkhKUzZ5QjJVVUFqX2ZOdWtDSTlOQjRpRFBLLVhxa3NDT2ZaeEZBZ1NacVJXVERZTUhiRURzQ196T0ZqdmNLTkZyelN5cXNTeGNrcnZsNllUNnc1aTA2aUQ4VWVmVGhOQ0htSTNuTWRMLUN3eTBjMHl2cF96MGU5eHdmY2dnbHZtXzB0a0ozY0RQbzN0YXIzdzlKTzNLaTJlOFZyOFVwX2loMXNKc3hUVUFGVDdNZGJocThteGNXLXc?oc=5
2026-09-03 09:01:25,LITE,Lite-On Technology批準收購波蘭DCX Polska的少數股權,marketscreener.com,https://news.google.com/rss/articles/CBMizAFBVV95cUxPZWV6YzAteUhnQ1F4QzNWLUxiSkhkVHZmbWgtLUswcVpRUU1BdzBsM1FmMlk3ZjVSS29HZ2FCazlrYU1sQjRCUE5rbmE3VnBZeUxoQ19ockpqOUp6VUtzUU16V0w5OFJVdURpdlpIX3EtRy14eGF1MU8xQU14VnZDckdVNjR5ajBqdjBpZlJlVDYySVhtU0VBM1lWLV96SHVHLVFXQ3k0YzE1WG93WkU5cVA5SzV6dXk0SjhOVlp4REdUemZQTmZRZ2dJd3c?oc=5
2026-09-03 00:01:28,LITE,Lumentum Holdings (LITE)獲得$ 20億美元的人工智慧光學合作夥伴關係,simplywall.st,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOSVo5Ul9aU2YteGZTT0cyamYtaVJfcElzbFN6T2ZoQzR4SXZRLV9GRWZYbnJxeDZ3RThoODJ0ZXFoQ3JBQkV2NklzWnRqdnkybTZac0dIRW42d09md0djLWxGLXRjeW1KSm40dWFEQUVsTTJOSTdPSVBlVmZsN2pNLXJtMDczT3NfZl9xYi00YXptOVU4TU1mZXB2X3A3RDdJc0FlMExvYUFPSXpYWVE2cDA4YzJES3VZdzN1aWlIVXVyU2JqalpZcWlNTFBqeHBzOVHSAdIBQVVfeXFMTklaOVJfWlNmLXhmU09HMmpmLWlSX3BJc2xTek9maEM0eEl2US1fRkVmWG5ycXg2d0U4aDgydGVxaENyQUJFdjZJc1p0anZ5Mm02WnNHSEVuNndPZndHYy1sRi10Y3ltSkpuNHVhREFFbE0yTkk3T0lQZVZmbDdqTS1ybTA3M09zX2ZfcWItNGF6bTlVOE1NZmVwdl9wN0Q3SXNBZTBMb2FBT0l6WFlRNnAwOGMyREt1WXczdWlpSFV1clNiampaWXFpTUxQanhwczlR?oc=5
2026-09-02 19:42:07,LITE,Vertiv、Lumentum股票在標準普爾500指數包容性公告後上漲,Investing.com,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNc3liRWVyTUtkcmdnZTc4N1RsSTlNWmpmUVVGRFJ2ZUZ4RnNRSmlKbWJoMFBJemk3UnRCYU9lVEdFR29IelQyTVlaUkNJZlM2Z2hqODB3dzFPYUd6SWpwMlo3M2NhcTIyQUxSdEtRUUE5T1lKTmlTMlQtdXNySnY3R1lWTEtJODhEX2FqTkh5YVBWazZQVDhfX0Y2aklCX3JGZVNVclhxcXVQSHJ0OGQ1TVJxYnc3aGNxTzFQemUzSHhodGlHWGFpLQ?oc=5
