日期,股票代碼,標題,來源,連結
2026-09-24 19:25:08,LITE,2026年，一致性股票上漲59% ，但落後於Lumentum和Applied Optoelectronics。,Pluang,https://news.google.com/rss/articles/CBMijwFBVV95cUxQX0ZXQXF1d2I1bU15NEVFY1ZqVGNPb05zQ194SE5YVGVaa25faGZrVnhSNThHWHpqMGx2WC1OeFJ2VGFlc0pha01MT2xsWFB2dnh0UzN4RmEtay05cGZGWFZ0UFowY29jSFh4TEJXX2lmTXVGeHJxUERWQzBqbE4yQjJ1U1NLcUJOYzBncHlZTQ?oc=5
2026-09-24 15:23:00,LITE,AI Boom上的應用光電行程：它能擊敗LITE和FN嗎？,TradingView,https://news.google.com/rss/articles/CBMivAFBVV95cUxPTmlieEdlbGowbmRjNGJNR1c0R3RxbExVVXZWOE9YOTB4VUZDa0tsLXpEYzAyaGhITDNMcHRYNFJNRUpKc0ZubmxtbjRxSjU4TGRqV2E0bU1fYktEUjB4T2xPNnZ3Y29XUERhNDV0VWJGY2ctSWZoZHAwUm1zMXFjMGw4dUdvVHc5aFp3VTNQRFJkLTBXNWY1UjZrczYwZHM3LUVkVW45WEotTi1qMUg1dWd2TGZxckZYRjlSWQ?oc=5
2026-09-24 14:00:09,LITE,分析師提供有關科技公司的見解： Maxlinear （ MXL ）、Lumentum Holdings （ LITE ）和Elastic （ ESTC ）,The Globe and Mail,https://news.google.com/rss/articles/CBMilAJBVV95cUxPZm1iSUhwbF93bVRwdEQtNWFuVGt0VW1xY1duN3JGRk5vSzNSSDZvZmtTaWFFR2hMOTQtQ3JjX0dZdjRfS2l3RldWVllxdERmU0l0cnVrZGUyUHhmY3BCcmNwa0YxZkF0cDJua2pleTRVRExSdEZ2blU5b2QxUG1XQnBaYlllck1JMlNBa1IwNFZoQzBUaEFJc2xlWFhTVzN4UGpaV0xOb0RHX0w0VkZKYzNESHN3dXhMNVBFcFFwX1J5amxROHM0bXg3SVlEaWx4R1hJOHpqX1NhWTNQRzU1OTVKT3NSejJlZ2hDN0ItRzNJVVFuZmdqTXhQcHNyV3hvaXhvZC1MTlJ6NDJvelRXazdkN3Q?oc=5
2026-09-24 12:51:08,LITE,Lumentum總裁Yuen出售$ 142萬股票,Investing.com,https://news.google.com/rss/articles/CBMirAFBVV95cUxOUkdaRGVMNktjUjF0Z2s2NEZRVzdVYXhmT1Q2VnpkY1pqVmlDVmQyLVEwRnFCb0FpWmhxVXNqejF4ZHp1S3J4aVd3UUQwY09WTTJ5QUZNYnBlLWVjdnRqNVN1QS00bFdCMmFPbVVfeG9ES0huaXZ2V2I1MG1ac2NHaXJnRnQzOEVQbm9NQ2FDNGZMSWo2V1VGSTBELXN0WFQ0VnNFNV90RjhDMnFh?oc=5
2026-09-24 12:48:41,LITE,Lumentum總裁Yuen透過Investing.com出售$ 142萬股股票,Investing.com India,https://news.google.com/rss/articles/CBMipwFBVV95cUxQLTQyTl9BSjZOTThZTndyX3BZeWRpVG81N2FKdEd1Y1hKMUxCaFh6eVRDS3oxMzl6S3dOQUROZk1Ja2dqVU14UklldTBDOXVDLXR6Y0dGa1BzTHVZclFibFhpY3NialdBY0UzVEZkdWxwQUU2WkhJV1d5dWM1cTRxWTRiUV9JdWVTUHpINnlzcGVVaWw4MFI0Vy00YWxkS3BRVEpqandLYw?oc=5
2026-09-24 12:27:58,LITE,2028年9月精簡版1320.000 PUT (LITE280915P01320000)互動式股票圖表-雅虎財經,Yahoo! Finance Canada,https://news.google.com/rss/articles/CBMibkFVX3lxTE11WUhrOTJfVmxXR1RTNi1BT1lQV0FlMVRabnBMWGtRc3BENzVrZEQ2RTBZb09pSnBrM2oxbHNqSHdUMXg1R08tMkFLbmpNemEyY0xITnJsMDR4OTJ2VGNYaDMtUGZYRDY5TUZCNm9n?oc=5
2026-09-24 10:36:27,LITE,LITE 2028年1月125.000 PUT (LITE280121P00125000)交互式股票圖表,Yahoo Finance UK,https://news.google.com/rss/articles/CBMibkFVX3lxTE52RTYwaF9oVkFMd2EyVVR0NjlEUk9aa19GQ01mckZRUGJTc3R5cEFsS1ZNQ1hVYmI2Rk9wV1NyYld1ZFB5N2tNZjlXdTc3am43Z09aaW1ScUJVRkQ5U3haRllUMk9KRF9NUHdPaUln?oc=5
2026-09-24 08:16:28,LITE,COHR、AAOI、Lite、POET ：光子股票加入谷歌資本支出推動的AI拉力賽,Stocktwits,https://news.google.com/rss/articles/CBMizgFBVV95cUxQMUhQLWFKVW5SMWFBSUlxcXAtMDhWa0Rqb0J5Slh6aFM3aUhCOXFLSEJzUmZMaXhJYVQtWUtyOXg1ek9URm83Snl1SUd6aXptaUVtNDA2SGpMQWx1UUlFbWtWRmpQSWxPbzVLdzNQQnExc1pZUHltYXJNUllnRXZwSUZYRTdTUFFCZXVqTHh5UDhaYWl2WXIxUVJqVFJtYUJ6YWNSV0lLVnNOcTNIRVkzc1Q5QjBrVG80ZDlUUUlUMTBITzhZaHVWQ3JkTFpOZw?oc=5
2026-09-24 07:15:30,LITE,LITE 2026年10月1490.000 CALL (LITE261023C01490000)交互式股票圖表,Yahoo Finance Australia,https://news.google.com/rss/articles/CBMibkFVX3lxTE5SelFwQnJSX0dxM0d4c01fTXlTMUxUcG5Bd09JNU5QdERVWGhJejFWWWRvQWxSTlJmc1RnODZMeVd5WmlsTzMzcmZzakI1cE5aeUZJeWJxUTJRXzRWbkhza3VpZXdNSDZReE5sT0pB?oc=5
2026-09-24 05:32:09,LITE,LITE 2026年10月1420.000 CALL (LITE261009C01420000)交互式股票圖表,Yahoo Finance UK,https://news.google.com/rss/articles/CBMibkFVX3lxTE9HSEI1M21Hd2VDVUhPYzZ2VTRibjR5ZTNJeVRKSlVCWU1oTmNsdFJkVDhUODhuaFczckJGcEFrUEZOTDZqY1NoQjhBdGZkeGVvclU0MnRaWk9xSmhHY0NpaW9saEtMc3ZsOFZmb1VB?oc=5
2026-09-24 04:15:37,LITE,LITE 2026年10月740.000 PUT (LITE261023P00740000)交互式股票圖表,au.finance.yahoo.com,https://news.google.com/rss/articles/CBMibkFVX3lxTFB6aWNqdmtJVms1Mzh1Y014UU9pRmxfSFJ0bjlMQW13UXY3V3ZvY3FXbThqMUF3amd5Wnp0Wm1oa1JUc1lYb00ydDl6dW1Rb1l6OFFxU2JPY0RLcWtpeXdhN0NldWNJVjZYVHA4VUNB?oc=5
