日期,股票代碼,標題,來源,連結
2026-09-12 02:51:48,META,"Meta Muse AI Launch: Shopify, Y Combinator CEOs Praise New Tool As Alexandr Wang Touts Major App Integrations",Stocktwits,https://news.google.com/rss/articles/CBMiggJBVV95cUxPd2NESUlyTmFVc0NxWFhrM28yNUZhS1pFaExHQ29uR09zWmwzNTRzcGxscTRCblozOGFfUVVLMksySlJZYTlyR2RPbmNrRUVvU1FtNTY1RGgtNEdfdzJhNGxDeGFWQzVDN2xSUDVoU2gzYjQ5YzJkSWFaa3E2SU9OZmZsc3dzWnVUZjZkb3ZhRmE5ZXhhOGhFcXVDZlhiYm9TeFh3bEJSQkdLY1NieHVELTB2MzdOVzBUWDJwaEpUM0RYWmZBU2U5ODhCdjhwdUwxdXlQeGdpSHNIYjN0YzZvWFlvRmxYSy1VdktoUU9sT3VjSGRVQWprUlFpZDlMX0tXM0E?oc=5
2026-09-12 01:57:50,META,Huge News for Meta Stock Investors,The Motley Fool,https://news.google.com/rss/articles/CBMigwFBVV95cUxQRi1Cd25uTGlkTWM4VlR2Mkc5X2tzQ2VyU21sSlJmY2dHTHNLa3JBaEJTYXZGNWhaVC00OUV0R2ZLRUVsbFVfM0FDUlFOV3AyV0hpWkZPcWxrOTltbFQ1VFRhRVdRSEd0dlVJdTFGaW4ybzJXZmFWaW5ubGNGNVhUVW96TQ?oc=5
2026-09-12 00:53:07,META,Meta CPO Christopher Cox sells $13m in stock By Investing.com,Investing.com Nigeria,https://news.google.com/rss/articles/CBMipwFBVV95cUxNdWJ6dWpYOENZbFFsRFVVYzZJMF9oX3VScHI3SFFyaXk0aTVyaVlDdUJ6QWV4ZjFPbnRGcnRMaEVvOFZ2bkZmSl9TbGFHRmtPUjJTQXJSRXpOM0RZZTQtQ2pPdmRnTzZGN3lwOXp6bms2LWREMHY3d2t1MWFxX1NDcWVMZkJXUEpIazJoREhXTkxSM05qdlhBTUQtZEM2RFhPaDVZR0xzYw?oc=5
2026-09-12 00:04:00,META,Huge News for Meta Stock Investors,The Globe and Mail,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNMU10aDlPMmNSeENHWUFNQndHMnVaS1FtTUU3UjBqRDFqV3FKYmxFNDJfQ1BGbnI0ZmwwcnVIZzBQa3U0eHdtTFBscmc2QWItS0lTYzljaFIteTZVWUJMV3pyTVVobEpQV1pNRnpJU1lBUWZoWEJmQ1d5MmJoejB0cWZMQkExOUtuM1VjcUNHbWxHcGFVUTVSSWpOdE9IeXVOcW5udWVvRV9YUUxIcGowTnp2T0J5TXZ6aFRn?oc=5
2026-09-11 23:47:00,META,Why Meta Platforms Stock Only Bumped Slightly Higher on Friday,The Motley Fool,https://news.google.com/rss/articles/CBMimAFBVV95cUxPdDFGWnhyd1poM24zMk1XMXo4YmFVZ3FsVkhYNTBwcE1KWU5FSkk4SGs4T2x6aTdLWkhrM3c1b0FQMkd2TGdTMmNmSDVkN29JbkNfbnl5WEpZaFFHQWlsRU9TRWZCUWRYNks4YmF4QXFHb1B6RTVUcXVXOEFVSGZfTjF3WkktVGR5U1R0TTg4SUNWcmJrZFI5cw?oc=5
2026-09-11 23:40:27,META,Meta CPO Christopher Cox sells $13m in stock By Investing.com,Investing.com Canada,https://news.google.com/rss/articles/CBMipwFBVV95cUxPWjFkRXZ4RnE4c3VMOHZWZFFYeDI3alNnaEluT0xTNGFVTDBNZXJidFlvbjh3ZF9LSzdQRG1XMFh1SThxQkZQaDlYRVZYVllacUVpeG9pUDNrX0dCa2thQ0J4dXBwNUJlUnhmQzBQWTZHYlpvcUdua0dFbU9lNDV1SUpHQ0h6QUpva2xodHZ6YUVNZ2VJQjJQMjgtMW9Qbzhxa01BT2dkQQ?oc=5
2026-09-11 23:07:53,META,Why Meta Platforms Stock Only Bumped Slightly Higher on Friday,Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxOc0FtMmdFVGNrZDluemVZZXJ3LWpmb3RhMXEtTlZOTURwaG9zMUJ1cERTakhlUmRiVEE3NXR6NHp1cTF4MGhDTXlZU3h4c1pTLWZUY1FDSndLa095S2dYaTZDaTQwcDZfdGt6R2JvOW95bVYxaHZwOHpjbkFzLWVRUUM2ZHBxUWlaRlAtckxKd2xILW1FZHlzdnd3?oc=5
2026-09-11 23:01:48,META,Meta Stock Breaks Above 200-Day Average as Muse AI Assistant Rolls Out,kobaran.com,https://news.google.com/rss/articles/CBMimwFBVV95cUxQZzNRNHZYekN0NThOWG5GS2V6elhmcDYyNzMwZGVWWEp1aVdOZEllNjFXbTY2ajZvb2RLdTRraUltbUg4RDFaNVVSaC10VXA3QUV0ZjJNWDNyR3hTNlkzaGxOU3hBbG9MYkk3Um9SY0pHbmlJaWdiOUZ5NF9oZmwxWkNDNmo1aC1WSU9TUWItdDdjZW02WVltdG1kYw?oc=5
2026-09-11 22:55:07,META,Meta Muse AI Launch Overshadows $18 Billion Youth Safety Settlement,kobaran.com,https://news.google.com/rss/articles/CBMilgFBVV95cUxPSHhkcHcwRXA2eG1VMVVTcXk5M2pGVExZaF9ROGFKX2JzSzEwRTM5X0JkZVhUNW8xOFlHeUZ0X0hBUW1GZDBicjA4WHZlSWptdk5KdEwzcEk2cld2X2VkZ2xTNE5vVk1ibnBMNE5SWWROR1BsR3FZT1BSeE1oSzNKcU04VHZ5QTFlekRIa1ZTeEdsdEJPN2c?oc=5
2026-09-11 22:31:54,META,Meta Platforms(META.US) Officer Sells US$13.01 Million in Common Stock,moomoo.com,https://news.google.com/rss/articles/CBMingFBVV95cUxNLTJTVnZSU2xxd1dQbWRaUERxbVFnc2VzSGk2YjVCQl9fUlNxelNXc0lEVEZTajlfWUFmTWZ6aGZBalZkYzNOYml2X1hwR2R1T3owQ2stRTNoWUY2VnY4XzB6bDd5bGx5ZUFPTXFZVWxTR0NIRVRKVXpsaE9NdVRMV1B3ZHdORjNxc1hveE1ENnRLOEdhb2tpSllrVEhuZw?oc=5
