日期,股票代碼,標題,來源,連結
2026-09-25 15:03:00,MSFT,Microsoft Stock Is on Pace for Its Highest Close in More Than 10 Months. Here’s Why.,Barron's,https://news.google.com/rss/articles/CBMif0FVX3lxTE9iSmFEbEwwM0dCd0ViUmNXdEN2Wl9JQjdpTlhqWUMxWjdyQ3JTMVhwcmNOa1diczk3R1BBN2xUT0cya3NrdHA5RGlhVUV2bGsyQ2hjbkFGYUlTSnZCQUpiNWpHT29wcmpmWmZ3ME1sdWZ6ZXlvNlhOX3Q4eml3ZVk?oc=5
2026-09-25 14:29:35,MSFT,Option Activity Suggests Microsoft Rally Has Further To Go (Technical Analysis) (MSFT),Seeking Alpha,https://news.google.com/rss/articles/CBMiugFBVV95cUxQdEl4VWJLTE1RR0Iya1RrUmlpTTVDcXhzMlJVZU1ValVBVzA5YTRZUXRCWDBnX2t1T3hMXy04WHV6dzNkR0J5Z2JsT0JPZFZVRWl5d2YtbWVhMERxRl9lWU5ROUhkQ1c2V21TcE5Wc2stU2ZmamhhbVk1cHN2bXFOcndYTklUX3ZxeHRUTndFRXRJRVhFbS14azl3c0dqd3FJQ25yM3E5dlBtRS1lMmpoT0RRRGZvRTRpYVE?oc=5
2026-09-25 14:05:32,MSFT,Why is Microsoft stock rallying today?,Investing.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxPYlhlTU5DZ3MxYmJ3MmZzWTRiYW9rMjY1ejE3V2h6MXI0RmhLYlV2Qm9HM3g1a0dSWlNFZnR1VnJsT01uWmxEYnhnMUpTRzN0SEZxS1JvRWkwR05HeXpoVGpkUEFxSzhTVGM4VjhiYjlLTzlPSm10STlNT0xoU3J0Z29WSGNRNmlRQVhJMFFtOTdfR2Jyb2FvZ0ktLUV3YmpJ?oc=5
2026-09-25 13:58:46,MSFT,U.S. Stock Market Moves | New Version of Copilot Introduces Three Major AI Features; Microsoft (MSFT.US) Rises Approximately 2.6%,Moomoo,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOV3ZHdW4tVHJJTDMxUG90VFFIRm5yUElFRkEyYXdpWlloUkVuX25KcnZRSU9GRnhTQzVqeENaaEVFSE9YWWZQcldvelZIS3J5a0pyZE82WW5fa0hCTWZCMVEtRVdpbkJZMzZYemRIZklLTHNwdTZfaTAtSEo1SklJc01naDdCUFIwMTZUNzZEeUNxRmtJeVhBaFZKRWlUR1NsWmNYYlk2S18?oc=5
2026-09-25 13:47:19,MSFT,Microsoft Corp Stock (MSFT) Opened Up by 3.21% on Sep 25: What Investors Need To Know,TradingKey,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQNVl3OG9Yb0N3dHlOWVZrbkxnVjNDck1pZnNYSnZ1RTU5cEZQS0ZOVnB6UEZjNTZDUlNOYmlCWDNiTFdVbnVZTTNDVXA2SWN3b3NFRHQ3dmNVVnlmYjdoaVN4Umhja2dfTV93c3pCYzdRdXVlVFluQzNFbEd3TjU4OUNjTUNObVhHaG8w?oc=5
2026-09-25 13:43:17,MSFT,"MICROSOFT SHARES GAIN 3%; CO REVAMPS COPILOT WITH CODE GENERATION, AGENTIC AI TOOLS",Moomoo,https://news.google.com/rss/articles/CBMirAFBVV95cUxPSlZyeTNGSG5PaERTY2JtWG9QWXhqM2t5aUcweEdkYmprcEFCSngzVDFhWnRlZWZCdDZPeGRKdHVGbEM1VDltRTBpc29xZmJoeXQxbklFekVZNjRRZUpnc2hwcFhwejBkWVdkaEdNT3BISl9hT2gzMFJuczNxeVl5V2xjaHV3V3pWQ1F5aGZSNW1kMHNHR2dmMnlYV0VQU1hVWkxxS0ZhbU5qMTls?oc=5
2026-09-25 11:30:02,MSFT,Analysts Are Getting Bullish on Microsoft Stock. Buy MSFT While It’s Still Below $500.,Barchart.com,https://news.google.com/rss/articles/CBMixAFBVV95cUxPdDkwdklYbHZwTWx1T2JCb2tybUtKZVhWZ241QTFYXzZndUNaMV90OVZfWjgtWWNmYzBPRDg3T1JEU2h3UDNGLW9yeS1faEVqOWNBN0J2ZWdPVlQ2V2R6QkE5Z1NsYkp0cFFyX2Ywc2lCbDlVS01Edm1RVjdUS0l6ZmE1TUdsS1FlQ1FKYkRZWGlsZ1I0OWRvMmZ2V3F4SkVncE1GUTZWWGN4ZzBhdHBfVWpvWkFJWmIzWUtGbTRaRk50aHA3?oc=5
2026-09-25 10:03:06,MSFT,Microsoft: Risk and Reward Skewed To The Downside (NASDAQ:MSFT),Seeking Alpha,https://news.google.com/rss/articles/CBMikwFBVV95cUxNRHhBenV6Z1FHZmVYbUlqSDFJQVoydV9COWxiekhMYlBZeXYzc3pDRHBWV09mdXhLTGllcEZJWWtmd042WHpWTmVKdjZQQnlkdlNhczNHREZMOTRHbFpoSGhKQVlKYVhtTk1KRThHV09rcUg4dkFZQlBIRlRDampjYUNEbXcyMTRYRVFxX29aY0JYS3M?oc=5
2026-09-25 09:00:23,MSFT,"CRM, MSFT Are Already Weathering The 'SaaSpocalypse' — Now Jack Dorsey's Block Is Buzzing In With A New AI Rival",Stocktwits,https://news.google.com/rss/articles/CBMiggJBVV95cUxNTUF0UXcxOTFDbDFmNzdWYXItTk5XVmoteE83aFBaMFlRVUJuU3U2R3g3ZEJJTnBTWDk4bXFRSjRpSDdVbUhrZV9QLXl1Tm5PUGczWHZ2XzlJUzJqaFhSdjN0VVRUQnExZ0hQWUFpSGMtZi01WkE5eUJNMmhPTU9oS3ZxSzJLUXFicHpYUGZCRzFFTlNaeWRiZVFSZXZQV3hFdGZhYlZjeUhSRXMxdFJac0k5Vm5WVXRPVjUwajJlQmp2T1N0Ui1WNnFlUWVuTkx2cWdkWWF0RENDeEExbmFDZWdDTjVwQ3FDcUFHQnNZLTRfc19JakUxMmFzQnFwdG9STEE?oc=5
2026-09-25 08:09:59,MSFT,Burry warns of write-offs by hyperscalers as AI spending surges (MSFT:NASDAQ),Seeking Alpha,https://news.google.com/rss/articles/CBMiowFBVV95cUxQbWIwZjNnX1hqTXc3blRxbFlTa3lhVnNKeU11U0FfRzgxeDM5ZDVTZkhWTUt0VTBNOFRTd3NTd1ZHdkpGRkc1SENZdFIzalNDWTQ5c0Y1M09heFlXN0FwWlpEYVItTGJDT2h2Q05pRzFBRjUzaTRXOWJLUEpXSlpkZ3k5UDFxVEZVVjFFaHpBeUQ1T2I2NEExU0dlaGljbWZYSk1z?oc=5
2026-09-25 07:45:41,MSFT,"Microsoft Layoffs Coming Next Week? MSFT Stock Climbs Overnight, Retail Stays Bullish",Stocktwits,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPWXlYNXpOMTFteXlTcElkZ3dGb1hiRzZPMWVmaXctRkt1TVZPQ2xGanNzekFrTHRweUNlR0NMNUk0WmtiUXduWVEtWi0yQkZSeHhZZk45LUU0YVN2a283bWlzTjV4cnVGQ1NBN09FRnluMUFUaWJkVGVCM3BWTUQyWXAxNWVmR2hxR0RoY3ZrTnNXbVNNLV9adGpkeE5YeFFhV0MyNUJQcnNCMGt5bFdfUDBMZ0x1Nm0wUFpOSzRnV2JhRFp1VEQ2TlZLRUZZazRTek9KVi04aVNVNDBLQS0wUg?oc=5
2026-09-25 07:06:48,MSFT,"Microsoft Stock Price Forecast: Redburn Raises Price Target to $440, Will AI Investment Controversy Drag Down MSFT?",TradingKey,https://news.google.com/rss/articles/CBMivwFBVV95cUxOdE9NMDRORG00c2pfeEpTOTdsb1A3SUhxS3lYNHZjcGFnMzREeWJ6OGg0U0FfZElMbzdTUHhXOUVIQk4zNkNUTnV6OUFhOHVEZ3Y5eENITTlUQm4zd3dpM3pyOTJCTmtIQUM1UmJvc3pqeE9qRHlOMFRZcGZrdy1TWmtKU1pyYjhJdGhpX3M1LUg4RWdUTE92TnFJanJwN1prZVVlbFpuYWRRX1JCeER0MmpKejRWdlg1U3F5NEpINA?oc=5
2026-09-25 03:52:15,MSFT,Microsoft vs. Amazon: Which AI Cloud Stock Converts Capex Into Profits Better?,Insider Monkey,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQS1RVWENPaDBsOWw3YV84S3pxWXdRN3VMQVZtSXlrUk9FRk5aajFJZjlMVGZ6c0tTdmhGdVlhZ09Wd1B5M1NkeDlSZmxFTkhmT2xGd1pzMUtmOU9iTTdDY1BEVkI0bmlsNmtQSE5Qd0hrSlRDZk4wR183cThQVmNHVHJreHhsNDQtRml1WGIteGE1T3oxT1BMYzhyMlhCa1JrOHdQX1Q5S0UwWXF1QnZ4Y0VEei1tUjNJX3hr0gHDAUFVX3lxTFB1Uno3OEhrZUR2bWhOMmtJcWFJbmEzMFd2VE55cWdSTHhQaGxYZkJsR2RtTmwtVWJtbTdIdjA1ZndRRkdXVGNWb2twREpnU3gtNUNsYW5tUHRiUWpuZzViWl9sOXBkWmtuZXU4ZHN3c0lnXy00Tm10cUZmRnluV1FOYW4zYmVfUHJWejdlZUltdENmM2hNM2dHUGxTbXFZNmNneTNVUlBycW5QMkhhNmZ1dk1sdVhZQ0gtdFpNTnNDTFJZcw?oc=5
2026-09-25 03:23:44,MSFT,"QCOM Stock Eyes Worst Month In 7 Years: Analyst Says MSFT, GOOG May Be Behind Qualcomm’s AI Momentum",Stocktwits,https://news.google.com/rss/articles/CBMipAFBVV95cUxQQlRoaU1zbVR6WlpQSFVkOHNYMXVkVlZyOU5FQ0RIRGRqaFBDN05BT2FqUy1rOXluX2ZUOG5JdlBrNmI5RlFlY0xWVlFTdXVORWZleWl6MngyNWt1dmVQSHhRdjUzbkRSS2cxRGlUZFNxbFNLV1otV1FWak9vNE5FQlk1SVJDVVJ3dmtybjFPYU01OE93b2pfcThONUxWUktBUEN3dw?oc=5
2026-09-25 03:13:21,MSFT,"Bill Ackman Swaps GOOGL Stake For New MSFT Position, Clarifies Sale Not a Bet Against Search Giant",Stocktwits,https://news.google.com/rss/articles/CBMi8wFBVV95cUxORjZwQVZKUXg4QU10MW9mUEQtMDNvem9ydTFkaXNFMFJvWmV0M2NiSWJDZGNoUFdEWC1VMjBFRU4xdUw5QVZUTVNyQUNzMXVSWnhVTGFrZUJjQUNXTjJqaVhoYU5mZWM3eW8zQWh6ZmQ4ZGEzVE40U0NiU0VyWDB0YkRlVVpSakxCMFJTVDk2VWhLSmh3M3dsVURORWVPNF9KX0pQbUZwYXY5WkMycndkX3hTV2RuXzMwVWFERkdpa2FMWnM5QkgtYjdHT0NpMG5PUE1BdU8tNWV2dHRYQkVIdW1lTk9WbHhhLUZTZHg1OHhhSjQ?oc=5
2026-09-25 01:52:32,MSFT,Microsoft And 2 Other Quality Stocks To Own,simplywall.st,https://news.google.com/rss/articles/CBMisAFBVV95cUxPaFpFWENnZnQ4Uk13N3hPbWI5anhsNTdYVHZ5YW43TXBZSldVLXBBNm14dkJzNFNvR3FTOHVmN09qVVdEejIzTFgtNzdPOXlhZ1M5UjVOWTlXRkxlRFV5eW54RlgwdVpMNlNNOUNkMlRNaXpkU3VpdnRZYjJiMEc3WjA3UUJGMkVHeWpUUnZuOVdoSjAxeU1nX1BfZjdQam9XcDRwSmtzMFozdk1jT1ZfNdIBtgFBVV95cUxOOEdEX24wczFLMGpQZ1FBZFZzN0VHNENzaGFfVGIwWjNUTEpyY3RiYmhyUkJaa01lQnlJNFBKQnl4VmxxWmpfWFBLd2VvVVE0cXZnSHFTZ2ZEanZJbG9RYkFVeTMtOWVfMWNrT3l3OThvMDNETk1NQWJhZkxSSjBHVHdMVExUM2ZZVDRuRWFRWmV0R1J5UnZ5U04zeWh1X2pZM1V3Q3RVX2RoZnI2cDdwa2g5Vk5JUQ?oc=5
2026-09-25 01:30:32,MSFT,"Michael Burry Buys Long-Dated Microsoft Calls, Adds To JD And Adobe — Trims Palantir Short",Stocktwits,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPRlcybV9XejhnQlBGOC1Yak5iQnJmT2hkSXNORXptYTZ2TUFrM3g3aXo1ZkJOLXh6c3pxZFNPMGdETXR4UTBXcmRtQkpqZlRFNVBrVTktR2g4WUk1cDNwMkJBSG92ZGRadW93RXdCX2VMUy1oYmNhN19VdjFyQUJ5aWNnakh0cUZsZ1NYN0l3aHNEcHB6dTByUkxVbmN4VTFWN2ZfYWlqbkZSd09sU0lFMVdRTk5EQ3YyS2Jfa3JjUmRkSnd5SUhHX2YtYUxPS0VMdW0tRE1aNm1ILTR2?oc=5
2026-09-25 00:47:43,MSFT,MSFT Stock Enters Bear Market After 21% Drop From Peak: Retail Cautious But Analysts Stay Overwhelmingly Bullish,Stocktwits,https://news.google.com/rss/articles/CBMihAJBVV95cUxOeTROX09JMmNjWjFydFdOODRWZG1NNnEzVWxvdE1FTnFWeU9QUE1VWGZremhsaUNEVXpJWGpSeXMxWm9sVzRGbVBCYTlEREVvV2NFRGhwaW95Q3psZnJmRUhuVThJS19EejVoYzdEaHhFb0NlR181bzN3TVpZSWRJUWZLR0xZeFhMUEgxMElnczVTQnU4bklwVTZyZFl1UXZheXh1Q3pZc25iZnBZUmg5eFhVdGNoSGZUWnphYXY5OE1XWXhBTXQ3TTBlWmdlUUdVMDlYSUZXVFp3T0pYSFd5dlFaNGZIOU9NTkx0aWFCOGNMUXZkM25JRUx1cUxFQUFIaDI4bQ?oc=5
2026-09-25 00:24:52,MSFT,"MSFT Stock Rises Premarket Ahead Of Q4 Results: CapEx, Azure Growth In Focus",Stocktwits,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOVmFFeEcwcFVXRnlTTEpCNEhuMWRiZzlWV3pNQjczcmtqNjNRQllNMlNkenc2N3lEYzdrN2RncDlqcUJEa0dhR3g5T0h6b0ItQlJfVUhmczNsdlpEUUpwSGpOa3I4aUYtWmhId2hfdV9sM1VNZHRXYmNVZnNoSXdndEJKUVRUcUhDXzVTakpGUm1Ub3dIaFpQcldKM3J1Z0hVYUpUMVotMENveXp5TGxTd3lzZFVtM0UzbFZiVms1dDR3azhiNTBKX3ZWVWo4S19qbzhuMl9B?oc=5
2026-09-25 00:22:40,MSFT,MSFT No Longer Wants To Just Back OpenAI — AI Chief Eyes Spot Among ‘Top Four Labs In The World’,Stocktwits,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOZTVnWFZLaDM2dWhDOGlpMkxINURWVHB2STFxallNczM2anQxSjdWQXNiSnlicVlpRWNPZUlDRXQ2cHpWZ0NMSWdnOUlQRWhYRmo0Ti1HNzkxeGFIUGNoVDgxeFlRTEpXME5Ib2hocWJIeTh5SHZSeVFkdTJ2RjZiN2p4WHV2Zlh5UUppeDdsdkR3eHB2STVyNmk1RTBfdm5sdk5DSGRiaHgzX0sxTnpVUUFEd2tRZE5TejRVNGtMZXcyWDQxSnBMZGJwX0pYNk5rUTZ6NTJGb1JYd0dvZFE?oc=5
2026-09-24 23:47:11,MSFT,"AMZN, META, GOOGL, MSFT Earnings This Week: One AI Bubble Signal Will Keep Investors On Edge",Stocktwits,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNb2tEYWdJeWdnMU1GZzlfaEpqb1ZHVGxNS2NzalM5OThEdkVJem9pbmhvbGZSczkxdlFXNWFsdUhRQkxTam9HeGRHRFM3dU9YZ0xQdHVXU0Zpa0JGNXRjU0lNZl82dDRmXzQ4Zmp6c3FmVlVtN3VnNzFkekNhNlVwalFtQnhUaGpzQ3c2aFRPVFM1YWVYTXlSWHVuR2lyeVdNdDlhMG5LY05kM1lZaU5xUmVXb0tyV19aOFNWQnY2Q2hnZHZGbEVnQTRUWnFPS1pqNEhTMFV5dFdHOXJIRExPdEJzMXZRZXM?oc=5
2026-09-24 23:45:20,MSFT,Here's How Much $1000 Invested In Microsoft 20 Years Ago Would Be Worth Today,Benzinga,https://news.google.com/rss/articles/CBMiugFBVV95cUxPLU44dmpoZWc1dElXLUtCMUViZHJ4aUl1NjE0dkJRNVduM3RmSlNqd2ExOHpLNEF2cUN2QUt1R0QtdF81OTEwR0hNR19vakVRdFhibXBwZ2xkZElmSmRkVnZReXdManpyYld6TjZjc25GblN0OGhvUTRkNmxrTGZEbHQ2bXRyMVF3LWJJYTFiSWtrNGY2bUtsTUd1M0Jxa3Z0ek5GYVc0MWx1V2ZxTkx4T25kdDljYWhUUUE?oc=5
2026-09-24 21:59:12,MSFT,MSFT Stock Slides 4.5% — Microsoft Price Target Revision By Stifel And Xbox Pricing Changes In Focus,Stocktwits,https://news.google.com/rss/articles/CBMiywFBVV95cUxQZEw4S3hVeDJ3WDNfME96RWNyaFltN1VTR3djVjFtNWFJNG10UHA1M2FKaWtEV2xZMFRudV92MzJpcEFuNzkwWDZjNnN2TmtBQTZ4VF80d0NJYlRCMzRPeXd1TFI5ZGFTNVgyOXhHSXhVQ1dieGNqY3lCMUlpVE9zcmh3X3BkMzBjSS1zTHhwa2JualpwRXNxSnVkUWUtaTE0T2dJTWVEQ3llM0FvRFVmeU55aEEzVXphd3VaNm1ZNzlsNlpuaWc0S1BLdw?oc=5
