日期,股票代碼,標題,來源,連結
2026-09-03 21:22:03,ORCL,Why Is Oracle Stock Up Today?,The Motley Fool,https://news.google.com/rss/articles/CBMie0FVX3lxTE9CUUNUdmI2QW5GYUI4MmVsNkpPaHBlZnZkMUdsZ2tyZ3VxZTloUmpGYlc2UEdYdnBsV3RhdFo1NVpVeFRkUzQ0QjkxMjA1YjA4clJyWlVGMjZUV0ItTlRtbDhkVTRvOFpha2tPOVp4T3JaYlU0eHNpcHNMQQ?oc=5
2026-09-03 21:20:08,ORCL,Why Is Oracle Stock Up Today?,Currently.com,https://news.google.com/rss/articles/CBMifkFVX3lxTE1DaVR4T1ppUDZscnhDeGt4QUdXb0FYSEx5Tm1Rd0dHVzBPVVdCMkFLbDIwdXNnSlFvckVDMEJ5NXpnWDJVeUl4RkxjSlVRZ1l0RkZpVko3ak5pX1k5TC04bGJsczQ2NnB3REx2UUEtXzlrekhrRS1ZNHZIM083dw?oc=5
2026-09-03 19:57:00,ORCL,"Down 55% From Its High, Is Oracle a Buy?",Yahoo Finance,https://news.google.com/rss/articles/CBMikgFBVV95cUxPSHJSUnk5b281UzdRZmVJRWVUZVRlbG1DMnYyc0hENUpCMHhueXgydEg4UXduMGl1ZXQ1YmREcUlTTmxfNzZMRGo4M1owUTRjaDZkZjQ5TE5PaVlZRHFDX2FQdXd1WVBka2syMnd1dHlJZjRjUEF2S3RQT3VhZzh1VmJFMmRORDdaV1p0b0Itekp1dw?oc=5
2026-09-03 18:35:08,ORCL,Oracle (ORCL) Stock May Be A Bargain As AI Risk Fears Grow,simplywall.st,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNZTNOV3VWYks1MHloMHpSMjU5T2pmWVBjQ2dObDFfR3RReTNiLVlKOFBVaDhSVUwtdzE4c2tyQUlWbmZxanRBWF9GZ0cta2tHYmk5d0NGMnB6WlNIa0lmYW8yYUlXSXdsckFUYWkzNmNQQWNZb2hhSVlHZE51amExSnhZVGhZajF2cTlEMmpJUDlJb3JOWE8xWGV6V2FKcTM1SzNBanhGTlBfd2J6NXFFaGE1MEt4OEFLQjdieHN3cUHSAcABQVVfeXFMTWUzTld1VmJLNTB5aDB6UjI1OU9qZllQY0NnTmwxX0d0UXkzYi1ZSjhQVWg4UlVMLXcxOHNrckFJVm5mcWp0QVhfRmdHLWtrR2JpOXdDRjJwelpTSGtJZmFvMmFJV0l3bHJBVGFpMzZjUEFjWW9oYUlZR2ROdWphMUp4WVRoWWoxdnE5RDJqSVA5SW9yTlhPMVhleldhSnEzNUszQWp4Rk5QX3diejVxRWhhNTBLeDhBS0I3Ynhzd3FB?oc=5
2026-09-03 18:23:06,ORCL,Oracle stock surges 5% as analysts see major upside ahead,Invezz,https://news.google.com/rss/articles/CBMipAFBVV95cUxQYzJMenlzZmZGeFNHUk5STjZTMklZdEdNUldyNG5jQlRQM1BVVFlXS0NleTl3dTZ1eXZCU3dOVGRxeTFTdGpnX095QTJrcTlxVjFEQXhWc0NFYUFhd2tXTm1jbkEzNTJEXzdvbUlkVUg5QzR5dWVIUm0yZXZvQ3lEdEZsMDRYTzYwT0lOdzV4MDBBNG5Nb0hXYVhPcVdERGJGZ1FrZQ?oc=5
2026-09-03 18:23:00,ORCL,Oracle Stock Could Be Software’s Next Big Winner,Barron's,https://news.google.com/rss/articles/CBMilwFBVV95cUxOaWxsSUExYVpSOWQ0Ym82SXowazBWNHZmZS1EQ0hnTDdNVWFUNHhnTG15akRKN0w1NUpPMDdwcTQ0RFlnTGQzRjdTeXhtZjZrUWdxREdFU1BiSTNYeGZENFZaTUZ1ZlBVYnYwdUZfZEszTXNVdDFpWHpBNVNJaUxXUDVWdnBmTWNFVWZBUmJnRGd4VERNLWd3?oc=5
2026-09-03 16:57:00,ORCL,Oracle To Face Earnings Test After Wild Year Riding AI Wave,Investor's Business Daily,https://news.google.com/rss/articles/CBMiigFBVV95cUxNTUpyand2Z2UtR0xWY1BPYU5RY200TjVaeXk0dHNKY2dNTVJ2U2NiT2pNUmRBWWlvSjlyMnZjeWtpcWFYbE1LU1RMdVd2SHk1UU5oakpTdW9UMndzRXZSRXNGSnEzc08tNFRGeUdIaDV3d1JiRDh6Sy1iM0EwWUFwX242WVNxZThRTVE?oc=5
2026-09-03 16:35:43,ORCL,Oracle Stock Surges as AI Debt Worries Ease,TipRanks,https://news.google.com/rss/articles/CBMiigFBVV95cUxORWwxRDdhQWFSMUV1WDRnYTAwWXdGRlQ0aHJuRFhVTkFZa3lpWkdQS3ByY3JuSEt3VmlkMmVqekxOenNDRy1GNElUUmVQTFB6YllsZEJJY2I5R01GZWtqOGhreS12ZG9PM1BNNXNZbElxSTZ1bU5ib0VWcFpkdmlZQVkyYy1Ud1gzMHc?oc=5
2026-09-03 15:30:37,ORCL,Oracle stock resistance test at $159.29: Technical outlook,Traders Union,https://news.google.com/rss/articles/CBMikgFBVV95cUxQWWRXNnlrdTJvTndfOFUyZnE1cEp5c3JOZDdYQVhWVzN2eW9GcXFXeUcya3V6NENZNTlJNTltNElGOVdadnRqdlFla3l4OEhyNUZTTXUwTG02OFFlZFlWRC1QelJDNlZrXzR3M3JPRzNEX1JRTWFuX2RHWWRpTGVmTFZPczNwTVk0WmdRMWF1dTl5UQ?oc=5
2026-09-03 14:15:28,ORCL,Oracle Corp Stock (ORCL) Moved Up by 3.14% on Sep 3: What Signal Does It Send?,TradingKey,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQWWVkZmw0YTJoTE4teFFLblUtMVZPUjVKMjZHS1FRbWhVWEFBWEhpN1NqTzdJRlVOVnVxZzZmc3E1ek1NMFFsSFE2eXJuM0J4T3JmNy1jbzZoQzlNZm1KWVYtM29GUGgtWHVKdEYwZldXa2Z2amY3a19mZFRQZGFTLU5MTVJoR1lDdlFv?oc=5
2026-09-03 14:01:59,ORCL,Oracle Stock Compresses Below $149 as Sept. 10 Earnings Near,TradingKey,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPWUlOdWFYQng0anAxblF5b1RCcnZNWUZzVUEtM0tpQ0o0LUVOSjdEOEM0OWxHZUZCQkM3NHdvT3hJbHhnZWdlTXB2Q1NSMHgzTEdGRFRVeDhpMW5LTVc5ZlgwUmw2WjU3LVhtWFcyRmVLb3U2SU5vLXFyeU9lRkRlOG5IV1hTdWdWYkVuUktfcVJaQlkwYWdjMkFzUjVidml0ZHIzdTNZVzRZekxEZGQ4cUJnTWtGWTM1?oc=5
2026-09-03 13:49:16,ORCL,Oracle (ORCL) Stock Plunges 36% in 12 Months—But Analysts Project Nearly 100% Upside,Blockonomi,https://news.google.com/rss/articles/CBMipwFBVV95cUxPeGxYanpoNFA3aFJ0MTIzX2JMek41TWx3aVBvNVRrSzlNR1E2cm9kNGFsMmQ4bE9DTkJMaHNBeGwwYURIVGtWd3A4ZTBmWlhkeVBveVIzaEZXaDRLRk43ckd1ZExIRmRVSklneUlLOWtuS19yZDFjSTZhUFdOSnB4X0szMDdnZzd6NHlmNlFxWmNCZ3ZuaHFzZk41Y2VuaElHRVRoY0xrNA?oc=5
2026-09-03 13:42:17,ORCL,"AMD vs. Oracle: One AI Stock Is a Buy, the Other’s Future Is Cloudy, Says Top Investor",TipRanks,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNcFZLM25QRnVZck15ZUVKRUhvbURPVVl2YXF6NGY3ZlQwU2dwQThuMndQTlNaazhnTGpPVWdXWHUtVDJpVi1pNVNTT1ZWTWltaG5CUkR1TlJweU9YaDNVS25ybUUxQWU2UW9hU2JGVlZMTHRoYjRtU2t0UzRUVUNYeHVqcVlIM1ZPMWVQb1JHVGNhYnFYU0ZsSVoweThfTW9yS3VKc2ZYQUtWQmtLSGc4MXJwemZWeDM0RUlr?oc=5
2026-09-03 13:17:00,ORCL,Where Will Oracle Stock Be in 5 Years?,The Motley Fool,https://news.google.com/rss/articles/CBMihwFBVV95cUxQeDdXVVM3ajY3d2RnNGU5TWpBcGE4S045QkxLN1pHYzhnVEJhakhGeVBJSlJRY2xEMWF3MWhYLUNRRzlFVEFodHFIMTJNM3lkZmhYUDZwYjNXRWtqazA0cXlEaHkzTDZOYzRTUFV5MlZIUnpXZHZZVTA2NDVJdzd3RHFHdEhXMEU?oc=5
2026-09-03 13:02:23,ORCL,Where Will Oracle Stock Be in 5 Years?,The Globe and Mail,https://news.google.com/rss/articles/CBMitwFBVV95cUxOamtlQnIxRHluTEQ2REszcWhWNGZpUElJNGZSVlYycmFmZFk1S2FsUjlXYm9vTWlJakdTT2lKSWh4VFgyUk9UaXRpNHNfQ0VtTTdQaWo3cnNOazdHWk9WalZVZ3kzelU0UDRrbjZxSlVsMC1BVHI4MFNiSkZ0bzhoMmgxUnNRQnNhUHIzVlg3Nkw2SzhMS1lXTmdQTDE0M0RXMEZLTjIwdU5DMEtMYVpjcGFOc1Nsdm8?oc=5
2026-09-03 12:59:00,ORCL,Oracle Stock Is the Next Beaten-Down Software Name Due a Big Rally,Barron's,https://news.google.com/rss/articles/CBMikgFBVV95cUxOQm5Tb2FGT0hNTFl6LXhBZFJ6NnFlY3Bnd3g1TGY2R21WTjFGUTZ0eUdrdnpBVklWbWg4ak9jemNqX1RqVVJkaGJFcVBnZ08xWU16d0JUaXJ0ek5rY2ZlcWJtTmhoUks5c000Vk1WUFprSlI0TVZhdVJEMng2NGUzdzhfX2xkNkp5RWhuVS1ha0F2QQ?oc=5
2026-09-03 12:37:00,ORCL,Where Will Oracle Stock Be in 5 Years?,Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxNalpqWHA3YWJSRGxJZzNFajVlVHlMcS15NFFWenlSbVk5SFlCYV9DMElKeEtTOEVVcW1sT3hrY0ZoZnVQR1hwazByaGNNODZOZlZGNmJoZnhhZW1TRkZZOFBOeGk5SXRxeE5IbmdOQWF1TnZITkpVLXBkQkw2ZnVPZXFyYklQQy00UVItZFdXR3pUb241cFE?oc=5
2026-09-03 11:42:38,ORCL,"ORCL Stock Gains 3.13%, Momentum Gains: What to Know",JournalArta,https://news.google.com/rss/articles/CBMijAFBVV95cUxQbWlxZkNQalZ2UlVkdDNxUC10VnJYeHlRNkJfRGcwenVxX0NDeUpSVkE0QTVjcFA3X0ZYZ2ZNU0FnbFlnODEzR3VKTFBNQ0M2Tk9FUXhqUzc4VmMtRXNscVpvazBsWFJXSzNmTFo0UUhMWHhYM0FpRDl5Szc0LWpZYmlrWFFUSDZITUstZA?oc=5
