日期,股票代碼,標題,來源,連結
2026-09-04 20:06:10,PLTR,3 Reasons PLTR Has Explosive Upside Potential,Yahoo Finance UK,https://news.google.com/rss/articles/CBMihwFBVV95cUxOdFVzeGxQOWtNRUw3Z3ozTzRpNFFOUjZ0UWVfRFRLTXo1OFhTWEczclZsTjlDVWUtV0hSc1pwVWlkelpEd0RCUk1SZnpkeDNZNklSLU0ta0IzcVZURFhlRnRtUnEyWUNid2tRS0JDSThCbVFsQnBKZllYaWl0ekxKbVI1eHNNLXc?oc=5
2026-09-04 18:33:00,PLTR,Palantir just won the Army and lost Michael Burry,Yahoo Finance Singapore,https://news.google.com/rss/articles/CBMiggFBVV95cUxNTUJwaTNkblQzNHk0SjN0X1BPTHJESlFtMFRsVWVMR1I4SEs4YXRmNDhjRTdXNzQ0QjJlTjFCdmRaWGNDcWFmN0ZVUEg0TEQyeWRiVlliQXBGLXk2RHRZSVFzYmdqaGVXVWlHNzMxdk1SX1EyczZtQldfalNDbEh5NkVn?oc=5
2026-09-04 17:36:55,PLTR,PLTR Price Prediction: $188 Next Stop — Then a Reckoning With the Valuation Wall,blockchain.news,https://news.google.com/rss/articles/CBMilAFBVV95cUxQajg4a19rTDVoVUlBVUpucGw5TkpYaWJoa0lZMXBwQlk5TkZreXVjVGNmOGlSYk1XdXlGNDZPUmZaUTJsVHpyOGY1VUp1eklHZ1NaMmx0ME9XRmp2OExmak1FdkFxa3pWZ0xMT2ZYclVkN2pNT2p2eDhRcU44eUN6cW5wVzlRRm5WUU9CZ0U2cHZibjRG?oc=5
2026-09-04 16:14:00,PLTR,"Michael Burry Calls Palantir (NASDAQ: PLTR) A Consulting Firm In Disguise, Warns Of Valuation Collapse",foreignpolicyjournal.com,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQYzF2ZklWNHpHdVlWVjJjbHRxWHZYbEJnYVh1SHdlSlBpYXdTYmwwMFM1TU5vV3UwWUhqZGZzZWs1ZndoVXhuaWxFek55WjdCNXdIZnRKN3dOMUsyTUtiT2ctYlBqX29hVmJBV1duLVgyMEE2UE9BeWJZUVRpVlFoLV9JMzIyeEVBX1d2MTJidmltVXo4VDQyOXh3NmdrRlZSeExWSTVQRDJKcDNvVDduVjh4SDE4eXIxVWVybzR5c0NsVFlGSlJ0VXY2OWpINFBFQlJ6N1ZQRjRNMm85TFZTRA?oc=5
2026-09-04 15:01:39,PLTR,Palantir stock forecast: Support test could shape next trend,tradersunion.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxOQ0FPWXZLdjBYNmN4Zl9ZUEhEbGNmZHBrMUNiR3NYMnVTLU5RVUNmTjlvc3JnLUlMbC14VktfMjlZUnR3YUE2YTVUX1NUTElrWHcwRnRmNHlfREltajlNNzluRGdjcG56Zi1iaDN1YXJfYUlEbmJhTERkRnhSVHdvYTgtV29oNFlWRG9nZllVM3lJX2M?oc=5
2026-09-04 14:15:28,PLTR,Palantir Technologies Inc Stock (PLTR) Moved Down by 3.27% on Sep 4: A Full Analysis,TradingKey,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPalltVjNXNmdsbnU3Y01ZWnFyLVo5Z3dRb0JuSEJKcmhtUDlaal9zb2VwdjJLZ2Jacmo3T3d6endHQWRjVW40eVA4WjFZTW9uSTNqVkMzSlhoQXk0ajJFZkZ0bV9zNzR6Y1dTZHNtSXZBRXJQejNqc3c4dlJYWXhKRmxZQmlwa3RtMmVB?oc=5
2026-09-04 14:00:20,PLTR,Technical Analysis Of Stocks: SPY / QQQ / NVDA / TSLA / AMD / PLTR / META / AVGO Brighton Vs Wolves (4GwfnSzPbM),Mshale,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1ZVnpZNGJnVjhPa1luNXJSX1Q4TkxmUTFZb0k4NGZhZ1ZObmxhZTVrZTktYTRkZXc1bk9YYzdRdlAzY3Q3SXVfTWlKTnJvTldsS0tYMndVT0Q1ajkzbDhsTw?oc=5
2026-09-04 13:35:02,PLTR,Palantir Technologies Inc. (PLTR) Just Flashed Golden Cross Signal: Do You Buy?,finance.yahoo.com,https://news.google.com/rss/articles/CBMiogFBVV95cUxOUjVkbEU2RXVjbnUwXzZrcE8tSGhnU1pnc3Uzckk5aWI5bldsOGVabVNBN0V1aS1zSHdFNS1hNnlfMVRIMEZQNTg5X3Z6SHRxS3RWbGt1WmloclJZVWFoZHJRejlhVFRhVmVSd3FMMTUxdWRGWmZTR3dUWXFGQm9NdzBOdHBoZHB2T2hsME44VlNkUUdtTjc4YjcxN05QTWRaUmc?oc=5
2026-09-04 13:30:53,PLTR,"A Palantir Director Just Sold Nearly $245,000 of Stock",TradingView,https://news.google.com/rss/articles/CBMiswFBVV95cUxQNVFzNFFPM0ZDdFRreHlIcXpVdnFzclpncUJyc09IbVkwVzR2ajZXV3pLc2pOMnpoRDlwbFR4d2V5QjN2YkcwVTZBYTZIRkdURmtMQkZnc2N3dmdESkEtSV9VWjBRUGtTSTZKS1JWaWxYOVVPdklEbjVQbHFGd3VEZGsySU9qRHFOTVRlbGdKYmtTb0VkeDRIR3V2Zm9scVVHTVZZWXRNdXFVdjNBV1BZZ19nRQ?oc=5
2026-09-04 13:21:39,PLTR,"Michael Burry Targets Palantir Again, Flags ‘Nefarious’ Accounting And CEO Alex Karp’s $17M Jet Bill",stocktwits.com,https://news.google.com/rss/articles/CBMi8wFBVV95cUxNRWZGbGltVHRLb05mcHBsYldNNms3d29tTUVNV2Q0WkZabU1tRWdiT09mdDNka2pkUXVobzBYR2hqRDJwZVpSLXBOdlBIUjhfeGhocHQxdzQ4MFVlN3dsVzVoZTZ2dXFjQWNHb0VZcGdncW82UFBjZU53S2Y4ZEJ2c2hvSzdpR01yWTJncXlwVktjWUQ3U0RsMkk3TnhOaE5XNjZLVmhaRlZnUTRlZTVRSzh0SmhyclhoWkE5S0I3cjJFUzBHYnVmM21JaHFzbnozSWhfdjNpQ1VBX05BdS1WYU03ZERKRXdpWU5MQXVjUTZhN3M?oc=5
2026-09-04 13:11:00,PLTR,Is Palantir's AI Growth Worth the Premium Valuation of its Stock?,TradingView,https://news.google.com/rss/articles/CBMivAFBVV95cUxPZWU2S05XdTRZMF9XUTFiVWd3VVR5b3BQSkVyY3VBdHN4UUJGVkJJSnVvWUVfSktlUjlIaUU4RVZ6R3BxTERNVXBqMmsySUNDNGVWUDRrVG5oQUh6ZjhIbDdMXzItelVULWJtU1VtN1VPWU9GbXRzS25vSk1ZYzVNUUZsQ1VObVQ2N1Q4QWZqcXpQa01yaFpySEFmWlRGb0VRMFlTbElGOTVGNTdqUTZ6dWZkaHNPVlFYOWRIYw?oc=5
