日期,股票代碼,標題,來源,連結
2026-09-26 16:34:34,QCOM,ASML vs. Qualcomm: Which AI Semiconductor Stock Is a Better Buy in 2026?,The Motley Fool,https://news.google.com/rss/articles/CBMirAFBVV95cUxOMnpOcG0yTTUwcHp3eENjaDBxcUU1WkJIREpFWWlNUU1WcTVnR2gtUHNRdFVnWXZNT2d3LUpVQm54UUY0VUItbC1zdVpMQWs3emtJQzM2N19tMVNqNW5TcGtnejVSdHZFQVE3enk4T094eVFGUDhsaF9BQ0YzcDB3cUcxODNLRG5hdDhZUWd0RHFURy1WYU8ydHBFRzg5X3BXTHZwY0NScjRRdGx1?oc=5
2026-09-26 07:19:33,QCOM,"Nasdaq, S&P 500 Futures Slip As Memory Chip Selloff Hits Tech Stocks: Why SPCX, MU, QCOM, BB, ILLR, TII Are In Focus",Stocktwits,https://news.google.com/rss/articles/CBMigAJBVV95cUxOdkQxRVFSSndsaC1ucUxSdWZhY1RoZU5WR3MxQndZcmlOcUEtNUFzTjBKSW9MUG5Zdlk5WVI0Vm1wYk5IbWpyR01HOTJPUEFuM1ppWUN6Wk50dHpGajM3dWpUZnJKcnJ0LVlva3pnS2hERjlSd2hXTHZvT0xXNWVuSG5KQ3h0LXpGNFFDX1JZclpRcTRfWEJENXpwZ3hVQWJXTXVEUlVXVGwxWDhmZk1VTUlFSFhQMmdjU3hTRUpUQ1VmeEtiRExWOUFaQ0t4cG14WUN3WUpEUTBPU3JkRWR5d2hKN3FiVGlEZVVmMV9RbjVlVl9IODdjcEd4cWxJSHhu?oc=5
2026-09-26 04:56:34,QCOM,Qualcomm Launches Two New Smartphone Chips As AI Push Intensifies — QCOM Stock Edges Lower After-Hours,Stocktwits,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNb3p4WjA3U3FJZXpjWjNJbm1wZFFHa0IzYlJnRE4xNkFvRUczUkxjZ2x4aWRRRW5FamFHRjVNNlM4eUh3S1E2bzJzZTN1YlptQ0ZWQUM1eEpOMGFrMHprVWZEOFJkTGdBSW5PNDJlalUzNEowMmktNTFJX3hSdXRtc3d0RzljcUpXLWVUUFAyZUViR1FzTFE1SzBDSjlUX1hNN0xGS0dxd0ZWRE5jZ0FJMnlFVWZOUkplZ0hQM0xNcjdwRTF3ZFEtYVh6Vi1DX0FkSEVrWlp3dFhJNFYtb0JCcDJybkw5SlpkYnFqLUEyckZheTBzbVNV?oc=5
2026-09-26 02:08:00,QCOM,"Qualcomm (QCOM) Shares Skyrocket, What You Need To Know",Yahoo Finance,https://news.google.com/rss/articles/CBMiogFBVV95cUxQRlNTdkVmS3RoTmdiN0FhMzJZd01nLXNSYVE4TENTeGFHaGdLSWUyQzZwS1pUQmY1akJLbjRCU2w3elpUUjNZeXYxZTFqNTg4cDRGZlVLSDhIYno3ZkJoa2VXbGtwbjZ2V2dGMFV3WDQ3S3dIcXFhWDM2UU10ako5Rlc5dGVtalFLcTRNRnROakhidm5yUzllUkZ5dzhocDJPZ2c?oc=5
2026-09-26 01:17:26,QCOM,QCOM Stock Slides Premarket: Qualcomm's Dragonfly AI Push Gets Overshadowed By Nvidia's Computex Blitz,Stocktwits,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPWXBSY0pCWWhxb2ZrZXpVMWFqOGFJcm5jZnE4dEJwa0wwSkUyNTNqTHpzSVBsYkd3cXBZTmZnRUFpUHRUM1B1SmhBdHBqd3UtalBaVG1zTTRnZ1U2ang4NWk3eTQ5TkpuWUdlZHhTcWE2RmxIdmJ5Zl8yMWliY2NUR0hWY0d6ZDg4RC1zZEFyOUlfc1pvOWlOWTVZaHJHT2JiM1M2b1hPRWExbnpnbU9QUE1DU0RmYU9OQlpQYjZnNGE?oc=5
2026-09-26 00:53:00,QCOM,Qualcomm (QCOM) Renews its Global Patent License With Apple (AAPL),Yahoo Finance,https://news.google.com/rss/articles/CBMioAFBVV95cUxNeldKWHV2SzNJOVRVQk1TdFkybDJBY1J6NWpZaGtMVXJrQnBPWkdpNkJrdlRucjFFamVKTUpWLUVXOHhxTTZreUxKdFpYeG1WbkJNTmxROUlxVk5mbFNEeHRwRlFkY2UzT3Y3S25yX2RqMDZXeC01NjdWQjN1S01kUm1qYlhQYzFJWU0tQnFsaVFkOUZQOTN5M3hoWE5EYUtK?oc=5
2026-09-25 23:46:38,QCOM,QCOM Stock Inches Higher After Worst Drop In Three Months: Traders Eye Snapdragon Summit For Cues,Stocktwits,https://news.google.com/rss/articles/CBMi8gFBVV95cUxONnVXc3puUDJ1WE9qYmo3N1lYU2s2ejhyeHlFUVlTZXdpMWJYR1Ixc0QtNWs5WDF1MmQxakNESFJpUlFTeXcwdkp3OTJ2VHY5VTV2dllYZUl6T3hDQk1HbEZ6czhuZENENXY1SktIZVhmcWFkajZWTXlaVjdLd1A0MEkyeEp6LTB1cldBdHNHMVJ6Sll1dnFiZFExRmtOUlFncHRKeFVQRmNQMUZZYjhfOVUwY18tdi12dk5uaXFwSjMxT25YWVpoaVBvYTNZR1JYSnRPbkpHMUVFbVF1LXFXR0RuN09QaFFSMGQ1Y2NuZmtpQQ?oc=5
2026-09-25 23:10:09,QCOM,"Insider Selling: Qualcomm (NASDAQ:QCOM) CEO Sells $2,000,000.00 in Stock",MarketBeat,https://news.google.com/rss/articles/CBMixgFBVV95cUxPMjY4YURMRzhGT2IxYmp4U0Y2ZnRfTWdTa1ZXVGt1N0VEYzRrSnZMbUtac1lyS0NyTUxlamd3dGJkamtlZ2JiZ1pWYTQ2QmNQMDJUUzhlTXBlNnZFV183MnhzRWtHTjFkZUN0Mms2dzVrT2FLN01OZnpvSmpfcmdDRGpyVlNQSHBYNEx6VXR2QlRDdXA0X2laYnpCZjU5TEZNR3RvczBaUENYWlRWaEd4eTE3MXV1ZWtPRzBhWkhNWVBhd19Uanc?oc=5
2026-09-25 21:50:04,QCOM,"A CEO's family trust sells 10,000 Qualcomm (QCOM) shares at $200 each under a trading plan.",Stock Titan,https://news.google.com/rss/articles/CBMirgFBVV95cUxPZm1DZDhTVExRR0tRalM3NTVHeE5FYmZGX3Y4Ym9BZWQxZVlGODNVNHpaMGZpNXdQaVdmdG9QalpHVkFxanVpR0VXSXZwYjhpQWpwWXhXZUlEUHdIYnFyZkxFR2RGUUFBdE1OOWN0cnFkMXctMXd6LWd1VFNSOHdMWUVpRjFYQUpBRUsydGZneEM1N1dhMUNtYnd6Y3hJVlIzM19qdHozeWpRSEVsaFE?oc=5
2026-09-25 21:38:07,QCOM,Moderately bullish activity in Qualcomm with shares up 4.57%,TipRanks,https://news.google.com/rss/articles/CBMirgFBVV95cUxQcWt5VnAtNVRRRWV5QWhEWF9SUjM1RzRCb2l0bWtURjAyam5zVXhvU1FVa1NlZDJYLV82enhOdzRMczc4bU4wSFA2RmpRbnZrVXNxR0dHalp2VFZoSjNUTTNBLVhpQ3llQlp4Nl9vQXktVllIeG83alpyTmpiNzBtU1dRU21hak9ZbEp6S3c5Z0ZDdG96MkJLQjNfUEdobWNycnFTb3RmVFNaWmROcXc?oc=5
2026-09-25 21:22:34,QCOM,Qualcomm (NASDAQ:QCOM) Shares Climb 4% - Here's Why,MarketBeat,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQWW1wZ2tMNkVnUkNVTUhZcXB3RC1OOTFwY1FpdFpWa241V3Q3TTJzcUg0cUp6a0Y3cGxlMnVIUDJkcUx2bW1FWW1GRmsya2dUVUNNeFdsMU9Jdko5U0ZZUjc1QWhNSDZ0cEJ4TzZVeGpQMUZnaTF5MmVFbjlHZjdZUzdQUkxzVy0yVW1WRVV0THhOSWtvMGxieHJqZzFtRHRoakdpYzdmaU8?oc=5
2026-09-25 21:22:24,QCOM,Qualcomm Inc (QCOM) Shares Surge 4.0% -- What GF Score of 90 Tel,GuruFocus,https://news.google.com/rss/articles/CBMirAFBVV95cUxNVXJjcVJCT0tRUlVQVGVDaThQZF9xLXhDVnpfcUpkRFluSnBFUUloMjgtWkVLME95UEp1ZEx6SWNYT3ZfemY1Vkg1WVBhVXo0X1VVYTVublRQeDRBdGFqdTRrS1RyZG5HaU5JdkJJZERJeE51b1JYTW1ZcmFLdXp4UGdNckh2SWRnWFNnVjVrM2dmWThHaDhjODJlVkVabFdsMVlJUkgwVUtSbGp1?oc=5
