日期,股票代碼,標題,來源,連結
2026-09-02 17:47:17,SKHY,美光（ MU ）和SK海力士（ SKHY ）股票周三上漲–原因如下,TipRanks,https://news.google.com/rss/articles/CBMimgFBVV95cUxOXzgtdTJHdnNjZ29KQjRLLXhIdGxJeW9tVjEzRzd4V0ZqVWhabmliZEJ0Y0RCdlFyVG1WYzFLZjlOUU4xQzRQZzhqZ0RWWWJQS1JoY0lLckpxcGRIVi04c0ljNktWcVdYY18xcFlLd0U0eUN5dXVxSl9RWmRZbU9uT2VMOW1jN2ZDZEVJOEFiOWRHY2FqU0ozcWtR?oc=5
2026-09-02 16:05:44,SKHY,SK海力士希望在日本建造新工廠，如何玩SKHY股票,Barchart.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxNOFdueDhjb0VMX2VKVC1ic0RkZUNZUHVEbjEyVVFMZmRDYUtTRmpFMFVPRURFc3ZOcFc0REdnLUhhZm9aemtCY2pPSERYak9uQ2F0WFNfd1I3LXB1dFVsNXBmb2tOY0NBYlJMSzk3WUFyRnpyTWxxQXRpdUZmQ3p0ZlhCWEhhaWo3VUg5YVlUVHAxa2p3NHhqUGV5U0lfRVpTeFZfb3VLYUN2VzVibUpIYkZ0eFg?oc=5
2026-09-02 16:05:44,SKHY,SK海力士希望在日本建造新工廠，如何玩SKHY股票,finance.yahoo.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxQeEQ0QXpLWU9kZENEdnhyWXVYQXJkRlVDRU9wNXlHTEhCbGxIVmZxSlRwSGprNVpHZXlxbTJrdGFYbDllLXk1WkExeHlCVGNtSHZoSVVCOHZHeVR6UExzeE10dzRQTks5YWFhM1FvcFlqVDVLYTdqZ0F3RDhVUkxEd3dVYnRvWWZpWWZxOXJSWHZIZDA?oc=5
2026-09-02 14:04:17,SKHY,SKM股票重點轉向SK海力士ADR意外收穫和外匯波動,AD HOC NEWS,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOemJHTEdfM1dtVWRCcU4zcDNrRkF2enRmc0F4TzFwZTBFT1BWeUtOQjhGSkR2UVNfVmhDX05ZMFo5Z3g5THZsR3V4RnloXzFhVUdhT3dybUZnVUlHek5ZdVozMDVyb1NhQUMxTWItcUVjeFNaX3c4VUhmTmhqUl92QURjVWtrSHFvNDFITEpwRDNqcmcxOEpfZ2ZXQXR5S0FDVUdVdXFHQ0F0ZXNjUWtpUHpzWTFxamdNbjRF?oc=5
2026-09-02 12:59:59,SKHY,Zacks投資理念特色亮點： SK Hynix和NVIDIA,Zacks Investment Research,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOSDVHQVRvUDAzNjlMcXhyb0Z4U2hZckQ4ejRFUXFlblM4ZnBfdE5pcnpuVTdpM1JqSnZFdE12S3IyTkd2ek1DakpTbThQMUk0dXJYQ3RzY2VCdmFreGVYaThNTE1IT3pMWjNGQUwtNVg4NTFrVU4zbGppMVJMc0psTWY5c0piNXZvT0s0UXpXNm1OdHFGeTBkOGFhN2FyMWJJV2ZlckJUaTdJOXNJYVdfNEZuSGpRYVdYd1hoLWFFbkNNYmhmTzd1T1lhS0QwbnNHOGU0SnJsVWY?oc=5
2026-09-02 12:59:28,SKHY,$ SK HYNIX (SKHY.US) $ [分享連結： - YouTube]是SK HYNIX ！,Moomoo,https://news.google.com/rss/articles/CBMinAFBVV95cUxPcmVsemhLb3JFLUFabXRSWklpeVZ6WkRQdXNlWFp5U2doTllhN0pXamg0dmtQWk1NdFZLRkM3dXVNWkhOSjY5VWEzeDlQa0lOcno4TGhGb0lWR3l0QzVVM1A1MmNNdTV2VkxSQm1TVTdzWG9IMlg4QjcyT2l6RnYxM1BveEZfTFFQRlNLM0l5Y2NqTHZYUTUzOGU2V0k?oc=5
2026-09-02 12:53:00,SKHY,Zacks投資理念特色亮點： SK Hynix和NVIDIA,Yahoo Finance,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQRzdJWDl6OUZCYWUyRUVTdEtWOUI2empvZXlOV29xb0pkaU15VXB6Y1VaSDNKWWprb0s3Y1dKYUhDS2t0VDRDRmJUN0RqVmlkSkZJeUZsRVdIcmpSZldKUGhyQWNGZlNVZkJPS1k3eVJhMEpXcDZhdFlBUTRwY2JpUGc5WURSNm5ITFhxUlJGMWM2bnQyZDAyaGo3REtQMTVHLTd4ZHpYWWlxZw?oc=5
2026-09-02 10:03:05,SKHY,2026年SK海力士（ SKHY ）的頂級競爭對手,MarketBeat,https://news.google.com/rss/articles/CBMigAFBVV95cUxORHE5ZnVGS3pKdGVheVJrUUk2R0lScnlfZlB4cWx3dUJNejd1NG1aLW5rR20tbXhvMnliZVZHSy1ydkxtTTFiOVkybmlWb1BRaTExdnFKaWlFbGpyU2VlZE1ZbHRLcjl2cjhabm5YUHBnRlV3NTZDa2VBdlNKOHdiVA?oc=5
2026-09-02 08:59:59,SKHY,大規模收購SK Hynix的美國存款股票（ ADS ） SKHY的Seo Hak-ts是一個極端的情況。,매일경제,https://news.google.com/rss/articles/CBMiT0FVX3lxTE51SjlTZWpxWWFnTUlFcmNkWVA5SHAxYndHX1AxQ0NCVlEyMzdUZTlabHVtVlZXWEU1aWNKZFI1QWlBSWhfcV9EdkladTRPNHM?oc=5
2026-09-02 08:28:56,SKHY,韓國外匯基金在美國上市後從SK海力士購買了200億$ -報告（ SKHY ：納斯達克）,Seeking Alpha,https://news.google.com/rss/articles/CBMirgFBVV95cUxOaHZoVkRfVlVHcjZNQUM2NW10emtwZ0lSNkhEclJfQ1ExejRDN3hyNGxiOWF2bDNwYS1sVUpqdEliT25BQU10QlZKS1ZUaGpyOTB0WUU2MXFITWpfb2VvVmR3SWZwdnFDM2hvSVNLSHQxc1Z3ZC1JeVpGR2k5WHZTRS16Qk9uMXI1dVBOWi1CY1BfQ1JyR2FOQWRTWWROVEZMQzVRQ1ZRd0dwam9BNUE?oc=5
