日期,股票代碼,標題,來源,連結
2026-08-31 13:49:15,TSM,TSM stock gets a fresh target hike as revenue and capex expectations rise,AD HOC NEWS,https://news.google.com/rss/articles/CBMizAFBVV95cUxQWTJZR2dJLUU5NFhxTUEyaC1OSlItT0JlZjFUbGlhOGRveHRUWlBsUHRPcG4xaUE5Tm5yTlVZWVhiY1dtS2laeDN1VkMzbUxDSy1DRk14VkhVQ09PcEg0NlpBbTZQZG9JM3lydFZIQ3UtMk9Jc0ttYXBlY0VyQjJ2Z0EtaWhvd3FGWlR5bGxOQ3p3Z3lKYjlrZUh1WG9sTEVZdWQ4UjUxWnp5OEQyV0NsMndXZ01kcVBXM0xjdkpJN1dqeXJmNk1tdXp1aTk?oc=5
2026-08-31 11:08:55,TSM,TSM Fairly Valued by DCF at $395,GuruFocus,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1tT1lDRU1kTE9hV0s1RGhiVWNlbUppcWJ0ZnpCXy1MRm03TVRGX1pXajc3YnpVdmNNSW5aaUpGRkZvUE5JQkc2R0NjNnR4OFE?oc=5
2026-08-31 10:12:21,TSM,NVDA Stock - Can NVIDIA See $220+ ? (NVDA/AMD/TSM/AVGO) Shahbaz Ahmed (eh52BPxPts),Mshale,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1hdU43ZDM1LUM4Q2xUcGt6dC1vZDVvUTNRemU1SlBOUDRCQWY0YVpmWjZtMUxaRXdheHR6TlozMXBEUzdBYUYtaHhNSGpaRUxtQTlxaTFnbXBBb3VJd29SYQ?oc=5
2026-08-31 07:00:00,TSM,為什麼臺灣證券交易所的負責人希望您超越臺積公司並擁抱「科技島」,Yahoo Finance,https://news.google.com/rss/articles/CBMimwFBVV95cUxQNHBoeFdPbDE1c0ZBTGl2bTVvcnNjTnpTTDZ1bWdDamdxQzhyX2NZQ3J3amdnQm0td1BLVW5OUkhzdXNkbFB1NFVYZUMyVUxxWFphR0pHRVFrODBTemQ1VWxnRWVKQ2FKaXp2NXlKS0QtRE5sbFc2dWFWb1JoUzhCUk8zdU5WVXVLN01WQlEzX1k2OGxSc2tQY2pqbw?oc=5
2026-08-31 05:32:48,TSM,TSM 260828 310.00C (TSM260828C310000) Stock Options Chain | Quotes & News,Moomoo,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1FSDkyTWNpVldtV05fbHpRdUs2RWZJbzdfVmN6M1NVanlxc1J0cFhKY1duZGN0Y1FJTURaa2h4OWlKZUJyam0xWS0zcThrYjF3TmtFdzNBZEZuLWxmeFhR?oc=5
2026-08-31 04:37:17,TSM,Taiwan Semiconductor (TSM) Sees Shift to Silicon Photonics in Op,GuruFocus,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQSnQ1cFZma3k1cmgyV2UwdXJCYnpkaTlXN01wdFlhZ0l1NlA2V2NTLWtwVDFseTdIUHJPcUFYb3VNY3NId0lBSnY3VVdVUkcyWWw0RWNyZUYtUTk4SWIxVUdUa2JGTDh4cG9mRWdtVFZCTEdOYVp4UjRFTEJKUTdvZzNidFJnOTc5akdLbS1za3lDMkQtTnZlVjl0cUZnOHBKSDVob25sbGVBSENYSzVILWM4Y0VJRnhCS0ln?oc=5
2026-08-31 04:29:49,TSM,TSM Stock Slips Premarket Today — CEO Reportedly Says AI Chip Shortage Isn’t Ending Anytime Soon,Stocktwits,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQbU5KOHVZT19qRTNCVzJLRDF4UjNCZ3JaeFBUZVM0TDBzY2tHYU9fTDVnajFaOWhOb2xrZUVBZnRDbXJoVnhBNWNOUmN2WFZ3X3d6VVdjcXU4am9yTFBwNEVfdWI0cm5Bd2F3VmN5QXB5X1NWX2JCV3NsZ1JzNHVITHF6X0lJVFdPLVFXQjRwdTBUb2dZVFg2V19xNDFid2V4OURuM2RkdUFTT0RVR0lCYUk4enJxQ3Zm?oc=5
2026-08-31 00:01:48,TSM,TSMC Stock Forecast: TSM Reported $35.9B Revenue. Why Is Demand Still Outpacing Supply?,TradingKey,https://news.google.com/rss/articles/CBMiygFBVV95cUxPRDNVeXY1UmNhRlc1N0Vrb2cxc0VzVTJsSFdqUUk0bTFNdUE0WElNeGFtS3I1ZjlwRjg5WVRRWjR0THJDZkl0SXAzOE5DNVhqREtJMm5PUFc1bjM5MkJ5cmNuckRZODlwQVFGdk5MSEVVSDc0d2xlbjI0V2FHYlp2Z0tTdnlOeW1UZ0V4M1ZRa2V4M1JmcXZramdTVjA0OVRqNkRvMkl3a1V6ZjZQcFdGUjFFMk9WZG92aVlHVTdhQld5OW9PMVBPWG5R?oc=5
2026-08-30 20:46:27,TSM,Intel vs. TSM: Which Semiconductor Stock Looks Like the Better Investment?,TradingKey,https://news.google.com/rss/articles/CBMitAFBVV95cUxNdlUwdE9uMGNJVXlaOU4zQlByQTZ1dHAyQnpaVmVJT3VsWFEwalVJSlNJa0txeFNMdnpJR2dVSHRGNTM4NEN0MmZTMkk0RmFXRlZCdF9FbU1yZGNRZTdXZFlWZXpCamU2bzZFX0wwMWR3anp0dTBadEZBckxPc3ZhbGY4X0p6VEUxUzhNcUJEb19EejluV1ZOWkRndEVKbW5ZaW4wM3JDVGZuYnlkdHlMSVlmMno?oc=5
2026-08-30 20:11:33,TSM,TSM Stock Dips Premarket As 36% Q2 Sales Surge Fails To Offset Iran-Driven Market Jitters,Stocktwits,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOZEwtT2g0Y0FXNGE5cHlNYW5fQV9HV2FoNndhVEh1TzFiMzhxSHFxMFJuTkxCUEpCZ05veUJTRXlFUUxPQ0JMV2IxWWRkZXVxUmFveTZsSDJ4V2g5ZlFweWxwb2pQcTNKeXF6Wk02OXNDNENVQUFTWnVqblN2Qm1MMW03OHVWY1hfYzhwVU9VT3R6a3plYnBUYkhlT1Z0VGhkT3NsaFEzT09TQzdhNVZVSjUwTHgxU0V5RjdBRnV3cHkzSjkwaGsyc2kxakt6OG81RTZmQ2djQjlydXJzZE5mNFd3TzVOeWM?oc=5
