日期,股票代碼,標題,來源,連結
2026-09-12 13:44:00,TSM,蘋果和臺灣半導體製造公司剛剛宣布推出尖端晶片。1股股價上漲幅度大得多。,finance.yahoo.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxPZ3VnVS1Kd3JUNldqTGRQYVpjNUlDeHZXWHVLSkVTY21DS0FLcTZzcEp3eFgxQzRpVFYwYlk3NDZqQmxqTUE2Q1lUZWNUeGRQd0N5aExwNVZKbUx0bVRYRHVPNmtpaUZiNWZMMXhNSXdqY0dkZmh1XzAzUURrOUszRlI1QmZBcmRBTzU2VmxnajhvaVpZZHQ3TEtDWEt3MGRUZ04xV2JCY0l5dDQ2U2hn?oc=5
2026-09-12 10:41:05,TSM,臺灣半導體製造(NYSE: TSM) 8月營收創紀錄， AI上行是否已經定價？,simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNYnMxVG9PSmNnOW5pRGVtbE1XVXpCQmFGTW1ZWkhYbWp1eVgyRzMzRFpCNDRkc29FUkNjTFN3VlQ5TUo1RUExaFBzVW9qTDl0VlU1TnY5RTNGVENZOFZzdE9rcnE3REJGY3JPQjYybi11SWFjT2FfVHZWMW1sSDllR2VyMUVzcFk4aGNPazRURENHVkxNbm9wVmc2VXBBdkZreERtSnJvaWtzZnhycjBLQkRoTnpJd09CZzNOaElTTkJaRHF6eVFHeEczU1Rlbm1Lc3BGMHlPVy1kX3JtLWU3dW9zRXJQaHc5Vzg3VdIB8gFBVV95cUxNcXo4WV91OHRlb1JyeDQtOXhRRk9iSzM1REs3LTlNLU15T3Bmb1Ztd0VRS0xLQjFlZ2RNSGM4YzRZS1VISy12c3FDNEdjS0hBZGFPTnIydXN2RUZ2OGxHVVJEU3UxU1NQQmZNeFB0TURablpvanhOa0Zjc1FSZDI2MTZVUmpzNWxMbDBXZ0dlNEY3XzdEMkhjXzdyZzhQNEFkNl9xbFpXamNHLWg2NFIwWGwtNGhucjlPdUNKbTNldlh5Y3Jfd0pIYXViZHJuVGM1MGFFSG5FWEp2azJZQ2RXRnQyQmMyLTlOZ09ya3dOdDA0QQ?oc=5
2026-09-12 06:40:57,TSM,納斯達克、標準普爾500指數期貨6月份開盤：為什麼NVDA、戴爾、HPE、TSM、TSLA、SPCE、RVMD是焦點,Stocktwits,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOWHNnNWFNdnY3ZjhkVFl3b3BhMUVBZlVBTUJETkFPVzVpUWpKNmNELXNKdDRCSGdXWmd3WEwwcHhybUFsNHFoUTZUeDBmdG9vTmlZenRNc3pud1YwSi16Mmk2TUtkb1p2UlB1aVY0ekFtdTNRUU9VU05zV2NYN3E5alU2VFBhNlhxLVh3dEpQWGxHazIySTVUSkFwdWx3bWhENkRXNl9LWDA1aENmd2M1WlZmQkR0NkV2bUxNYzRtMHNlYjNVMzlfeXlOenVkOS1rVFY4Ng?oc=5
2026-09-12 04:50:12,TSM,道瓊、標準普爾500指數、納斯達克期貨邊緣高於PPI、失業索賠： NVDA、AAPL、META、ORCL、TSM、TSLA、SLS焦點,Stocktwits,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPdVZocDVQRWRiTUZqT1FMUUFjVUVWa2NjZEh2OGplTmlfTW5Ec09CemtzeXVOU2xmclhlRndGVjNrb3NSbndjQUNzczdSWU0yc0ZLdlVQRnhmckhDM0hfZ1FZNC1aTk9HUnV2RFVoblQwbUQ1N3NPSFFKZHZvZlhsQ2dxN1d6c3Foem1YMXJRWUJQUlNSMk9MX2pFd1UtZDFLRFhfazN4YzZ1V1lvREpDSnJQYnRtRmVIZXNzaWxJSXJ1bXZZeXZuTU5HLV9zUzBxS0cyX0pRMlVxcmU2cXZQMVBYUWZ2RlBIejdwcEV3?oc=5
2026-09-12 03:21:14,TSM,為什麼零售商上週無法將目光從這些股票上移開： IBM、PYPL、TSM、NOK、SPCX,Stocktwits,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQd2R2bm5lWkQxZDMwX08zNVJ0VTJRVmNNWlk5M0dFZEZsSGNWYWZ6ZXNTaWR5eW5iajBRZkZqVC1kamhhaTdNbE9RRmVyemdxT0xySDQxYjFHdzVjYlNuN243NmJlQjZjV0RnWTNWd1FwUjdpTkE2ekVBQlRlYjRlUlJlSHZTZUVXbDljVWg0VXB2MmNfV1llLVh5eTJDOHM0ZEsyOGRwQXo5bFp3NXRPbWQ1YTNQaWZwOXJLV3hxTlJlTnVEU3RSS0taOWIyZmljVXAzMzh4bktvLW9ucW4zOGlhSlBBSms5YjhCUA?oc=5
2026-09-12 03:20:09,TSM,臺積公司報告5月份銷售額增長30 ％ ，但潛在臺灣芯片限制的股票仍然面臨壓力,Stocktwits,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPT3Y5dVNkSjZpbE5jWFVKUVkzaFg1LTJfQldBYnozVFJuOWRjY2FWLXhOYTNCa3RadC0zdk1rX3I2WEVTdHFRWS1PSDd3MThlZUxPYUYxNEwxdFlVd2gwMmVwOXVMc3VaM3hSN3dZRUczUU5UVFJMV1doZTZFT2dJQUdnOWg1RmV3eWVKeDVoWWJzRXZza3JIRWdoaXB1R244V0F5S0xVaXRkRFJRVlktNTlndzZrWTVMUTlWd21heHRlV0JlRnJ1c0lod3RZYzdQRW5HYl8wSXlQdHBGQ3Fxb1M1ZnI0NWo0U293am4tSGhuYnpNQ0hzVg?oc=5
2026-09-12 02:19:17,TSM,Nbis股票在Nvidia支持的公司落地後上漲$ 7.75億美元的債務交易以資助人工智能建設,Stocktwits,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPVFVtUWpnV3loLXhHRnY1WU4zR0pWWXhaNVYxYWZ1NU05c0FJd3U4cV9adWZ3Vi01MGlfOW55UF9aSUlPQVpzZ0Z2TXROV3hWWDB5ZC1OcmtnVDlhZXdUSTNZdGM1NnJ0eGUzNFF4Z216S2VvZnl3QW1Gc2wwbEIxMWlVa19UUGo2RTAzczlBQ2NSaW1ZaEZGcC1CMkQ5Qm91OVhsanZhOERablplQnRzNzdRT0FEbnVMUVRlT2E3QldjcklIY3RiZg?oc=5
2026-09-12 01:32:48,TSM,納斯達克、標準普爾500指數、投資者眼中的道瓊期貨報告、伊朗緊張局勢：為什麼AVGO、CRWD、TSM、NVDA、MSTR、BMNR成為焦點,Stocktwits,https://news.google.com/rss/articles/CBMiywFBVV95cUxPMUZQTkxSeTY1ZEtDNVk1UWRlT3BDWGlRUkltemp3LXA2LXEwdDVKVUh3cVN0V3ZsckV3b2dhSTB3ZjVhZnVyMFVhVDN4S1FDMFNvQW96OVE0bFlPakpOQjJBZXpIcFpEaW9YMjMtZ0Z3T3BUZEFwWVlHZmNwNmZVa3N0RXVZOWl1YW1aREstYkplRU9CNVlDcVcyMVNrdXJJQWphNEFEZ0lXMGw4aGpucTFTZGh1a2RaNzlnNnZ6OU10X1JENEMxWWFUNA?oc=5
2026-09-12 00:54:10,TSM,TSM股票上市前下跌，因為第二季度36%的銷售激增未能抵消伊朗驅動的市場緊張情緒,Stocktwits,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOZEwtT2g0Y0FXNGE5cHlNYW5fQV9HV2FoNndhVEh1TzFiMzhxSHFxMFJuTkxCUEpCZ05veUJTRXlFUUxPQ0JMV2IxWWRkZXVxUmFveTZsSDJ4V2g5ZlFweWxwb2pQcTNKeXF6Wk02OXNDNENVQUFTWnVqblN2Qm1MMW03OHVWY1hfYzhwVU9VT3R6a3plYnBUYkhlT1Z0VGhkT3NsaFEzT09TQzdhNVZVSjUwTHgxU0V5RjdBRnV3cHkzSjkwaGsyc2kxakt6OG81RTZmQ2djQjlydXJzZE5mNFd3TzVOeWM?oc=5
2026-09-11 23:16:14,TSM,Broadcom的客製化AI晶片熱潮擁有強大的業主： TSM,finance.yahoo.com,https://news.google.com/rss/articles/CBMilwFBVV95cUxNWW9WcUFDOGxqS1U3MEgtcUVFNDJ0aWxYdk1adlVBVC00M25oNVYwRGVCSkNjMldWYzFwVkh4dWlJcXF5V3V4YmFsT1NSVFpoUG1IUktBOF9EMzk5bEhMeVg4QXFQc0N6OEdhRDFOTVZnXy1ydmhmdUZHNnBFMDhPa2xEcEpVWERHbURsSDVxZUJfLXY1Ti1V?oc=5
